N	3gram	Voloshinov_2	Mirosoze
1	не может быть	10	17
2	не было бы	2	5
3	а не в	2	4
4	но и в	2	4
5	с тем что	1	3
6	тем что он	1	2
7	в дневнике писателя	1	2
8	и не может	3	2
9	но он не	1	2
10	по отношению к	8	2
11	он не может	1	2
12	не только в	1	2
13	не могут быть	1	2
14	в высшей степени	3	2
15	для того чтобы	6	2
16	никогда не может	1	2
17	до сих пор	3	2
18	он не знает	1	2
19	о том что	3	1
20	но и он	1	1
21	добро и зло	1	1
22	быть и речи	2	1
23	по сравнению с	1	1
24	со свободой и	1	1
25	социальной среды в	1	1
26	что иное как	1	1
27	отношению к нему	1	1
28	и в том	1	1
29	становится в центре	1	1
30	для него не	1	1
31	до конца и	1	1
32	и добро и	1	1
33	а вовсе не	1	1
34	но не только	1	1
35	прежде всего –	1	1
36	в том что	6	1
37	находятся в состоянии	1	1
38	к нему и	1	1
39	к нему не	1	1
40	для него как	1	1
41	в отличие от	3	1
42	под ним не	1	1
43	в значительной степени	2	1
44	как бы не	1	1
45	видел в ней	1	1
46	не что иное	1	1
47	все внешнее –	1	1
48	и речи о	2	1
49	есть прежде всего	1	1
50	был бы не	1	1
51	все более и	2	1
52	а не к	2	1
53	может быть и	5	1
54	в самом деле	5	1
55	но также и	1	1
56	у него нет	1	1
57	в зависимости от	2	1
58	в нем нет	2	1
59	в котором не	1	1
60	жизни и в	1	1
61	выходят за пределы	2	1
62	с одним из	1	1
63	на том что	1	1
64	всего того что	1	1
65	даже и в	1	1
66	они не могут	1	1
67	во всех этих	1	1
68	в самой жизни	1	1
69	а иногда и	2	1
70	в отношении к	4	1
71	во всяком случае	2	1
72	более и более	2	1
