N	3gram	Bakhtin_Pr_4	Poddanst
1	в то же	5	7
2	то же время	5	7
3	в отношении к	2	5
4	не только в	1	4
5	в том что	2	4
6	с точки зрения	9	3
7	сами по себе	2	3
8	с одной стороны	1	3
9	в том числе	4	2
10	одной стороны и	1	2
11	и в то	1	2
12	но и в	2	2
13	более или менее	3	1
14	в этом смысле	2	1
15	есть прежде всего	1	1
16	и не может	7	1
17	мы не будем	1	1
18	хотя бы и	1	1
19	в отличие от	3	1
20	и необходимы и	1	1
21	в собственном смысле	1	1
22	так же как	1	1
23	в xix веке	1	1
24	слова но как	1	1
25	но в отличие	1	1
26	если мы не	1	1
27	по сравнению с	1	1
28	в различных формах	1	1
29	еще не решают	1	1
30	во всяком случае	1	1
31	с другой стороны	3	1
32	не может быть	8	1
33	и в формах	1	1
34	не решают вопроса	1	1
35	и это ощущение	1	1
36	но в то	2	1
37	она не только	1	1
38	мы не только	1	1
39	в большинстве случаев	8	1
40	друг с другом	5	1
41	но в этом	1	1
42	он живет в	1	1
43	том числе и	3	1
