N	2gram	Tiupa_Hudo_1	ViktorSh
1	конце концов	1	2
2	и в	14	2
3	том что	16	2
4	в том	12	2
5	в конце	4	2
6	и только	1	1
7	тем более	1	1
8	все дело	1	1
9	ни к	2	1
10	в другом	2	1
11	хотя бы	1	1
12	и не	2	1
13	и его	5	1
14	потому что	5	1
15	я не	1	1
16	даже не	1	1
17	сводится к	1	1
18	и то	1	1
19	самом деле	5	1
20	и т.д	1	1
21	все это	2	1
22	именно в	7	1
23	главным образом	1	1
24	по своим	1	1
25	в их	2	1
26	собственно и	1	1
27	то чего	1	1
28	их как	1	1
29	теории литературы	2	1
30	дело в	1	1
31	в частности	5	1
32	так в	2	1
33	столь же	4	1
34	время в	1	1
35	стоял и	1	1
36	говоря о	2	1
37	в которых	1	1
38	в значительной	2	1
39	жизнь их	1	1
40	в самом	4	1
41	для них	1	1
42	только в	5	1
43	то же	9	1
44	других и	1	1
45	ясно что	2	1
46	так как	1	1
47	далеко не	1	1
48	к чему	1	1
49	не будем	1	1
50	но это	1	1
51	в этом	11	1
52	да и	2	1
53	а только	4	1
54	прозы в	1	1
55	на одном	1	1
56	сколь и	1	1
57	значительной степени	2	1
58	собр соч	1	1
