N	3gram	Voloshinov_1	Freidism
1	с точки зрения	2	11
2	по отношению к	11	8
3	во всяком случае	1	7
4	не может быть	7	7
5	в самом деле	1	6
6	на протяжении всей	1	6
7	и прежде всего	1	5
8	в зависимости от	2	4
9	то же время	1	4
10	в то же	1	4
11	в данном случае	2	4
12	протяжении всей жизни	1	4
13	на самом деле	2	4
14	можно сказать что	5	4
15	как мы уже	1	4
16	бы то ни	3	3
17	и тот же	1	3
18	один и тот	1	3
19	в свою очередь	1	3
20	мы можем сказать	2	3
21	с самого начала	1	3
22	не найдем в	1	3
23	в конечном счете	1	3
24	в чем не	1	2
25	то же самое	2	2
26	и внешней речи	1	2
27	и по отношению	3	2
28	до сих пор	3	2
29	и не может	3	2
30	может быть и	3	2
31	но в то	1	2
32	это прежде всего	1	2
33	внутренней и внешней	1	2
34	в этом отношении	1	2
35	с помощью которой	1	2
36	ни в чем	1	2
37	зависимости от того	1	2
38	то ни было	3	2
39	с одной стороны	2	2
40	тем не менее	3	2
41	в высшей степени	1	2
42	том что в	1	1
43	составная часть его	1	1
44	или хотя бы	1	1
45	но прежде всего	1	1
46	какой степени не	1	1
47	даже тогда когда	1	1
48	в изолированно взятой	1	1
49	зависит от того	2	1
50	уже не может	1	1
51	мы никогда не	2	1
52	все зависит от	1	1
53	равно как и	1	1
54	так как в	1	1
55	нам кажется что	1	1
56	но тем не	2	1
57	в нем и	1	1
58	социальной группы к	1	1
59	лежит на границе	2	1
60	до известной степени	2	1
61	отражает в себе	3	1
62	конечно не может	2	1
63	от того в	1	1
64	на самом же	1	1
65	только то что	1	1
66	по аналогии с	1	1
67	в какой степени	2	1
68	в каком направлении	1	1
69	как бы сценарий	1	1
70	в основе своей	1	1
71	со всех сторон	1	1
72	находят свое выражение	1	1
73	по крайней мере	1	1
74	отнюдь не является	1	1
75	ни в какой	1	1
76	в коем случае	1	1
77	и уже отсюда	1	1
78	влияние на все	1	1
79	это ни в	1	1
80	во внутренней речи	1	1
81	в двух направлениях	1	1
82	далеко не всегда	1	1
83	этот ближайший контекст	1	1
84	ни в коем	1	1
85	принимают участие в	1	1
86	той социальной группы	1	1
87	так именно и	1	1
88	каких бы то	1	1
89	здесь имеет место	1	1
90	уже сказано в	1	1
91	и потому не	1	1
92	в такой же	2	1
93	там же где	1	1
94	группы к которой	1	1
95	находит свое выражение	2	1
96	мы убедились что	1	1
97	и она не	1	1
98	оставаясь в пределах	1	1
99	мы все время	2	1
100	не остается места	1	1
101	таким образом только	1	1
102	если мы обратимся	1	1
103	можно определить как	1	1
104	сих пор не	1	1
105	как уже сказано	1	1
106	имеем в виду	2	1
107	в то время	1	1
108	мы уже сказали	1	1
109	то что мы	1	1
110	и для других	2	1
111	действия и поступки	1	1
112	о том что	1	1
113	ничего общего с	1	1
114	такой же степени	1	1
115	но все же	1	1
116	мы имеем в	1	1
117	мы обратимся к	1	1
118	в этом смысле	1	1
119	это как бы	3	1
120	его содержание но	1	1
121	и в нем	1	1
122	самом же деле	1	1
123	в том что	4	1
124	она не может	1	1
125	вместе с его	1	1
126	он еще не	1	1
