N	3gram	Tiupa_Narr_1	Morfolog
1	и т д	1	47
2	в этих случаях	1	13
3	в связи с	2	8
4	не может быть	4	8
5	подобно тому как	3	5
6	связи с этим	1	5
7	по отношению к	3	4
8	с точки зрения	1	4
9	с другой стороны	1	4
10	тем не менее	3	4
11	как мы увидим	1	3
12	в первом случае	3	3
13	на самом деле	1	3
14	но все же	1	3
15	как и в	1	3
16	состоит в том	2	2
17	более или менее	1	2
18	с этого момента	1	2
19	точно так же	1	2
20	может быть и	1	2
21	с одной стороны	1	2
22	друг на друга	2	2
23	для того чтобы	3	2
24	в том что	5	2
25	одна из них	1	1
26	бросается в глаза	1	1
27	есть на самом	1	1
28	ему в голову	1	1
29	это уже не	1	1
30	она может быть	1	1
31	к чему мы	1	1
32	что иное как	1	1
33	до сих пор	2	1
34	том случае если	1	1
35	бы то ни	1	1
36	не то что	1	1
37	в том случае	1	1
38	он идет по	1	1
39	одно и то	2	1
40	к нему в	1	1
41	в данном случае	8	1
42	в первый раз	1	1
43	же можно сказать	1	1
44	и то же	2	1
45	не входит в	1	1
46	во втором случае	1	1
47	могут прилагаться к	1	1
48	будет зависеть от	1	1
49	во всяком случае	2	1
50	из них не	1	1
51	самом деле в	1	1
52	в глаза что	1	1
53	то же время	4	1
54	и как будто	1	1
55	о том что	2	1
56	то что не	1	1
57	ни одна из	1	1
58	он не может	1	1
59	той или иной	4	1
60	можно сказать что	2	1
61	на то что	2	1
62	в то же	4	1
63	из этих двух	2	1
64	к тому что	1	1
65	друг с другом	1	1
66	будет сказано ниже	1	1
67	но в этом	1	1
68	что я за	1	1
