N	2gram	Losev_Prob_2	StatiiOP
1	и в	35	25
2	в этом	17	24
3	в том	12	20
4	что он	4	19
5	может быть	18	19
6	тем что	4	19
7	что в	11	19
8	что это	1	16
9	том что	19	15
10	в этой	9	14
11	не только	24	12
12	в его	7	12
13	то что	38	12
14	в этих	4	11
15	так что	11	11
16	таким образом	4	10
17	прежде всего	11	10
18	и не	37	10
19	но и	16	9
20	и т	6	8
21	все это	4	8
22	о том	18	8
23	в языке	15	8
24	это было	2	8
25	т е	1	8
26	в своих	3	8
27	с этим	5	7
28	это не	1	7
29	было бы	8	7
30	в то	6	7
31	не может	13	7
32	точки зрения	2	7
33	что такое	18	7
34	г в	1	6
35	место в	1	6
36	и на	5	6
37	как в	1	6
38	из этих	3	6
39	не в	2	6
40	а а	6	6
41	между тем	1	6
42	только в	14	6
43	в конце	7	6
44	в области	6	6
45	как бы	4	6
46	а в	4	6
47	как на	2	6
48	отношения между	1	5
49	то же	5	5
50	то обстоятельство	1	5
51	независимо от	2	5
52	но в	6	5
53	на то	6	5
54	он не	2	5
55	об этом	2	5
56	на почве	1	5
57	ни в	6	5
58	мы имеем	1	5
59	потому что	13	5
60	обстоятельство что	1	5
61	и это	5	5
62	так и	7	5
63	в них	2	5
64	с другой	6	5
65	а не	10	5
66	такого рода	15	5
67	того что	12	5
68	другой стороны	5	5
69	что эти	1	4
70	время как	1	4
71	из которых	2	4
72	в общем	4	4
73	относится к	6	4
74	все же	8	4
75	не было	3	4
76	и к	3	4
77	то в	1	4
78	в целом	3	4
79	в каждом	1	4
80	лишь в	3	4
81	этом смысле	5	4
82	и тем	4	4
83	с тем	3	4
84	как и	5	4
85	у нас	18	4
86	по крайней	6	4
87	ничего не	10	4
88	этом отношении	1	4
89	в каком	4	4
90	отличается от	2	4
91	в ней	2	4
92	и с	10	4
93	если бы	4	4
94	можно сказать	6	4
95	а также	2	4
96	к нему	2	4
97	в качестве	2	4
98	и др	2	4
99	всяком случае	10	4
100	отношение к	1	4
101	то время	1	4
102	крайней мере	6	4
103	в речи	1	4
104	он говорит	1	4
105	это есть	1	4
106	что здесь	1	4
107	в смысле	1	4
108	и для	6	4
109	в отдельных	1	4
110	но это	6	4
111	сказать что	24	4
112	была бы	1	4
113	из этого	2	4
114	это в	2	4
115	можно назвать	1	4
116	во всяком	13	4
117	говорить о	10	3
118	он был	1	3
119	или из	1	3
120	с его	1	3
121	в в	2	3
122	кроме того	5	3
123	и наконец	3	3
124	все эти	7	3
125	и если	3	3
126	всех этих	4	3
127	на этом	1	3
128	от нее	1	3
129	в другом	1	3
130	о которых	3	3
131	несмотря на	3	3
132	нет никакого	1	3
133	в их	3	3
134	и более	5	3
135	тому что	3	3
136	во время	1	3
137	на язык	1	3
138	это слово	1	3
139	связи с	5	3
140	и далее	1	3
141	и здесь	4	3
142	что все	6	3
143	представляют собою	1	3
144	со стороны	1	3
145	и что	13	3
146	по этому	3	3
147	нельзя сказать	1	3
148	и его	1	3
149	уже не	8	3
150	уже в	3	3
151	не так	2	3
152	так как	7	3
153	в системе	2	3
154	как раз	8	3
155	не является	7	3
156	что для	3	3
157	одной стороны	5	3
158	до конца	1	3
159	что мы	14	3
160	в связи	5	3
161	каждая из	1	3
162	между прочим	1	3
163	тем более	10	3
164	другое дело	1	3
165	конце концов	7	3
166	все они	1	3
167	к этому	1	3
168	в виде	6	3
169	в какой	1	3
170	эту вещь	3	2
171	речь идет	2	2
172	самом деле	4	2
173	он может	1	2
174	в чисто	1	2
175	той же	2	2
176	значит и	1	2
177	еще у	1	2
178	не имел	2	2
179	не был	4	2
180	которое он	1	2
181	во всех	2	2
182	тем как	1	2
183	то он	1	2
184	но как	6	2
185	только тогда	3	2
186	если в	1	2
187	не просто	11	2
188	нет и	3	2
189	большое значение	1	2
190	что они	3	2
191	что именно	1	2
192	языкового мышления	1	2
193	более и	1	2
194	им в	1	2
195	в самом	5	2
196	формы в	1	2
197	во многих	2	2
198	и тот	3	2
199	имеем в	2	2
200	за рамки	1	2
201	так сказать	1	2
202	т д	6	2
203	о которой	1	2
204	с нашим	2	2
205	представляет собою	1	2
206	в плане	2	2
207	и по	3	2
208	но все	2	2
209	то есть	39	2
210	заключается в	4	2
211	ни разу	1	2
212	ее в	1	2
213	а с	1	2
214	между собою	4	2
215	мы не	7	2
216	такой же	1	2
217	и тогда	1	2
218	не мог	1	2
219	нас не	3	2
220	в такой	2	2
221	что нужно	1	2
222	в которых	1	2
223	которые в	2	2
224	тем не	12	2
225	если я	2	2
226	для этого	3	2
227	этой области	3	2
228	если и	1	2
229	в отношении	4	2
230	случае в	1	2
231	не менее	13	2
232	но они	1	2
233	как можно	1	2
234	что эта	1	2
235	самого начала	2	2
236	как о	3	2
237	тогда когда	3	2
238	одна из	3	2
239	не имеет	7	2
240	никогда не	1	2
241	и всегда	1	2
242	слова как	3	2
243	этих двух	1	2
244	можно усмотреть	1	2
245	на себе	1	2
246	существуют в	1	2
247	от того	1	2
248	к тому	3	2
249	для того	3	2
250	утверждать что	2	2
251	на это	2	2
252	как мы	5	2
253	то она	1	2
254	с ее	1	2
255	в виду	8	2
256	без всякого	4	2
257	б а	1	2
258	каждый раз	3	2
259	с самого	3	2
260	что у	1	2
261	на нее	1	2
262	или в	2	2
263	времени и	1	2
264	и которые	2	2
265	здесь нет	1	2
266	во многом	1	2
267	по тому	2	2
268	нас к	1	2
269	внимание на	3	2
270	одного из	1	2
271	с одной	5	2
272	на что	1	2
273	что его	1	2
274	и во	1	2
275	этому поводу	2	2
276	и только	4	2
277	все время	1	2
278	еще не	10	2
279	за себя	1	2
280	и ее	2	2
281	есть в	4	2
282	то и	4	2
283	что если	4	2
284	при помощи	8	2
285	а то	1	2
286	вовсе не	37	2
287	должен был	1	2
288	или иной	5	2
289	до сих	4	2
290	слово в	2	2
291	не потому	1	2
292	себя и	1	2
293	что не	5	2
294	каком смысле	1	2
295	не на	1	2
296	что из	2	2
297	ни на	1	2
298	вместе с	2	2
299	в рамках	1	2
300	но не	4	2
301	это за	2	2
302	несколько слов	1	2
303	сих пор	4	2
304	здесь есть	1	2
305	один из	3	2
306	в результате	4	2
307	этого термина	8	2
308	и ни	3	2
309	года в	1	2
310	же к	1	2
311	все более	1	2
312	здесь только	3	2
313	одной из	1	2
314	к сожалению	6	2
315	к этой	1	2
316	гораздо более	4	2
317	значения этого	2	1
318	ту же	1	1
319	в обычном	1	1
320	одним из	1	1
321	также и	12	1
322	языка с	1	1
323	сам по	1	1
324	и то	10	1
325	смысле слова	7	1
326	на самом	4	1
327	тем же	1	1
328	и так	1	1
329	отличие этого	1	1
330	это однако	1	1
331	речи на	1	1
332	по преимуществу	2	1
333	и до	1	1
334	свое место	2	1
335	должна быть	1	1
336	собственном смысле	1	1
337	самого термина	1	1
338	уже по	1	1
339	отношения к	1	1
340	в и	2	1
341	есть не	6	1
342	для своего	1	1
343	в последние	2	1
344	это совершенно	2	1
345	вопрос о	3	1
346	на такие	1	1
347	модель для	2	1
348	нам в	2	1
349	эти шесть	1	1
350	от своих	1	1
351	совпадает с	2	1
352	на себя	1	1
353	но уже	5	1
354	ему в	1	1
355	в некотором	1	1
356	мы и	6	1
357	самый термин	1	1
358	первого взгляда	1	1
359	решение вопроса	1	1
360	с большим	1	1
361	которую можно	1	1
362	между собой	5	1
363	всего этого	1	1
364	то мы	1	1
365	не требует	2	1
366	тот или	5	1
367	у которой	1	1
368	понятно почему	1	1
369	или иначе	6	1
370	а тем	3	1
371	мы будем	1	1
372	с самой	1	1
373	не все	4	1
374	а и	1	1
375	автора но	1	1
376	которые они	1	1
377	до наших	2	1
378	из таких	1	1
379	его развития	1	1
380	которые не	2	1
381	анализ этого	1	1
382	в истории	3	1
383	опирается на	1	1
384	а иной	1	1
385	в своем	4	1
386	и нет	1	1
387	что нет	1	1
388	и как	4	1
389	не являются	3	1
390	но эта	3	1
391	в каком-то	3	1
392	более или	4	1
393	это определение	1	1
394	от этого	1	1
395	поэтому и	1	1
396	тут нет	1	1
397	вещи но	1	1
398	при таком	2	1
399	для которого	1	1
400	хотя она	2	1
401	значения как	2	1
402	в употреблении	1	1
403	в литературном	1	1
404	так или	6	1
405	представляет собой	2	1
406	бы не	3	1
407	думать что	1	1
408	в известном	1	1
409	в дальнейшем	1	1
410	а потом	1	1
411	другом случае	1	1
412	не годится	2	1
413	человек не	2	1
414	новых путей	1	1
415	что она	4	1
416	в нем	1	1
417	значит именно	1	1
418	от которого	1	1
419	одно что	1	1
420	и больше	1	1
421	области не	1	1
422	не связан	1	1
423	же это	5	1
424	пор мы	2	1
425	свое время	1	1
426	какой бы	1	1
427	одной и	2	1
428	что ни	1	1
429	в нее	2	1
430	подход к	1	1
431	смысле в	1	1
432	что такой	1	1
433	к другу	2	1
434	слов о	1	1
435	такое вообще	1	1
436	на этой	2	1
437	о в	3	1
438	это гораздо	1	1
439	является символом	1	1
440	которая как	1	1
441	отражение в	1	1
442	остановиться на	1	1
443	этом мы	1	1
444	он является	2	1
445	то как	1	1
446	а больше	1	1
447	говорится о	2	1
448	чем в	1	1
449	мере не	1	1
450	и того	3	1
451	именно то	1	1
452	несомненно не	1	1
453	особенно для	1	1
454	имел никакого	1	1
455	но я	1	1
456	или менее	4	1
457	бы на	1	1
