N	3gram	Vinokur_Ku_1	NovoeSre
1	не может быть	3	4
2	в наше время	1	3
3	лицом к лицу	1	3
4	в этом смысле	3	2
5	большую роль в	1	2
6	вместе с тем	3	2
7	так же как	1	2
8	не может уже	1	2
9	с одной стороны	1	2
10	это не значит	1	2
11	с другой стороны	6	2
12	когда мы говорим	1	2
13	совсем не в	1	2
14	в том и	2	2
15	и того же	2	1
16	к себе отношения	1	1
17	что в этом	1	1
18	только потому что	6	1
19	одного и того	2	1
20	потому что не	2	1
21	до сих пор	4	1
22	для себя и	1	1
23	том случае если	1	1
24	в зависимости от	5	1
25	сами по себе	1	1
26	в отличие от	1	1
27	не имеют уже	2	1
28	общества конечно не	1	1
29	можно было бы	3	1
30	и не в	1	1
31	в том случае	1	1
32	было бы сказать	1	1
33	в том чтобы	8	1
34	не только в	1	1
35	к вопросу о	1	1
36	потому что такова	1	1
37	и потому что	2	1
38	не в том	4	1
39	во всяком случае	5	1
40	лишь в том	1	1
41	о том что	5	1
42	значение все это	1	1
43	но для этого	1	1
44	и вместе с	1	1
45	не в силах	1	1
46	та или иная	1	1
47	не только потому	1	1
48	мы говорим о	1	1
49	в большинстве случаев	1	1
50	в том смысле	1	1
51	в том что	15	1
52	того чтобы быть	2	1
