N	3gram	Berdyaev_M_1	Otkroven
1	о великом инквизиторе	4	6
2	записок из подполья	5	5
3	о человеке и	6	5
4	о человеке о	2	4
5	от него и	1	4
6	к человеку и	1	4
7	все герои достоевского	2	4
8	до самой глубины	4	3
9	в самой глубине	4	3
10	в творчестве его	4	3
11	в записках из	1	3
12	в легенде о	2	3
13	дважды два четыре	4	3
14	в нем нет	1	3
15	в романах достоевского	1	3
16	вопрос о боге	1	3
17	вопрос о человеке	1	3
18	для того чтобы	2	3
19	записках из подполья	1	3
20	человеке о его	1	3
21	легенде о великом	2	3
22	человеке и его	5	2
23	в глубине человека	1	2
24	к черту и	2	2
25	никогда не было	1	2
26	и ивана карамазова	2	2
27	с разных сторон	1	2
28	о человеческой природе	2	2
29	а не в	4	2
30	у него не	1	2
31	и в самой	1	2
32	в дневнике писателя	2	2
33	не может быть	17	2
34	человеческой природы все	1	2
35	загадка о человеке	3	2
36	как и все	1	2
37	в этом он	2	2
38	достоевский прежде всего	2	2
39	но и в	4	2
40	не могут быть	2	2
41	у него всегда	1	2
42	он не созерцает	2	2
43	с тем что	3	2
44	ни у кого	1	2
45	своем художественном творчестве	1	2
46	в экстазе и	1	2
47	у достоевского было	3	2
48	человеческой природы в	3	2
49	нет ничего кроме	1	2
50	единственно для того	2	2
51	с чего это	1	2
52	пожелать себе даже	2	2
53	что человеку надо	2	2
54	может быть человек	2	2
55	и никогда не	1	2
56	у достоевского с	2	2
57	равно настолько же	1	2
58	в самую глубь	1	2
59	в своем художественном	1	2
60	о человеческой судьбе	1	2
61	не только бога	1	2
62	о достоевском и	2	1
63	дьявол с богом	1	1
64	предварительного расчета все	1	1
65	я уверен что	1	1
66	поминутно доказывал себе	1	1
67	самого достоевского он	1	1
68	самой пустейшей причины	1	1
69	и не быть	1	1
70	и везде кто	1	1
71	добро и зло	1	1
72	в юные беспорочные	1	1
73	о человеке в	1	1
74	их жизни их	1	1
75	непременно последователей найдет	1	1
76	воле пожить курсив	1	1
77	здравым заключениям нашего	1	1
78	воля будет когда	1	1
79	все можно рассчитать	1	1
80	различие между достоевским	1	1
81	что неопределимая а	1	1
82	нашего рассудка о	1	1
83	вихрь страстных человеческих	1	1
84	на своем я	1	1
85	именно чтобы иметь	1	1
86	свободным сердцем должен	1	1
87	в безмерности своих	1	1
88	быть не иное	1	1
89	созерцает божественный покой	1	1
90	от человека к	1	1
91	в его характере	1	1
92	человека и все	1	1
93	иной высший даже	1	1
94	занд в гюго	1	1
95	та самая пропущенная	1	1
96	характер его интересовали	1	1
97	еще люди а	1	1
98	самой жизни а	1	1
99	униженным и оскорбленным	1	1
100	не подходит и	1	1
101	устремлено на людей	1	1
102	и к чему	1	1
103	господа а начало	1	1
104	доказывал себе что	1	1
105	содомским в душе	1	1
106	чтобы самому себе	1	1
107	слишком даже широк	1	1
108	будет одно только	1	1
109	вы так твердо	1	1
110	я нисколько не	1	1
111	должен был человек	1	1
112	ожидать от человека	1	1
113	против собственной выгоды	1	1
114	из самых гениальных	1	1
115	благоразумие с одного	1	1
116	господа может быть	1	1
117	отношение к человеку	2	1
118	как будто бы	2	1
119	ли нам все	1	1
120	какого-то нормального какого-то	1	1
121	уж тут своя	1	1
122	по сравнению с	1	1
123	даже и глупейшего	1	1
124	бы достоевский раскрыл	1	1
125	чтобы человек поминутно	1	1
126	устойчивые формы все	1	1
127	цель на земле	1	1
128	чего это непременно	1	1
129	о выгодах потому	1	1
130	только и заключается	1	1
131	не могу что	1	1
132	проблематическое и загадочное	1	1
133	экстазе и исступлении	1	1
134	потому что ведь	1	1
135	был бы признать	1	1
136	не созерцает красоты	1	1
137	себе подтвердить что	1	1
138	а не фортепианные	1	1
139	уже с идеалом	1	1
140	именно свои фантастические	1	1
141	и горит от	1	1
142	собой единственно для	1	1
143	буйном исступленном движении	1	1
144	ни с того	1	1
145	не было для	1	1
146	случай сделается чтобы	2	1
147	даже вредного глупого	1	1
148	своя воля будет	1	1
149	ни исторические памятники	1	1
150	самостоятельного хотения чего	1	1
151	что русский человек	1	1
152	к гибели но	1	1
153	и ужасная вещь	1	1
154	не стоит именно	1	1
155	брата из всего	1	1
156	достоевского и в	1	1
157	с обычным различием	1	1
158	клавиши если вы	1	1
159	нарочно сумасшедшим на	2	1
160	страшная и ужасная	1	1
161	может быть он	1	1
162	всего выгоднее для	1	1
163	вещь тут дьявол	1	1
164	себе одного только	1	1
165	любил действовать так	1	1
166	о чем хлопочет	1	1
167	главное и самое	1	1
168	этот свой каприз	1	1
169	полярности человеческой природы	2	1
170	случае если приносит	1	1
171	даже глупейшего а	1	1
172	дело-то человеческое кажется	1	1
173	два четыре есть	1	1
174	этот случай сделается	2	1
175	ведь это единственная	1	1
176	а в частности	1	1
177	по природе своей	1	1
178	фантазия раздраженная иногда	1	1
179	дано было познать	1	1
180	никакого другого дела	1	1
181	для нашего брата	1	1
182	не только страшная	1	1
183	на два периода	1	1
184	не откажется страдание	1	1
