N	3gram	Ircho_Kome_3	RusskieA
1	в том что	9	15
2	и т д	1	9
3	состоит в том	2	8
4	вместе с тем	3	6
5	в этом случае	2	5
6	в связи с	3	4
7	о том что	4	4
8	к тому что	1	4
9	в настоящее время	1	3
10	с точки зрения	3	3
11	тем не менее	3	3
12	к этому же	1	2
13	ни одно из	1	2
14	один из них	1	2
15	в других случаях	1	2
16	в свою очередь	6	2
17	но все же	2	2
18	после того как	1	2
19	по этому поводу	1	2
20	потому что он	1	1
21	хотя и не	2	1
22	слезами на глазах	1	1
23	не без основания	1	1
24	на себя внимание	1	1
25	в виду что	1	1
26	по отношению к	3	1
27	подобно тому как	1	1
28	то что и	1	1
29	наряду с этим	2	1
30	со слезами на	1	1
31	в этом отношении	2	1
32	судя по всему	3	1
33	независимо от того	1	1
34	их вместе с	1	1
35	и т п	3	1
36	так как он	1	1
37	в доме и	1	1
38	т е в	2	1
39	обращает на себя	1	1
40	сделать вывод что	1	1
41	по своему происхождению	1	1
42	даже если бы	1	1
43	имеет ничего общего	1	1
44	в отличие от	1	1
45	и в этом	1	1
46	но вместе с	1	1
47	потому что по	1	1
48	во всяком случае	3	1
49	сомнения в том	1	1
50	не имеет ничего	1	1
51	мы можем судить	1	1
52	так как этот	1	1
53	в то время	2	1
54	к этому времени	1	1
55	с тем у	1	1
56	ничего общего с	1	1
57	можно сделать вывод	1	1
58	вопрос о том	1	1
59	можно сказать что	1	1
60	на то что	1	1
61	друг с другом	1	1
62	что и в	2	1
63	как мы знаем	1	1
