N	3gram	Berdyaev_V_1	Vladivir
1	в том что	2	7
2	в конце концов	1	3
3	с другой стороны	1	3
4	том что он	2	2
5	и т д	2	2
6	да и то	1	1
7	отношение к богу	1	1
8	и вообще в	1	1
9	людей но и	1	1
10	бы то ни	1	1
11	от него в	1	1
12	вместе с тем	1	1
13	что он был	1	1
14	жил и в	1	1
15	и в этом	1	1
16	в тот день	1	1
17	потому что их	1	1
18	раз и навсегда	1	1
19	так и в	1	1
20	и вместе с	1	1
21	и теперь в	1	1
22	и все это	1	1
23	и никогда не	1	1
24	что все в	1	1
25	за то что	3	1
26	к тому что	3	1
27	может быть этот	1	1
28	и что в	1	1
29	в жизни и	1	1
