1	у нас	2	3
2	все это	3	2
3	в ней	4	2
4	и не	26	2
5	можно было	2	2
6	и в	19	1
7	все же	8	1
8	точке зрения	2	1
9	на самом	3	1
10	должна быть	2	1
11	не только	8	1
12	далеко не	4	1
13	таким образом	17	1
14	такое определение	1	1
15	от значения	1	1
16	в данном	4	1
17	а не	7	1
18	и полнее	1	1
19	было бы	4	1
20	как всякий	1	1
21	и более	2	1
22	не следует	1	1
23	бы только	1	1
24	прежде всего	13	1
25	кроме того	6	1
26	и во	2	1
27	не о	1	1
28	как часть	1	1
29	в пределах	6	1
30	то как	2	1
31	не укладывается	1	1
32	отнюдь не	6	1
33	и на	4	1
34	так и	11	1
35	и полно	1	1
36	говорить о	1	1
37	к ней	1	1
38	по отдельным	1	1
39	и потому	5	1
40	между ними	4	1
41	одной из	3	1
42	всего в	1	1
43	во всяком	5	1
44	и ее	3	1
45	является только	1	1
46	еще не	4	1
47	выходит за	1	1
48	не было	3	1
49	в значительной	1	1
50	совершенно не	3	1
51	с другой	5	1
52	в своей	3	1
53	не учтен	1	1
54	самостоятельная и	1	1
55	говорить об	1	1
56	творчества и	1	1
57	его не	1	1
58	короче говоря	1	1
59	значительной степени	1	1
60	же не	1	1
61	всяком случае	2	1
62	о них	1	1
63	до конца	5	1
64	что все	2	1
65	вопрос о	4	1
66	в области	3	1
67	достаточно точно	1	1
68	за пределы	5	1
69	не все	2	1
70	по теории	1	1
71	значение слова	1	1
72	что в	4	1
73	другой стороны	6	1
