N	2gram	Potebnia_M_3	Retstnzi
1	не может	6	4
2	и в	30	3
3	один из	4	2
4	если в	1	2
5	нет и	1	1
6	грамматических категорий	2	1
7	лежащие в	1	1
8	себе все	1	1
9	и не	15	1
10	тому что	3	1
11	не только	21	1
12	художественного произведения	5	1
13	связи с	2	1
14	себя от	2	1
15	точки зрения	2	1
16	так называемая	1	1
17	но и	19	1
18	и заставляет	1	1
19	не менее	5	1
20	в системе	2	1
21	с другими	5	1
22	тех же	1	1
23	по своим	1	1
24	в ней	8	1
25	может и	1	1
26	в то	10	1
27	с точки	1	1
28	истории но	1	1
29	и на	3	1
30	при сравнении	1	1
31	для него	9	1
32	мы видим	2	1
33	в языке	7	1
34	на нее	1	1
35	к тому	7	1
36	а не	15	1
37	может быть	28	1
38	несмотря на	2	1
39	в его	4	1
40	же время	5	1
41	то же	23	1
42	и все	3	1
43	из этих	9	1
44	можно назвать	1	1
45	нуждаются в	1	1
46	если бы	12	1
47	в каждом	3	1
48	исходя из	1	1
49	бы в	2	1
