N	2gram	Medvedev_F_1	Russkaja
1	не может	16	22
2	и не	20	19
3	в том	6	17
4	в этом	15	17
5	и в	24	14
6	то что	8	13
7	то же	10	11
8	точки зрения	16	11
9	таким образом	13	11
10	в то	9	10
11	же время	8	10
12	но и	7	10
13	в себе	3	9
14	не только	7	9
15	том что	1	9
16	с точки	13	9
17	может быть	14	9
18	во всяком	4	9
19	того чтобы	1	8
20	прежде всего	22	8
21	как на	4	8
22	самом деле	6	7
23	отнюдь не	6	7
24	и если	2	7
25	и с	8	7
26	в данном	1	7
27	к тому	3	7
28	ни к	1	7
29	к которой	1	6
30	если в	1	6
31	в своем	11	6
32	и к	4	6
33	в россии	3	6
34	с тем	2	6
35	в своих	2	6
36	если бы	4	6
37	все это	9	6
38	и для	1	6
39	что он	3	6
40	всяком случае	4	6
41	для всех	1	6
42	для него	3	6
43	на самом	7	6
44	а между	1	5
45	вопрос о	2	5
46	и на	8	5
47	между собой	1	5
48	во всех	5	5
49	на то	1	5
50	в нем	14	5
51	при этом	5	5
52	он не	3	5
53	он должен	3	5
54	было бы	6	5
55	в своей	11	5
56	никогда не	4	5
57	потому что	1	5
58	между тем	2	5
59	только в	2	5
60	хотя бы	5	5
61	конечно не	4	5
62	или иной	1	5
63	до сих	6	5
64	из которых	1	5
65	по существу	2	5
66	сих пор	6	5
67	а в	6	5
68	жизни в	2	5
69	бы то	3	4
70	но не	3	4
71	себя в	1	4
72	все же	3	4
73	более или	6	4
74	не в	8	4
75	в этой	6	4
76	тому чтобы	1	4
77	то ни	3	4
78	его в	3	4
79	как и	11	4
80	или менее	6	4
81	в их	11	4
82	во всем	2	4
83	а лишь	2	4
84	от того	2	4
85	не могут	1	4
86	при таких	1	4
87	приводит к	2	4
88	в мире	4	4
89	в его	23	4
90	так как	1	4
91	со стороны	5	4
92	вместе с	2	4
93	что же	1	4
94	как бы	6	4
95	к вопросу	1	4
96	возможно лишь	1	4
97	жизни и	7	4
98	что в	4	4
99	к этой	4	4
100	и т	12	3
101	сил и	1	3
102	то в	1	3
103	и этот	1	3
104	говорить о	1	3
105	и ни	1	3
106	еще не	6	3
107	окажется в	1	3
108	из этих	1	3
109	что они	1	3
110	во что	2	3
111	в самом	5	3
112	главным образом	4	3
113	и по	1	3
114	в другом	1	3
115	лишь в	8	3
116	для них	1	3
117	несмотря на	1	3
118	должно быть	11	3
119	всех этих	3	3
120	таким же	2	3
121	знаем что	1	3
122	том чтобы	2	3
123	одна из	2	3
124	связи с	3	3
125	в сознании	1	3
126	что оно	1	3
127	данном случае	1	3
128	ни стало	2	3
129	для этого	4	3
130	сводится к	3	3
131	может не	1	3
132	и во	1	3
133	что и	2	3
134	что бы	5	3
135	в лучшем	3	3
136	того что	5	3
137	одной из	2	3
138	в большинстве	3	3
139	в виде	1	3
140	из них	1	3
141	друг друга	4	3
142	именно в	8	3
143	что для	1	3
144	не было	3	3
145	ко всем	2	3
146	и потому	9	3
147	культуры в	1	3
148	лучшем случае	3	3
149	или в	1	3
150	и как	3	3
151	не есть	2	3
152	из этого	1	3
153	себя как	1	2
154	от этой	1	2
155	к отрицанию	2	2
156	и есть	1	2
157	должна быть	7	2
158	на себя	1	2
159	но даже	1	2
160	в ней	10	2
161	время в	3	2
162	именно на	1	2
163	по отношению	4	2
164	тогда как	1	2
165	друг от	2	2
166	сама по	2	2
167	с этим	2	2
168	последнее время	1	2
169	целый ряд	3	2
170	и наконец	3	2
171	но в	5	2
172	не можем	2	2
173	все эти	6	2
174	и те	2	2
175	сами эти	1	2
176	стремиться к	1	2
177	культуре и	1	2
178	состоит в	1	2
179	и вот	2	2
180	так часто	1	2
181	чтобы в	1	2
182	касается до	1	2
183	мы уже	1	2
184	на этой	1	2
185	того или	2	2
186	на почве	13	2
187	по себе	5	2
188	и тем	1	2
189	ведь в	1	2
190	стремления к	1	2
191	участие в	1	2
192	этого не	1	2
193	ему по	1	2
194	культуры с	2	2
195	и тогда	1	2
196	нисколько не	2	2
197	в этих	1	2
198	что такое	2	2
199	в котором	1	2
200	место в	7	2
201	в силу	1	2
202	друг другу	1	2
203	зрения этой	1	2
204	и более	2	2
205	том и	1	2
206	для нее	1	2
207	тому что	1	2
208	она не	6	2
209	для нас	1	2
210	у него	1	2
211	следовательно и	2	2
212	людей и	1	2
213	и является	2	2
214	на которой	1	2
215	в области	3	2
216	если только	1	2
217	свое собственное	1	2
218	в роде	3	2
219	всю свою	2	2
220	отличается от	3	2
221	понять что	1	2
222	если же	2	2
223	и о	1	2
224	от друга	2	2
225	культуры и	3	2
226	если они	1	2
