N	2gram	Tiupa_Anal_1	Sotsiolo
1	истории литературы	4	10
2	в том	27	5
3	в этом	13	5
4	и только	1	3
5	более чем	4	3
6	для нас	1	3
7	не только	15	3
8	и в	18	3
9	о литературе	3	3
10	не в	14	3
11	в его	13	3
12	за пределы	2	2
13	историка литературы	1	2
14	но и	17	2
15	было бы	2	2
16	она может	3	2
17	должна быть	1	2
18	только в	6	2
19	дело не	3	2
20	по природе	3	2
21	далеко не	6	2
22	в результате	1	2
23	в литературоведении	2	2
24	тем более	2	2
25	том что	12	2
26	в частности	19	2
27	как будто	3	2
28	то что	6	2
29	или даже	1	2
30	и что	1	2
31	литературы и	1	2
32	еще не	3	2
33	заключается что	1	2
34	таким образом	3	2
35	отношению к	5	2
36	что в	5	2
37	может быть	29	2
38	как бы	5	2
39	по отношению	6	2
40	и заключается	2	2
41	то же	9	2
42	крайней мере	1	1
43	что все	1	1
44	я и	6	1
45	же не	1	1
46	противном случае	1	1
47	быть не	3	1
48	нашей работы	1	1
49	наконец в	1	1
50	по себе	4	1
51	даже в	3	1
52	в мире	8	1
53	и цельного	1	1
54	в этой	5	1
55	тому что	1	1
56	отнюдь не	15	1
57	эти два	1	1
58	и должны	1	1
59	выходит за	1	1
60	даже не	1	1
61	на все	2	1
62	с другой	4	1
63	ни одно	2	1
64	его в	1	1
65	данный человек	1	1
66	литературы как	2	1
67	только для	2	1
68	с ним	4	1
69	это не	6	1
70	науки о	2	1
71	именно в	4	1
72	в чем	1	1
73	характера это	1	1
74	все же	4	1
75	в противном	1	1
76	один из	2	1
77	и есть	3	1
78	перед нами	1	1
79	в то	9	1
80	и наконец	1	1
81	а с	3	1
82	том как	1	1
83	и как	5	1
84	в процессе	2	1
85	что он	3	1
86	прежде всего	6	1
87	литературный факт	1	1
88	объекта и	3	1
89	произведение как	1	1
90	в них	1	1
91	так и	4	1
92	не было	1	1
93	к субъекту	1	1
94	одной стороны	3	1
95	те же	1	1
96	научной мысли	1	1
97	и не	21	1
98	в любой	1	1
99	опирающаяся на	1	1
100	из себя	1	1
101	на тех	1	1
102	никогда не	2	1
103	автор остается	1	1
104	мы не	1	1
105	это как	2	1
106	же время	6	1
107	ничего не	1	1
108	между собою	1	1
109	и о	2	1
110	связь между	1	1
111	все эти	2	1
112	как и	13	1
113	между собой	2	1
114	может она	1	1
115	для этого	2	1
116	иначе говоря	9	1
117	она должна	1	1
118	мы должны	1	1
119	специфическую природу	1	1
120	остается в	1	1
121	в сущности	6	1
122	образом в	1	1
123	в связи	1	1
124	на первый	1	1
125	и его	5	1
126	в этих	1	1
127	место в	3	1
128	литературного развития	1	1
129	связи с	1	1
130	или не	2	1
131	хотя бы	3	1
132	вступает в	3	1
133	отвечает требованиям	1	1
134	в целом	5	1
135	не может	22	1
136	в своей	6	1
137	только тогда	1	1
138	и должно	1	1
139	не от	1	1
140	а в	9	1
141	не способен	1	1
142	как совокупность	2	1
143	о том	5	1
144	в области	4	1
145	и потому	2	1
146	в него	1	1
147	в котором	3	1
148	между ними	1	1
149	исторической поэтики	2	1
150	могут оказаться	2	1
151	говоря иначе	1	1
152	положения в	1	1
153	на что	1	1
154	представляется нам	1	1
155	может не	1	1
156	столь же	4	1
157	всяком случае	1	1
158	собой не	2	1
159	на точке	1	1
160	в силу	3	1
161	ни на	1	1
162	в конечном	4	1
163	что это	1	1
164	вовсе не	2	1
165	на отдельные	1	1
166	же самое	2	1
167	с одной	3	1
168	может служить	2	1
169	но не	10	1
170	у него	1	1
171	а тем	1	1
172	в виде	1	1
173	в данном	2	1
174	между тем	5	1
175	но как	1	1
176	и по	2	1
177	это происходит	1	1
178	конечном счете	4	1
179	по крайней	1	1
180	не умея	1	1
181	это по	1	1
182	и более	4	1
183	том и	2	1
184	во всяком	1	1
185	они не	1	1
