N	3gram	Tiupa_Disk_2	Problema
1	тем не менее	1	18
2	в данном случае	6	8
3	содержит в себе	2	7
4	о том что	3	5
5	в том что	6	5
6	только то что	1	4
7	еще не есть	1	4
8	то есть в	1	4
9	той или иной	3	4
10	в то же	4	4
11	что же касается	2	3
12	дело в том	2	3
13	с точки зрения	2	3
14	во всяком случае	1	3
15	то что в	1	3
16	можно сказать что	1	3
17	с другой стороны	1	3
18	в себе не	1	3
19	и того же	2	2
20	в этом случае	2	2
21	не говоря уже	1	2
22	то есть по	1	2
23	в самом деле	1	2
24	по крайней мере	1	2
25	именно в этом	1	2
26	и то что	2	2
27	а также и	1	2
28	не может быть	3	2
29	того или иного	1	2
30	и как бы	2	2
31	одного и того	2	2
32	а часто и	1	2
33	подобно тому как	2	2
34	и может быть	2	1
35	все дело в	1	1
36	мы имеем дело	1	1
37	не жаль мне	1	1
38	том что ни	1	1
39	а потом и	2	1
40	не имеют никакого	1	1
41	говоря уже о	1	1
42	и в то	1	1
43	до известной степени	1	1
44	друг на друга	1	1
45	имеем дело не	1	1
46	в первую очередь	2	1
47	в этом отношении	4	1
48	того и другого	1	1
49	но для этого	1	1
50	в основе своей	2	1
51	одно и то	2	1
52	в это время	1	1
53	что ни один	1	1
54	является такого рода	1	1
55	тем что он	1	1
56	на первый взгляд	2	1
57	и не быть	1	1
58	и то же	2	1
59	так и в	3	1
60	как будто бы	1	1
61	или по крайней	1	1
62	в искусстве не	1	1
63	о том какое	1	1
64	не могут быть	1	1
65	несет в себе	2	1
66	бы то ни	1	1
67	на известного рода	1	1
68	дело не с	1	1
69	имеют никакого отношения	1	1
70	что в них	1	1
71	не только от	1	1
72	как и в	5	1
