N	2gram	Tiupa_Lite_2	OGranits
1	и в	19	13
2	и его	3	12
3	прежде всего	4	9
4	может быть	17	8
5	не может	9	8
6	и не	11	8
7	и т.п	10	7
8	в его	4	7
9	точки зрения	4	7
10	как бы	2	6
11	не только	8	6
12	то что	7	6
13	таким образом	1	6
14	и т.д	7	5
15	все же	2	5
16	и наконец	2	5
17	в поэзии	3	5
18	с точки	3	5
19	хотя бы	2	5
20	эстетического объекта	1	5
21	и эта	1	5
22	мы не	4	4
23	произведения как	1	4
24	но мы	1	4
25	тех пор	1	4
26	еще и	1	4
27	на фоне	5	4
28	но в	2	4
29	до тех	1	4
30	вопроса о	1	4
31	то же	12	4
32	в сознании	1	4
33	в своей	1	4
34	в школе	1	4
35	было бы	2	4
36	только и	1	4
37	не является	2	4
38	в каждом	2	4
39	и то	3	3
40	поэтической речи	1	3
41	в ее	2	3
42	самом деле	1	3
43	в пределах	1	3
44	так и	7	3
45	в их	3	3
46	пор пока	1	3
47	по отношению	4	3
48	за пределы	1	3
49	общего с	1	3
50	ни один	1	3
51	в себе	6	3
52	в одном	2	3
53	так как	3	3
54	одно и	2	3
55	здесь мы	1	3
56	но и	10	3
57	как и	10	3
58	со всей	1	3
59	что же	1	3
60	не в	4	3
61	и для	3	3
62	никогда не	3	3
63	и все	1	3
64	отношению к	3	3
65	не столько	3	3
66	что в	4	3
67	в искусстве	4	3
68	ничего общего	1	3
69	для себя	2	2
70	ни одно	1	2
71	и др	3	2
72	данном случае	3	2
73	полном соответствии	1	2
74	п.н медведев	1	2
75	есть не	1	2
76	мог бы	1	2
77	в ней	4	2
78	ее в	1	2
79	а также	2	2
80	в чем	1	2
81	во всей	1	2
82	наконец в	2	2
83	как в	1	2
84	в данном	3	2
85	в этом	9	2
86	автора героя	1	2
87	в полном	1	2
88	для поэта	1	2
89	в том	10	2
90	тот же	2	2
91	в действительности	1	2
92	от этого	1	2
93	в этот	1	2
94	которое мы	1	2
95	в целом	2	2
96	все эти	1	2
97	с одной	7	2
98	уже в	2	2
99	наша жизнь	1	2
100	в нем	3	2
101	при этом	6	2
102	для него	4	2
103	в другом	3	2
104	вовсе не	2	2
105	тем что	4	2
106	в них	2	2
107	в области	4	2
108	с другой	8	2
109	всей своей	3	2
110	в самом	1	2
111	одной стороны	6	2
112	соответствии с	2	2
113	литературное произведение	1	2
114	более того	1	2
115	а не	20	2
116	другой стороны	4	2
117	в руках	2	2
118	между собою	1	2
119	не мог	1	2
120	том что	7	2
121	от своего	1	2
122	так же	1	2
123	в отношении	1	2
124	своего рода	13	2
125	с этой	2	2
126	слова и	7	2
