N	3gram	Bakhtin_Pr_3	Komedia
1	до сих пор	5	9
2	в том что	3	9
3	в то же	5	4
4	о том что	2	4
5	то же время	5	4
6	с самого начала	3	4
7	по отношению к	1	3
8	с точки зрения	2	3
9	у того же	1	3
10	в связи с	1	3
11	во всяком случае	1	3
12	тем не менее	2	3
13	то же самое	1	3
14	хотя и не	1	2
15	состоит в том	1	2
16	так или иначе	1	2
17	по сравнению с	4	2
18	в этом отношении	1	2
19	вместе с ним	1	2
20	в конце концов	1	2
21	по отношению ко	1	2
22	с другой стороны	1	2
23	именно потому что	1	2
24	и тому же	2	1
25	в обоих случаях	1	1
26	отношению ко всем	1	1
27	более или менее	3	1
28	сходятся в одной	1	1
29	равно как и	1	1
30	в том числе	11	1
31	же время все	1	1
32	в соответствии с	2	1
33	сих пор они	1	1
34	сих пор еще	2	1
35	мы еще вернемся	3	1
36	и в то	2	1
37	в зависимости от	2	1
38	мы конечно не	1	1
39	в отличие от	1	1
40	на базарной площади	1	1
41	к человеку и	1	1
42	один шаг до	1	1
43	и не может	1	1
44	каждом из них	2	1
45	об этом не	1	1
46	может быть только	1	1
47	по крайней мере	1	1
48	как это не	1	1
49	еще не знает	1	1
50	в эпоху создания	1	1
51	таким образом и	1	1
52	нашей работы в	1	1
53	почти во всех	2	1
54	но при этом	1	1
55	и вся его	1	1
56	по своему стилю	1	1
57	тем более на	1	1
58	для нашего времени	1	1
59	в разной степени	1	1
60	время все эти	1	1
61	покончить с собой	1	1
62	со всеми их	1	1
63	так и в	2	1
64	можно сказать что	4	1
65	и никогда не	1	1
66	и до сих	1	1
67	и тем более	1	1
68	мы находим у	1	1
69	к одному и	2	1
70	после того как	1	1
71	в каждом из	3	1
72	друг от друга	1	1
73	человека в глазах	1	1
74	человека и его	3	1
75	одному и тому	2	1
76	и все его	1	1
77	том числе и	10	1
