N	2gram	Tiupa_Lite_3	Formalny
1	и не	22	30
2	вовсе не	1	28
3	и в	16	27
4	может быть	12	25
5	не может	8	24
6	так и	9	21
7	и его	6	19
8	в этом	14	18
9	а не	12	17
10	точки зрения	7	16
11	самом деле	3	16
12	в нем	2	15
13	то же	9	15
14	в процессе	1	15
15	как и	5	14
16	на самом	1	14
17	с точки	3	14
18	не в	10	12
19	если бы	2	12
20	в жизни	8	11
21	художественное произведение	2	11
22	и т	1	11
23	в самом	3	11
24	и от	1	11
25	но и	14	10
26	место в	4	10
27	так же	2	9
28	в действительности	1	9
29	лишь в	5	9
30	не только	14	9
31	так как	1	9
32	входит в	4	8
33	при этом	15	8
34	и все	1	8
35	как раз	2	8
36	что в	2	8
37	то что	12	8
38	как мы	2	8
39	только в	7	8
40	отнюдь не	3	8
41	как бы	8	8
42	же время	7	7
43	не менее	2	7
44	там где	3	7
45	с тем	1	7
46	его в	2	7
47	в искусстве	1	7
48	совершенно не	3	7
49	потому что	3	7
50	в том	12	7
51	между тем	3	7
52	в его	6	7
53	в то	9	7
54	художественного произведения	2	7
55	все это	1	7
56	все же	2	6
57	бы в	1	6
58	еще не	6	6
59	в литературе	1	6
60	и для	4	6
61	и ее	2	6
62	и теперь	1	6
63	в своей	7	6
64	более того	3	6
65	что он	5	6
66	произведения в	3	6
67	вместе с	5	6
68	все время	3	6
69	хотя бы	1	6
70	в своих	2	6
71	но в	3	6
72	с другой	6	6
73	было бы	2	6
74	в данном	4	6
75	что они	1	5
76	т п	1	5
77	связи с	2	5
78	и их	1	5
79	независимо от	1	5
80	того чтобы	2	5
81	в художественном	1	5
82	но не	4	5
83	никогда не	4	5
84	высказывания и	1	5
85	в единстве	3	5
86	в каждом	1	5
87	и потому	2	5
88	в истории	1	5
89	тем что	2	5
90	тому как	3	5
91	друг друга	1	5
92	другой стороны	2	5
93	поэтическое произведение	1	5
94	ни было	2	5
95	так сказать	1	5
96	в ней	1	5
97	в связи	1	4
98	из этого	1	4
99	жизни и	3	4
100	бы то	2	4
101	прежде всего	3	4
102	и является	1	4
103	смысла и	1	4
104	на ее	1	4
105	как это	3	4
106	по себе	2	4
107	социальной жизни	1	4
108	для того	2	4
109	жизнь не	1	4
110	в ее	5	4
111	слова и	1	4
112	в корне	1	4
113	произведение в	1	4
114	литературного произведения	1	4
115	данном случае	4	4
116	к тому	6	4
117	и восприятия	1	4
118	они не	1	4
119	установка на	2	4
120	в целом	5	4
121	тогда когда	1	4
122	то ни	2	4
123	в романе	3	4
124	он был	1	4
125	в слове	3	4
126	со стороны	7	4
127	она не	1	4
128	до конца	4	4
129	подобно тому	2	4
130	о том	6	4
131	уже в	1	4
132	конечно не	1	4
133	как в	5	4
134	только на	1	4
135	и как	3	4
136	не есть	1	4
137	том что	8	4
138	столь же	1	3
139	одним из	4	3
140	может и	1	3
141	исполнения и	1	3
142	и с	2	3
143	для нас	1	3
144	что жизнь	1	3
145	мы и	2	3
146	можно сказать	2	3
147	того же	2	3
148	в поэзии	5	3
149	лишь как	1	3
150	совершается в	1	3
151	нуждается в	1	3
152	пришли к	1	3
153	в конце	2	3
154	во всех	2	3
155	бы и	3	3
156	всех других	1	3
157	жизни в	4	3
158	оно не	2	3
159	время в	2	3
160	того что	9	3
161	исторического процесса	1	3
162	в той	1	3
163	нет и	1	3
164	это не	5	3
165	жизнь и	1	3
166	в этих	1	3
167	и на	2	3
168	между людьми	2	3
169	ее в	2	3
170	у нас	2	3
171	к его	1	3
172	не на	1	3
173	слово как	1	3
174	действительности в	2	3
175	сказать что	1	3
176	а и	2	3
177	уже не	3	3
178	как от	1	3
179	в них	1	3
180	в виду	1	3
181	и тем	3	3
182	мы уже	1	3
183	тому что	1	3
184	этом отношении	5	3
185	той же	3	3
186	по отношению	4	3
187	в основе	5	3
188	и более	1	3
189	на фоне	1	3
190	отношению к	4	3
191	о нем	2	3
192	вследствие этого	2	3
193	искусства в	1	3
194	в себе	6	3
195	еще в	3	3
196	же самое	2	3
197	он и	2	3
198	бы быть	1	2
199	говорить о	1	2
200	за счет	1	2
201	это и	1	2
202	в стихах	6	2
203	для этого	1	2
204	сам он	1	2
205	жизни с	1	2
206	именно на	1	2
207	произведение входит	1	2
208	внутреннего мира	1	2
209	здесь не	2	2
210	но при	1	2
211	и действительно	1	2
212	был бы	1	2
213	в реальное	2	2
214	друг другу	1	2
215	в нас	2	2
216	так чтобы	2	2
217	в котором	1	2
218	и всякое	1	2
