N	2gram	Bakhtin_KF_1	VelikijI
1	и не	26	20
2	и в	24	16
3	так как	1	9
4	то что	7	9
5	еще не	4	8
6	в истории	1	8
7	а не	17	7
8	и потому	2	7
9	не есть	20	6
10	но и	9	5
11	того что	3	5
12	хотя и	1	5
13	в мире	6	5
14	все это	10	5
15	что есть	2	5
16	как бы	9	5
17	и есть	9	4
18	говорить о	2	4
19	во мне	3	4
20	в его	40	4
21	и я	5	4
22	в этом	14	4
23	что он	2	4
24	потому что	2	4
25	в нем	28	4
26	так и	2	4
27	что все	1	4
28	что не	3	4
29	как и	5	4
30	что мы	1	4
31	в котором	24	4
32	в ней	3	4
33	и все	7	4
34	они будут	1	4
35	все что	1	4
36	от этого	2	3
37	этого мира	3	3
38	должна быть	4	3
39	хотя бы	4	3
40	как не	1	3
41	лишь в	8	3
42	в чем	4	3
43	с его	1	3
44	во всех	11	3
45	христа в	1	3
46	что и	7	3
47	и будет	1	3
48	в том	6	3
49	тот же	1	3
50	но в	5	3
51	бы и	3	3
52	все эти	10	3
53	их в	1	3
54	в своей	10	3
55	и мы	2	3
56	в жизни	2	3
57	не нужна	1	3
58	ни в	12	3
59	не было	8	3
60	должно быть	6	3
61	если не	2	3
62	в этих	1	3
63	нет ничего	1	3
64	что я	5	3
65	не в	12	3
66	из первого	1	3
67	к чему	3	3
68	тому что	2	3
69	но это	6	3
70	к бытию	1	3
71	не имеет	5	3
72	никогда не	5	3
73	превращается в	1	3
74	и для	9	3
75	к тому	1	3
76	жизни и	8	3
77	что в	4	3
78	оно не	2	3
79	и это	12	2
80	того чтобы	2	2
81	и то	2	2
82	от своей	5	2
83	но мы	1	2
84	во главе	2	2
85	с нашего	1	2
86	и за	2	2
87	его не	1	2
88	мы не	3	2
89	в последнем	1	2
90	с ним	5	2
91	вместо того	1	2
92	своей истории	2	2
93	освобождения от	1	2
94	ее и	6	2
95	и во	1	2
96	между тем	4	2
97	нет и	3	2
98	не с	1	2
99	человека как	1	2
100	его к	2	2
101	только в	16	2
102	в себя	7	2
103	смысл мира	1	2
104	конечно не	7	2
105	уже не	7	2
106	не только	5	2
107	пред тобой	1	2
108	его и	2	2
109	для него	8	2
110	не к	1	2
111	и никогда	1	2
112	тем что	3	2
113	на том	1	2
114	не будет	2	2
115	ценности и	4	2
116	это не	10	2
117	а с	2	2
118	прежде всего	2	2
119	все равно	1	2
120	с тем	2	2
121	один из	2	2
122	мира в	6	2
123	когда я	3	2
124	более чем	1	2
125	мир и	1	2
126	а есть	1	2
127	самого себя	1	2
128	это дело	1	2
129	одна из	1	2
130	том что	4	2
131	а к	1	2
132	для нас	4	2
133	от него	3	2
134	и теперь	1	2
135	ее в	1	2
136	до того	1	2
137	людей и	2	2
138	а в	4	2
139	но не	12	2
140	в духе	1	2
141	могут быть	3	2
142	всего в	1	2
143	во всяком	1	2
144	всегда в	1	1
145	небо это	1	1
146	нас как	1	1
147	отрываю себя	1	1
148	в виду	3	1
149	для себя	5	1
150	в ее	16	1
151	ты и	1	1
152	и до	1	1
153	нем но	1	1
154	не имеют	1	1
155	мы будем	1	1
156	то же	5	1
157	их и	1	1
158	живет в	1	1
159	да мы	1	1
160	бытие не	4	1
161	в результате	1	1
162	истины и	2	1
163	и тут	1	1
164	это только	2	1
165	что уже	1	1
166	вопрос о	2	1
167	основана на	1	1
168	не была	1	1
169	еще когда	1	1
170	но может	1	1
171	только это	2	1
172	смысл бытия	1	1
173	о возможности	1	1
174	никогда и	1	1
175	я не	6	1
176	и начало	1	1
177	и ее	2	1
178	не был	1	1
179	зависимости от	1	1
180	меня в	3	1
181	в их	8	1
182	и на	3	1
183	бы то	2	1
184	оно ни	1	1
185	любви к	1	1
186	конечно это	1	1
187	других людей	1	1
188	и единый	2	1
189	все в	1	1
190	за тобой	1	1
191	это факт	1	1
192	этого бытия	1	1
193	к нему	12	1
194	ко всякому	1	1
195	но как	5	1
196	ее от	1	1
197	от них	1	1
198	сознания не	2	1
199	менее всего	6	1
200	истина не	1	1
201	но нет	2	1
202	себе и	3	1
203	себя но	1	1
204	не просто	1	1
205	мире и	1	1
206	это лишь	1	1
207	и можно	1	1
208	мы дадим	1	1
209	окончательно в	1	1
210	его на	2	1
211	как в	2	1
212	и мир	2	1
213	оторванное от	1	1
214	в своем	16	1
215	известном смысле	1	1
216	самого факта	2	1
217	все же	5	1
218	но с	1	1
219	мы видим	1	1
220	с ними	3	1
221	и свою	1	1
222	в разные	1	1
223	и так	1	1
224	это очень	1	1
225	в самом	1	1
226	в которой	1	1
227	что это	3	1
228	бы ни	1	1
229	в целом	10	1
230	их не	1	1
231	и моей	1	1
232	и этими	1	1
233	в этой	2	1
234	в известном	1	1
235	же и	1	1
236	я в	1	1
237	и современная	1	1
238	жизнь как	6	1
239	истины не	1	1
240	в виде	2	1
241	но прежде	1	1
242	только себя	1	1
243	в теоретическом	2	1
244	вот наша	1	1
245	перестает быть	1	1
246	и навсегда	2	1
247	и должна	3	1
248	вовсе не	7	1
249	не для	1	1
250	значит быть	1	1
251	себя от	1	1
252	отношение к	5	1
253	бытия и	10	1
254	этом мире	2	1
255	и по	1	1
256	на этом	1	1
257	для того	3	1
258	то ни	2	1
259	в едином	9	1
260	любит и	1	1
261	конечно в	2	1
262	и с	1	1
263	единственного бытия	7	1
264	себя не	3	1
265	человеком как	1	1
266	и менее	1	1
267	истина и	1	1
268	этом пути	1	1
269	миру и	1	1
270	мы забыли	1	1
271	к миру	1	1
272	бытия в	5	1
273	весь мир	2	1
274	и тем	3	1
275	тобой и	1	1
276	были в	1	1
277	нового времени	1	1
278	к человеку	1	1
279	это бытие	1	1
280	и своего	1	1
281	она и	1	1
282	их для	2	1
283	ничем не	1	1
284	человеческой жизни	1	1
285	и уже	1	1
286	с которым	1	1
287	жизнь в	1	1
288	жизни но	3	1
289	и было	1	1
290	выбора все	1	1
291	в бытии	26	1
292	который я	1	1
293	стороны в	3	1
294	места в	4	1
295	где есть	1	1
296	него в	1	1
297	себя за	2	1
298	вместе с	1	1
299	как это	1	1
300	стать в	1	1
301	то есть	1	1
302	факта бытия	1	1
303	в человеке	1	1
304	над ним	1	1
305	если оно	1	1
306	в бытие	1	1
307	в одном	4	1
308	но я	2	1
309	в мир	1	1
310	поскольку он	2	1
311	есть еще	1	1
312	или тебе	1	1
313	это значит	1	1
314	сама она	1	1
315	этот мир	2	1
316	и всех	1	1
317	и смерти	1	1
318	этого слова	2	1
319	освободиться от	1	1
320	и очень	1	1
321	раз и	2	1
322	любви и	1	1
323	какие бы	1	1
324	можно ли	1	1
325	единого в	1	1
326	здесь есть	1	1
327	мире лишь	1	1
328	к ним	4	1
329	не по	4	1
330	смысле и	2	1
331	сознании и	1	1
332	и именно	2	1
333	своего единственного	7	1
334	его есть	1	1
335	ты хочешь	2	1
336	не существует	1	1
337	и от	1	1
338	мира и	4	1
339	он за	1	1
340	ничего не	3	1
341	человек и	1	1
342	жизни не	1	1
343	всего можно	1	1
344	лишь как	2	1
345	может быть	45	1
346	вечной истины	1	1
347	в третьем	1	1
348	факт моего	1	1
349	будем говорить	1	1
350	во всем	7	1
351	это слово	1	1
352	в сознании	2	1
353	человечества мы	1	1
354	уже и	1	1
355	связь с	1	1
356	жизни в	5	1
357	да это	1	1
358	не быть	3	1
359	религии и	1	1
360	но все	5	1
361	к этому	2	1
362	возможны лишь	1	1
363	его с	2	1
