N	2gram	Bakhtin_sl_2	BTomashe
1	и не	22	2
2	в ней	3	2
3	все это	16	2
4	говорить о	3	1
5	во всяком	3	1
6	с другой	5	1
7	не все	2	1
8	как всякий	2	1
9	в своей	1	1
10	всяком случае	2	1
11	и о	1	1
12	в области	2	1
13	до конца	17	1
14	и ее	1	1
15	о художественном	1	1
16	и в	39	1
17	так и	15	1
18	за пределы	2	1
19	не о	1	1
20	установка на	2	1
21	об этом	1	1
22	также не	1	1
23	и нет	2	1
24	не было	2	1
25	должна быть	3	1
26	кроме того	2	1
27	отнюдь не	1	1
28	необходимо отметить	3	1
29	одной из	1	1
30	в научном	1	1
31	далеко не	2	1
32	бы только	2	1
33	и потому	7	1
34	в пределах	13	1
35	в значительной	6	1
36	никак не	1	1
37	говорить об	1	1
38	все же	6	1
39	его не	4	1
40	приемов построения	1	1
41	меньше чем	2	1
42	не мешало	1	1
43	и более	2	1
44	говорить не	1	1
45	прежде всего	8	1
46	что в	3	1
47	таким образом	8	1
48	к ней	2	1
49	еще не	7	1
50	не только	24	1
51	в данном	2	1
52	и на	4	1
53	другой стороны	1	1
54	значительной степени	6	1
55	а не	14	1
