N	3gram	Tiupa_Disk_2	Komedia
1	в том что	6	5
2	о том что	3	4
3	и столь же	1	3
4	по отношению к	4	3
5	в том числе	1	3
6	в первую очередь	2	3
7	то же время	5	3
8	в то же	4	3
9	одних и тех	1	2
10	в обоих случаях	2	2
11	не говоря уже	1	2
12	говоря уже о	1	2
13	в отличие от	12	2
14	бы то ни	1	2
15	и тех же	1	2
16	не более чем	2	2
17	в это время	1	2
18	то ни было	1	2
19	с одной стороны	4	2
20	во всяком случае	1	2
21	здесь в этом	1	2
22	речь идет о	1	2
23	не в состоянии	1	1
24	мы имеем дело	1	1
25	потому что в	1	1
26	том что ни	1	1
27	в самом деле	1	1
28	в соответствии с	2	1
29	одна из них	1	1
30	с точки зрения	2	1
31	ни одно из	2	1
32	и в то	1	1
33	одно из двух	1	1
34	с самого начала	1	1
35	и в современной	1	1
36	то что в	1	1
37	в наше время	2	1
38	том числе и	1	1
39	но и здесь	1	1
40	не последнюю роль	1	1
41	столь же неожиданная	1	1
42	той или иной	3	1
43	в качестве примера	2	1
44	как будто бы	1	1
45	так и на	2	1
46	с другой стороны	1	1
47	мере в какой	1	1
48	в полной мере	1	1
49	не может быть	3	1
50	приходит в голову	1	1
51	по общему мнению	1	1
52	того или иного	1	1
53	так и в	3	1
54	но в этом	1	1
55	ни о чем	1	1
56	друг от друга	1	1
57	но не менее	1	1
58	но все эти	1	1
59	в большинстве случаев	1	1
60	тем не менее	1	1
61	в пределах одного	1	1
