N	3gram	Potebnia_M_1	Morfolog
1	и т д	4	47
2	в связи с	1	8
3	не может быть	9	8
4	подобно тому как	3	5
5	таким образом мы	1	5
6	по отношению к	13	4
7	с точки зрения	3	4
8	с другой стороны	5	4
9	тем не менее	6	4
10	в первом случае	1	3
11	не могут быть	2	3
12	может быть названо	3	3
13	на самом деле	1	3
14	но все же	1	3
15	как и в	2	3
16	же может быть	1	2
17	более или менее	1	2
18	в собственном смысле	1	2
19	точно так же	1	2
20	можно заметить что	1	2
21	с одной стороны	3	2
22	друг на друга	1	2
23	и таким образом	1	2
24	в то время	1	2
25	тем и другим	1	2
26	друг за другом	1	2
27	для того чтобы	2	2
28	в том что	13	2
29	т д в	1	2
30	том как эти	1	1
31	таким образом что	2	1
32	и может быть	2	1
33	можно себе представить	2	1
34	то с другой	1	1
35	быть приведены в	1	1
36	то ни стало	1	1
37	это было бы	1	1
38	но то что	1	1
39	это будет видно	1	1
40	это нисколько не	1	1
41	она может быть	1	1
42	что иное как	2	1
43	и там где	1	1
44	с другой не	1	1
45	во что бы	1	1
46	бы они ни	2	1
47	и в какой	1	1
48	до сих пор	1	1
49	в таком случае	2	1
50	бы то ни	2	1
51	их и не	1	1
52	ни одна не	1	1
53	но это не	1	1
54	можно было бы	1	1
55	в противном случае	3	1
56	же в результате	1	1
57	в применении к	2	1
58	там где есть	1	1
59	ниже мы постараемся	1	1
60	и не с	1	1
61	что бы то	1	1
62	на этот вопрос	2	1
63	могут быть названы	2	1
64	на этом основании	1	1
65	то это не	2	1
66	все более и	2	1
67	во всяком случае	1	1
68	ни были разнообразны	1	1
69	но так как	1	1
70	т д то	1	1
71	что несмотря на	1	1
72	но оно имеет	1	1
73	то же время	3	1
74	могут быть приведены	1	1
75	заметить что при	1	1
76	о том что	1	1
77	если бы мы	1	1
78	с самого начала	3	1
79	это значит что	1	1
80	хотя оно как	1	1
81	они ни были	2	1
82	на то что	1	1
83	и независимо от	1	1
84	которые могут быть	1	1
85	если же в	1	1
86	от того как	1	1
87	и многое другое	1	1
88	в то же	3	1
89	более и более	2	1
90	к тому что	2	1
91	не что иное	2	1
92	так как во	2	1
93	что и в	3	1
94	могло бы быть	1	1
95	все органические существа	1	1
96	того или другого	1	1
