N	2gram	Potebnia_M_3	Dialekti
1	не есть	17	47
2	и не	15	30
3	может быть	28	20
4	не только	21	19
5	и в	30	19
6	по себе	16	18
7	и т	5	17
8	а не	15	16
9	в себе	16	15
10	т д	3	15
11	что она	3	14
12	потому что	46	14
13	то что	18	14
14	в том	32	14
15	так как	13	14
16	и даже	2	14
17	как бы	3	14
18	вовсе не	7	13
19	то же	23	12
20	точки зрения	2	12
21	но и	19	12
22	значит что	1	12
23	и все	3	12
24	и как	5	10
25	что это	4	10
26	в нем	9	10
27	ни в	2	10
28	как и	10	10
29	том что	18	10
30	стало быть	1	10
31	сказать что	5	10
32	так и	11	10
33	это не	1	10
34	по крайней	5	9
35	времени и	1	9
36	крайней мере	5	9
37	же и	3	9
38	не может	6	9
39	она есть	1	9
40	мы уже	2	8
41	в этом	10	8
42	в своей	2	8
43	с точки	1	8
44	не в	15	8
45	есть нечто	4	8
46	она не	2	8
47	прежде всего	3	8
48	это значит	1	8
49	и то	8	7
50	есть не	7	7
51	время как	1	7
52	сама по	2	7
53	так что	7	7
54	должно быть	5	7
55	и притом	2	7
56	в поэзии	1	7
57	только тогда	9	7
58	в душе	10	7
59	но что	2	7
60	но это	6	7
61	что в	17	7
62	чтобы не	1	6
63	но не	7	6
64	что они	2	6
65	тогда когда	9	6
66	в то	10	6
67	и вообще	3	6
68	и та	2	6
69	что он	6	6
70	есть ни	4	6
71	конечно не	1	6
72	что не	8	6
73	того что	18	6
74	да и	1	6
75	и может	3	6
76	есть и	1	6
77	жизни и	2	6
78	и потому	4	5
79	и это	4	5
80	должна быть	1	5
81	говорить о	3	5
82	и стало	1	5
83	в силу	3	5
84	все равно	4	5
85	жизнь и	1	5
86	же время	5	5
87	и его	4	5
88	и с	2	5
89	в виду	1	5
90	сознания и	1	5
91	о том	2	5
92	и что	10	5
93	можно сказать	3	5
94	но как	2	5
95	не мешает	1	5
96	не то	3	5
97	что и	13	5
98	с другой	7	5
99	и следовательно	3	5
100	в одно	3	5
101	по своему	2	5
102	в смысле	4	5
103	только что	8	5
104	в самом	8	5
105	только в	21	5
106	и есть	3	4
107	поэзии и	1	4
108	еще не	5	4
109	быть в	1	4
110	самом деле	2	4
111	тут же	2	4
112	за пределы	2	4
113	в одной	1	4
114	независимо от	5	4
115	в своем	5	4
116	все же	2	4
117	только то	1	4
118	та же	2	4
119	как он	1	4
120	и если	2	4
121	при этом	3	4
122	он не	4	4
123	и вот	1	4
124	и по	4	4
125	одно и	5	4
126	таким образом	14	4
127	заключается в	1	4
128	содержать в	1	4
129	одна и	1	4
130	а потом	1	4
131	нисколько не	1	4
132	вещи в	1	4
133	в одном	2	4
134	но он	1	4
135	все это	4	4
136	с ним	6	4
137	связи с	2	4
138	в таком	3	4
139	в каком	5	4
140	не могут	5	4
141	есть только	5	4
142	что оно	11	4
143	без всякого	1	4
144	в ее	2	4
145	то или	2	4
146	и когда	1	4
147	ясно что	1	4
148	к нему	3	4
149	как нечто	1	4
150	вопрос об	2	4
151	без этого	1	4
152	уже в	5	4
153	их понимание	1	4
154	ни с	1	4
155	одно из	5	4
156	то время	4	4
157	от того	8	4
158	нельзя сказать	3	4
159	могут быть	3	4
160	том смысле	3	4
161	а в	12	4
162	другой стороны	4	4
163	по одному	1	4
164	таком случае	2	3
165	сам по	5	3
166	это и	2	3
167	как мы	7	3
168	что если	1	3
169	вопрос о	1	3
170	оно есть	3	3
171	в чем	3	3
172	а только	3	3
173	себе и	1	3
174	в этой	2	3
175	с этим	6	3
176	от этого	2	3
177	одно время	1	3
178	но без	2	3
179	после этого	1	3
180	есть та	1	3
181	об этом	2	3
182	его в	3	3
183	это было	3	3
184	и поэзии	1	3
185	и мы	2	3
186	было бы	9	3
187	в один	4	3
188	между собою	6	3
189	форма и	1	3
190	и тогда	3	3
191	в этих	1	3
192	или точнее	1	3
193	что такое	2	3
194	сами по	1	3
195	и более	1	3
196	что этот	1	3
