N	2gram	Vinokur_St_2	Mirosoze
1	может быть	2	30
2	не только	19	29
3	и в	29	28
4	не может	2	28
5	но и	19	25
6	а не	5	25
7	он не	9	24
8	в этом	21	20
9	не было	3	18
10	у него	1	17
11	не в	4	16
12	потому что	9	16
13	в ней	7	15
14	в своей	7	15
15	он был	2	14
16	никогда не	3	14
17	до конца	3	14
18	в нем	4	13
19	и он	3	12
20	и это	2	12
21	в самом	7	11
22	для него	4	11
23	и не	9	11
24	в своем	9	10
25	в творчестве	1	10
26	было бы	5	10
27	что в	19	10
28	прежде всего	5	10
29	что он	13	10
30	и потому	2	10
31	и все	1	10
32	те которые	1	9
33	с тем	7	9
34	но он	3	9
35	и его	6	9
36	в его	13	9
37	в котором	7	8
38	но не	3	8
39	не был	3	7
40	но в	8	7
41	в себе	2	7
42	в конце	2	7
43	того что	5	7
44	и на	6	6
45	он сам	1	6
46	в которой	11	6
47	в этой	2	6
48	только в	2	6
49	он уже	1	6
50	вместе с	7	6
51	все это	11	6
52	в том	27	6
53	нет и	2	5
54	как и	2	5
55	что есть	1	5
56	у нас	3	5
57	весь в	1	5
58	не могут	1	5
59	то что	11	5
60	и я	2	5
61	смысле слова	1	4
62	это и	1	4
63	xix века	3	4
64	отношение к	1	4
65	за пределы	1	4
66	не к	2	4
67	не как	1	4
68	и по	3	4
69	должен был	4	4
70	в них	2	4
71	в этих	3	4
72	точки зрения	5	4
73	в их	3	4
74	к концу	1	4
75	к ней	1	4
76	она не	1	4
77	что и	2	4
78	тему о	1	4
79	в середине	1	4
80	один из	1	4
81	уже в	1	4
82	ни с	2	4
83	а в	1	4
84	тем что	3	4
85	и вместе	1	4
86	нет в	1	4
87	с этой	2	4
88	на пути	1	4
89	которых он	1	4
90	от него	1	4
91	вряд ли	3	3
92	его не	3	3
93	с его	2	3
94	с этим	3	3
95	когда он	1	3
96	идей и	1	3
97	и еще	1	3
98	на том	1	3
99	на этом	1	3
100	и с	4	3
101	его в	2	3
102	который так	1	3
103	для них	1	3
104	не мог	3	3
105	том что	27	3
106	но если	1	3
107	не имеет	2	3
108	ничего не	4	3
109	в движении	2	3
110	в момент	1	3
111	к тому	10	3
112	в ее	2	3
113	особенно в	2	3
114	с собой	1	3
115	это очень	2	3
116	конечно не	1	3
117	одно из	1	3
118	не так	1	3
119	и их	1	3
120	так как	2	3
121	не хотел	1	3
122	что человек	1	3
123	себя и	1	3
124	о себе	1	3
125	для нас	1	3
126	хотя бы	3	3
127	будто бы	1	3
128	в свете	1	3
129	на своем	1	3
130	доступ к	1	3
131	одним из	6	2
132	также и	2	2
133	высшей степени	1	2
134	века в	1	2
135	а как	4	2
136	вопрос о	6	2
137	который был	1	2
138	в виду	7	2
139	литературы и	1	2
140	по отношению	1	2
141	себе и	1	2
142	в истории	2	2
143	т е	10	2
144	как в	3	2
145	стыд и	1	2
146	все же	6	2
147	и как	2	2
148	и к	4	2
149	чего же	1	2
150	за собой	1	2
151	все эти	2	2
152	самого себя	1	2
153	с их	1	2
154	только один	1	2
155	вообще не	3	2
156	как он	2	2
157	если бы	2	2
158	них нет	1	2
159	в россии	3	2
160	легенды о	1	2
161	прежде чем	1	2
162	с самим	1	2
163	истории и	2	2
164	был очень	1	2
165	мысль была	1	2
166	которую он	2	2
167	место в	1	2
168	от его	2	2
169	сих пор	5	2
170	в то	2	2
171	в основе	1	2
172	того чтобы	6	2
173	в каком	2	2
174	отличается от	1	2
175	он никогда	1	2
176	и от	1	2
177	то время	1	2
178	и что	6	2
179	различие между	1	2
180	есть также	1	2
181	еще в	2	2
182	по сравнению	1	2
183	разного рода	1	2
184	о своей	2	2
185	о том	17	2
186	с того	1	2
187	и во	1	2
188	и те	2	2
189	которой все	1	2
190	легенде о	1	2
191	у всех	2	2
192	пишет он	2	2
193	жизни и	1	2
194	ведь это	1	2
195	отношению к	1	2
196	как будто	1	2
197	для того	7	2
198	в высшей	1	2
199	до сих	6	2
200	и самый	2	2
201	связано с	1	2
202	нужно искать	1	2
203	на этот	2	2
204	его как	2	2
205	о чем	5	2
206	его собственной	1	2
207	он и	1	2
208	по своему	2	2
209	в той	5	2
210	совсем особый	1	2
211	потому ли	2	2
212	как бы	5	2
213	вокруг которого	1	2
214	том смысле	2	2
215	быть не	1	2
216	в начале	3	2
217	о мире	2	2
218	в более	1	2
219	и для	1	2
220	в идеале	1	2
221	не существует	1	2
222	всего что	1	2
223	бы в	1	2
224	конце концов	1	2
225	отношении к	3	2
226	жизни в	1	2
227	в свою	1	2
228	сказать что	2	2
229	эти слова	2	2
230	к этой	1	2
231	к этому	4	2
232	кажется и	1	2
233	все что	1	2
234	ту же	1	1
235	и т	9	1
236	и то	1	1
237	начале xix	1	1
238	совершенно новый	1	1
239	на самом	3	1
240	к другому	1	1
241	и до	1	1
242	имея в	1	1
243	в зависимости	1	1
244	из всех	1	1
245	бы уже	1	1
246	характер его	1	1
247	мы не	1	1
248	ни у	3	1
249	своем отношении	1	1
250	этот был	1	1
251	ли у	1	1
252	многие места	1	1
253	не вполне	1	1
254	исторической эпохи	1	1
255	отразился в	1	1
256	я не	7	1
257	бы ни	2	1
258	зависимости от	1	1
259	еще не	1	1
260	верить в	1	1
261	в последних	1	1
262	самом деле	3	1
263	друг к	1	1
264	в сторону	1	1
265	и действительно	1	1
266	отличие от	2	1
267	новым словом	1	1
268	и речи	2	1
269	что они	2	1
270	исхода из	1	1
271	которые не	3	1
272	внимание его	1	1
273	как говорит	2	1
274	более чем	1	1
275	что во	1	1
276	в одной	2	1
277	это был	2	1
278	говорит что	1	1
279	был связан	1	1
280	силе и	1	1
281	не очень	1	1
282	идет не	1	1
283	что составляет	1	1
284	средство для	1	1
