N	2gram	Berdyaev_V_1	Problemy
1	и в	16	34
2	и не	20	29
3	как бы	5	27
4	что он	4	23
5	в его	4	22
6	в нем	4	19
7	может быть	1	19
8	и все	4	19
9	как и	4	18
10	в этом	4	16
11	но в	3	16
12	все это	5	16
13	и с	1	15
14	что я	3	15
15	прежде всего	2	15
16	то же	1	14
17	к нему	1	14
18	для него	2	13
19	потому что	4	12
20	но и	5	12
21	вовсе не	1	11
22	то что	9	11
23	не только	2	10
24	не в	3	9
25	а не	7	9
26	и т	2	8
27	никогда не	3	8
28	в речах	1	8
29	с ним	2	8
30	в самом	1	8
31	себя и	1	8
32	так же	1	8
33	о мире	1	8
34	и для	3	8
35	я не	1	7
36	на него	1	7
37	как мы	1	7
38	что не	4	7
39	с которым	1	7
40	этого слова	1	7
41	все же	1	7
42	не ты	1	7
43	что в	3	7
44	и на	1	6
45	с его	3	6
46	отношение к	1	6
47	что они	7	6
48	для себя	1	6
49	так и	4	6
50	только в	2	6
51	от него	2	6
52	с ними	1	6
53	в чем	3	5
54	что это	1	5
55	в целом	1	5
56	и вот	1	5
57	но все	1	5
58	лишь в	3	5
59	с тем	2	5
60	в конце	3	5
61	это слово	1	5
62	к тому	3	5
63	и сам	2	5
64	и что	3	5
65	что и	3	5
66	это не	2	5
67	того что	5	5
68	и так	1	5
69	в одном	1	5
70	себе и	1	5
71	когда я	2	5
72	и от	1	5
73	хотя бы	3	5
74	а в	2	5
75	что ты	3	5
76	во всяком	2	5
77	еще не	8	4
78	бы то	1	4
79	но не	2	4
80	но как	1	4
81	как в	1	4
82	бы и	3	4
83	все эти	3	4
84	на этом	1	4
85	то ни	1	4
86	что все	4	4
87	в мире	5	4
88	и утверждения	1	4
89	ни в	3	4
90	все равно	2	4
91	но это	3	4
92	ничего не	1	4
93	его с	1	4
94	и это	2	4
95	в виде	1	4
96	так как	9	4
97	у него	1	4
98	с другой	1	4
99	тем что	2	4
100	человека как	2	4
101	вместе с	1	4
102	да и	2	4
103	я в	1	4
104	а между	2	3
105	кто бы	1	3
106	и то	2	3
107	б и	1	3
108	говорить о	4	3
109	в виду	1	3
110	в ней	4	3
111	ивана карамазова	2	3
112	нет и	2	3
113	хотя и	5	3
114	уже в	1	3
115	их в	3	3
116	тут не	1	3
117	его и	2	3
118	должно быть	3	3
119	раз и	1	3
120	в своей	3	3
121	в котором	4	3
122	по крайней	1	3
123	как можно	1	3
124	том что	2	3
125	во всем	1	3
126	слова с	1	3
127	в ее	1	3
128	с внутренним	1	3
129	и во	2	3
130	между тем	2	3
131	крайней мере	1	3
132	я тогда	1	3
133	в том	3	3
134	а с	2	3
135	и своего	1	3
136	слова которое	1	3
137	ненависть к	1	3
138	если не	3	3
139	это как	1	3
140	бы в	1	3
141	конце концов	1	3
142	его к	2	3
143	другой стороны	1	3
144	им и	1	3
145	жизни и	3	3
146	от этой	1	2
147	если б	1	2
148	и тут	1	2
149	же ты	3	2
150	мы и	2	2
151	свой предмет	1	2
152	кто же	1	2
153	меня в	1	2
154	в которых	1	2
155	во всех	3	2
156	материалом для	2	2
157	в своем	1	2
158	говорил с	1	2
159	к чему	3	2
160	в которой	1	2
161	т д	2	2
162	ты бы	1	2
163	и если	1	2
164	только себя	1	2
165	лишь на	1	2
166	в жизни	3	2
167	в них	3	2
168	но я	1	2
169	его воли	1	2
170	тому что	3	2
171	как она	1	2
172	мире и	1	2
173	отказаться от	1	2
174	и говорит	1	2
175	конечно в	1	2
176	и вообще	1	2
177	находится в	1	2
178	на нее	1	2
179	себя но	1	2
180	в форме	2	2
181	и мир	1	2
182	и пусть	1	2
183	один из	2	2
184	но с	1	2
185	тот же	3	2
186	мы увидим	1	2
187	и ее	1	2
188	с которыми	1	2
189	же и	1	2
190	конечно не	2	2
191	уже не	2	2
192	только слово	1	2
193	слова не	1	2
194	за ним	3	2
195	чего бы	1	2
196	не для	1	2
197	говорит о	1	2
198	не было	3	2
199	у человека	1	2
200	о чем	1	2
201	сделать его	1	2
202	и потому	7	2
