N	2gram	Tiupa_Hudo_2	VrazhdaK
1	тургенева и	1	18
2	не только	11	9
3	и достоевского	1	9
4	в этом	13	8
5	и в	28	8
6	и что	1	8
7	достоевского и	1	7
8	но и	9	7
9	и все	7	7
10	то что	6	7
11	что в	5	7
12	все же	2	6
13	но в	2	6
14	в нем	3	6
15	как и	11	6
16	в котором	6	6
17	и с	6	6
18	о нем	2	6
19	в начале	1	6
20	и даже	1	6
21	то же	6	5
22	об этом	7	5
23	в то	6	5
24	же время	4	5
25	между тем	8	5
26	у него	5	5
27	не было	6	5
28	и не	18	5
29	в ней	3	4
30	что он	8	4
31	при этом	11	4
32	это не	6	4
33	несмотря на	3	4
34	все это	3	4
35	с ним	7	4
36	о том	12	4
37	для нас	3	4
38	и детей	1	4
39	уже в	1	4
40	отцов и	1	4
41	может быть	8	4
42	как бы	5	4
43	в своих	1	4
44	так же	3	4
45	одним из	1	3
46	который был	2	3
47	я не	7	3
48	он был	1	3
49	с его	5	3
50	в своем	5	3
51	раз в	3	3
52	его в	2	3
53	он не	4	3
54	и уже	4	3
55	том что	19	3
56	но он	1	3
57	и его	5	3
58	по нашему	1	3
59	человека в	4	3
60	и о	4	3
61	что у	3	3
62	в его	11	3
63	в том	15	3
64	давно уже	2	3
65	и у	2	3
66	в конце	1	3
67	тем что	6	3
68	и тургенева	1	3
69	о себе	3	3
70	эти слова	1	3
71	наряду с	5	3
72	я хотел	1	3
73	т е	2	3
74	к этому	1	3
75	отношения к	1	2
76	же как	2	2
77	и то	2	2
78	и он	3	2
79	он сам	2	2
80	столь же	3	2
81	но как	1	2
82	ответ на	2	2
83	тогда как	7	2
84	отнюдь не	2	2
85	в той	1	2
86	в этой	5	2
87	в себе	9	2
88	о которой	2	2
89	в нашей	1	2
90	их в	1	2
91	в мире	7	2
92	нашему убеждению	1	2
93	в глазах	6	2
94	в них	3	2
95	рядом с	5	2
96	а с	3	2
97	мы знаем	2	2
98	не мог	1	2
99	во время	1	2
100	точки зрения	2	2
101	в своей	6	2
102	и ее	3	2
103	с точки	2	2
104	место в	2	2
105	не менее	5	2
106	том же	1	2
107	одна из	2	2
108	никогда не	5	2
109	м м	1	2
110	в момент	1	2
111	к себе	3	2
112	его с	1	2
113	на это	1	2
114	время он	1	2
115	и это	3	2
116	же не	2	2
117	еще не	3	2
118	обоих писателей	1	2
119	а также	2	2
120	этот момент	1	2
121	по мнению	1	2
122	с нею	3	2
123	уже не	10	2
124	из них	2	2
125	его и	2	2
126	для него	5	2
127	отношение к	2	2
128	как раз	4	2
129	его личность	1	2
130	и т.п	1	2
131	как же	2	2
132	и стал	1	2
133	с которым	1	2
134	о чем	8	2
135	этот рассказ	1	2
136	не может	4	2
137	вместе с	2	2
138	и а	2	2
139	в это	3	2
140	но это	1	2
141	что я	2	2
142	же в	1	2
143	а в	6	2
144	это в	1	2
145	а между	4	1
146	к людям	2	1
147	также и	1	1
148	человека и	3	1
149	это и	1	1
150	героини а	1	1
151	ему не	1	1
152	по преимуществу	3	1
153	едва ли	3	1
154	по его	3	1
155	встречается раз	1	1
156	смерти отца	1	1
157	полагает что	1	1
158	той же	2	1
159	иметь никакого	1	1
160	говорить о	2	1
161	с толстым	3	1
162	ему в	2	1
163	к самостоятельному	1	1
164	это время	1	1
165	имя и	1	1
166	а другие	1	1
167	одном из	1	1
168	как ему	1	1
169	на них	1	1
170	содержания в	1	1
171	руку к	1	1
172	узнав о	1	1
173	за него	2	1
174	но не	4	1
175	о смерти	3	1
176	в сторону	1	1
177	не все	3	1
178	если в	2	1
179	и т.д	2	1
180	что они	4	1
181	же с	1	1
182	независимо от	1	1
183	как в	5	1
184	только об	1	1
185	для всех	1	1
186	как к	1	1
187	как нам	1	1
188	какой ее	1	1
189	себе не	1	1
190	и глубокой	1	1
191	то в	4	1
192	в самом	5	1
193	п скафтымов	3	1
194	что это	5	1
195	что же	2	1
196	где также	1	1
197	тому же	2	1
198	но ведь	1	1
199	как он	3	1
200	ненависти и	1	1
201	не могла	5	1
202	да и	5	1
203	от которого	2	1
204	высшей степени	1	1
205	при виде	1	1
206	дать лишь	1	1
207	же это	1	1
208	пор мы	1	1
209	в силу	1	1
210	уже говорилось	1	1
211	людей и	1	1
212	он тогда	1	1
213	однако в	2	1
214	не будет	2	1
215	этом он	1	1
216	самим собой	1	1
217	это было	2	1
218	заключается в	1	1
219	дома и	1	1
220	было бы	3	1
221	в тишине	1	1
222	на пороге	2	1
223	где-нибудь на	1	1
224	вопрос и	1	1
225	в жизни	8	1
226	соответствии с	3	1
227	этого не	1	1
228	а за	2	1
229	всю жизнь	1	1
230	не всегда	1	1
231	которой он	1	1
232	анекдот о	1	1
233	он и	1	1
234	и страшно	1	1
235	в москве	1	1
236	может идти	1	1
237	шесть месяцев	1	1
238	в этих	3	1
239	должна заслонять	1	1
240	рядом деталей	1	1
241	человеком и	1	1
242	каким был	1	1
243	с лермонтовым	1	1
244	на свою	1	1
245	дама с	2	1
246	своего рода	16	1
247	и уж	1	1
248	тем не	4	1
249	а почему	1	1
250	не могли	1	1
251	не должна	1	1
252	а вот	2	1
253	раз и	1	1
254	тем самым	2	1
255	от нас	1	1
256	было не	1	1
257	как о	3	1
258	только не	2	1
259	не лучше	1	1
260	ничего не	5	1
261	того как	2	1
262	это то	1	1
263	и лишь	1	1
264	ему было	1	1
265	мыслей и	1	1
266	того в	1	1
267	по своей	1	1
268	такая же	1	1
269	потому что	2	1
270	хочет быть	1	1
271	этом отношении	1	1
272	в духе	2	1
273	во все	1	1
274	похож на	1	1
275	ли не	1	1
276	сама жизнь	1	1
277	отличается от	1	1
278	не совсем	1	1
279	у себя	1	1
280	с ее	5	1
281	но при	3	1
282	у чехова	9	1
283	в ее	18	1
284	не могло	1	1
285	м е	1	1
286	но мы	1	1
287	то время	1	1
288	роль в	2	1
289	к смерти	1	1
290	и сам	5	1
291	способности к	1	1
292	так и	8	1
293	на нее	1	1
294	не с	2	1
295	еще в	1	1
296	во второй	2	1
297	том как	2	1
298	но у	1	1
299	жизнь и	1	1
300	в будущее	1	1
301	его жизни	5	1
302	до сих	2	1
303	нас в	1	1
304	это была	3	1
305	к нему	3	1
306	во всех	1	1
307	к источнику	1	1
308	последнего в	1	1
309	из своего	1	1
310	в другой	1	1
311	тотчас же	1	1
312	вслед за	4	1
313	все в	1	1
314	не знаю	1	1
315	к которому	1	1
316	один из	2	1
317	но с	1	1
318	сразу же	1	1
319	ли он	2	1
320	проникнуть в	1	1
321	а тут	1	1
322	то он	1	1
323	он уже	2	1
324	это же	1	1
325	в качестве	4	1
326	себя в	8	1
327	внимание в	1	1
328	самую суть	1	1
329	больше не	1	1
330	на свое	1	1
331	целого ряда	1	1
332	в душе	8	1
333	к своим	1	1
334	по первому	1	1
335	ни с	2	1
336	говорит о	4	1
337	искать в	1	1
338	в одном	3	1
339	он вновь	2	1
340	и никогда	1	1
341	за человек	1	1
342	не просто	1	1
343	от того	1	1
344	это сравнение	1	1
345	никого не	2	1
346	о своей	1	1
347	с другой	3	1
348	именно в	2	1
349	такое же	1	1
350	возвращается в	1	1
351	воспоминания о	1	1
352	она меня	1	1
353	а п	4	1
354	прежде всего	3	1
355	в соответствии	3	1
356	только по	1	1
357	до конца	1	1
358	в рассказе	21	1
359	человек в	3	1
360	о молодом	1	1
361	нет ничего	2	1
362	в частности	7	1
363	него в	1	1
364	два человека	2	1
365	человека к	1	1
366	я тоже	1	1
367	да я	1	1
368	этот мотив	2	1
369	упоминание о	2	1
370	своей души	1	1
371	что за	1	1
372	это за	1	1
373	в ответ	3	1
374	чувство юмора	1	1
375	того что	1	1
376	был в	1	1
377	я с	2	1
378	лет назад	1	1
379	еще раз	1	1
380	известном смысле	1	1
381	в условиях	1	1
382	сих пор	2	1
383	у вас	4	1
384	об одном	1	1
385	но для	1	1
386	не любил	1	1
387	пошел вон	2	1
388	более того	1	1
389	которых он	1	1
390	восходящая к	1	1
391	заявляет о	1	1
392	и от	2	1
393	котором он	1	1
394	человек и	1	1
395	хотя и	1	1
