N	3gram	Losev_Dial_3	Analitik
1	в том что	3	7
2	с другой стороны	2	5
3	о том что	5	5
4	по крайней мере	5	4
5	как и в	3	4
6	в данном случае	1	3
7	то же время	1	3
8	не только не	7	3
9	той или иной	2	3
10	в то же	1	3
11	к тому же	2	3
12	в этом отношении	1	3
13	крайней мере в	3	2
14	подобно тому как	4	2
15	с точки зрения	14	2
16	одной и той	1	2
17	имеем дело не	1	2
18	тот или иной	2	2
19	с одной стороны	3	2
20	сама по себе	4	2
21	тем не менее	10	2
22	во всяком случае	2	2
23	в конечном счете	1	2
24	и прежде всего	3	2
25	и той же	1	2
26	в сравнении с	3	2
27	что иное как	6	1
28	в этом мире	1	1
29	тех пор как	1	1
30	в чистом виде	1	1
31	хотя и не	2	1
32	в особенности это	1	1
33	есть одна из	1	1
34	не говоря уже	2	1
35	на самом деле	1	1
36	в самом деле	5	1
37	и в особенности	1	1
38	гоголевский хома брут	1	1
39	о смерти ни	1	1
40	той же самой	1	1
41	не видит что	1	1
42	до сих пор	1	1
43	говоря уже о	2	1
44	в таком случае	10	1
45	в зависимости от	2	1
46	о себе самом	1	1
47	но они не	2	1
48	то от этого	1	1
49	я не мог	1	1
50	несмотря на свою	1	1
51	все той же	1	1
52	перед нами не	1	1
53	с тех пор	2	1
54	что не есть	2	1
55	не есть ни	3	1
56	сам по себе	5	1
57	между мифом и	1	1
58	далеко не всегда	1	1
59	тот факт что	1	1
60	в применении к	1	1
61	не могут быть	2	1
62	и как бы	1	1
63	так или иначе	2	1
64	не в том	1	1
65	уже по одному	2	1
66	в связи с	1	1
67	в глубине души	1	1
68	нет никакой возможности	1	1
69	или иной модус	1	1
70	того или иного	2	1
71	не менее чем	1	1
72	есть не что	3	1
73	не может быть	6	1
74	и к ним	1	1
75	отнюдь еще не	1	1
76	само по себе	5	1
77	в одном из	1	1
78	в особенности с	1	1
79	речь идет о	1	1
80	с этой стороны	1	1
81	ничего не говорит	3	1
82	не что иное	6	1
83	в себе не	1	1
84	что и в	1	1
85	но еще и	1	1
