N	2gram	Nazirov_Tv_1	Dialekti
1	не есть	1	47
2	и не	7	30
3	т е	1	30
4	может быть	5	20
5	и в	21	19
6	не только	7	19
7	по себе	1	18
8	и т	3	17
9	а не	5	16
10	в себе	2	15
11	т д	1	15
12	потому что	5	14
13	и даже	3	14
14	то что	8	14
15	в том	7	14
16	что она	2	14
17	как бы	17	14
18	так как	3	14
19	вовсе не	5	13
20	значит что	2	12
21	и все	6	12
22	но и	3	12
23	то же	13	12
24	как и	12	10
25	что это	1	10
26	в нем	3	10
27	ни в	1	10
28	и как	4	10
29	так и	2	10
30	это не	4	10
31	сказать что	2	10
32	том что	11	10
33	не может	4	9
34	крайней мере	2	9
35	никогда не	3	9
36	времени и	4	9
37	же и	2	9
38	по крайней	2	9
39	это значит	1	8
40	прежде всего	4	8
41	это есть	1	8
42	личности в	2	8
43	не в	2	8
44	в своей	4	8
45	самоутверждение личности	1	8
46	в этом	6	8
47	мы уже	1	8
48	она не	1	8
49	время как	1	7
50	так что	2	7
51	как это	1	7
52	есть не	2	7
53	что в	12	7
54	и притом	2	7
55	и к	1	7
56	в душе	1	7
57	пространства и	2	7
58	но что	1	7
59	как будто	5	7
60	но это	5	7
61	в вечности	2	6
62	жизни и	3	6
63	что не	2	6
64	время есть	1	6
65	личности и	2	6
66	в то	15	6
67	но не	3	6
68	того что	3	6
69	отнюдь не	5	6
70	да и	1	6
71	и та	2	6
72	чтобы не	1	6
73	я не	3	6
74	что он	6	6
75	не могу	2	6
76	же время	12	5
77	говорить о	1	5
78	как раз	1	5
79	в смысле	1	5
80	и времени	1	5
81	в одно	2	5
82	только что	2	5
83	жизнь и	1	5
84	можно сказать	2	5
85	и его	6	5
86	не то	2	5
87	только в	5	5
88	на свете	2	5
89	по своему	1	5
90	и с	3	5
91	в самом	3	5
92	что и	2	5
93	и что	1	5
94	с другой	3	5
95	о том	6	5
96	все равно	1	5
97	и это	1	5
98	в виду	2	5
99	может не	2	4
100	все же	5	4
101	еще не	1	4
102	и вот	1	4
103	в связи	1	4
104	таким образом	5	4
105	же это	1	4
106	это пространство	1	4
107	но он	2	4
108	вечности в	1	4
109	при этом	7	4
110	нет никакой	1	4
111	связи с	1	4
112	вопрос об	1	4
113	одна и	1	4
114	к нему	1	4
115	с ним	3	4
116	хотя бы	5	4
117	самом деле	2	4
118	он не	8	4
119	та же	4	4
