N	3gram	Propp_Isto_5	Marksizm
1	с точки зрения	1	13
2	не может быть	3	10
3	по отношению к	2	8
4	то же время	1	8
5	в то же	1	8
6	в связи с	4	7
7	для того чтобы	3	6
8	в том что	2	6
9	в самом деле	1	5
10	с самого начала	1	5
11	в свою очередь	1	5
12	на самом деле	1	4
13	в отличие от	1	3
14	до сих пор	2	3
15	с одной стороны	7	3
16	о том что	4	3
17	как мы видели	1	3
18	одной стороны и	1	2
19	а иногда и	1	2
20	а не в	1	2
21	в зависимости от	1	2
22	но и в	2	2
23	органическую связь с	1	2
24	во всяком случае	1	2
25	мы уже знаем	1	2
26	хотя бы в	1	2
27	на то что	2	2
28	но и он	1	1
29	на том что	2	1
30	отношению к которым	1	1
31	в том числе	1	1
32	в соответствии с	1	1
33	и в более	1	1
34	в этом случае	7	1
35	мы знаем из	1	1
36	не имеют никакого	1	1
37	он не может	2	1
38	в нем и	3	1
39	сам по себе	1	1
40	мы перейдем к	1	1
41	как мы увидим	3	1
42	том числе и	1	1
43	не сам по	1	1
44	вопрос о происхождении	1	1
45	у него нет	1	1
46	и в других	1	1
47	но тем не	1	1
48	как мы знаем	1	1
49	в его состав	1	1
50	это не совсем	1	1
51	входит в ее	2	1
52	не только в	2	1
53	тем не менее	4	1
54	во всех этих	1	1
55	в таком положении	1	1
56	мы уже говорили	1	1
57	само по себе	1	1
58	с другой стороны	8	1
59	мы видели что	2	1
60	таким образом в	1	1
61	которые приводят к	1	1
62	они и не	1	1
63	с тем что	1	1
64	но все же	4	1
65	можно сказать что	1	1
66	не оставляют в	1	1
67	но с одной	1	1
68	а извне это	1	1
69	друг с другом	2	1
70	тем что он	2	1
71	свидетельствует о том	1	1
72	всех этих случаях	1	1
73	как и в	2	1
74	здесь как и	1	1
75	они не имеют	1	1
