N	4gram	Vinokur_Ku_2	Problema
1	и тем не менее	4	8
2	и т д и	1	4
3	т д и т	1	3
4	дело в том что	1	3
5	не что иное как	1	2
6	можно ли сказать что	1	2
7	есть не что иное	1	2
8	свой смысл и свое	1	1
9	мы не знаем что	1	1
10	д и т п	1	1
11	но все дело в	1	1
12	в то время как	1	1
13	не сам по себе	1	1
14	можно было бы говорить	1	1
15	не только потому что	2	1
16	для того чтобы мы	1	1
17	в этом последнем случае	1	1
18	заключается в том что	1	1
19	все дело в том	1	1
20	том и в другом	1	1
21	хотелось бы обратить внимание	1	1
22	но для того чтобы	1	1
23	и в том и	1	1
24	то во всяком случае	1	1
25	в том и в	1	1
26	и в самом деле	2	1
27	и в другом случае	1	1
28	не говоря уже о	2	1
29	в связи с этим	1	1
