1	в то же время	3	5
2	присутствия я в мире	2	5
3	внимательно взглянула на меня	1	3
4	одного и того же	3	3
5	что в имени тебе	2	2
6	и того же персонажа	1	2
7	в слове о полку	2	2
8	у о о и	2	2
9	относительно своей роли в	2	2
10	а и а а	2	2
11	слове о полку игореве	2	2
12	ль данту диктовала страницы	1	2
13	пушкина что в имени	2	2
14	о у о о	2	2
15	своей роли в миропорядке	2	2
16	лишь в самом начале	1	2
17	имеет в своем составе	1	2
18	ты ль данту диктовала	1	2
19	стихотворении пушкина что в	1	2
20	музы прозрачна и очевидна	1	1
21	самоустранением фельетонного я из	1	1
22	блока скифы или маяковского	1	1
23	рука которая способна оборвать	1	1
24	в единое целое представляет	1	1
25	с появлением гостьи и	1	1
26	жизненных ценностей третий стих	1	1
27	за субъективную избыточность я	1	1
28	также повторы в маркированном	1	1
29	лирическая героиня не раздваивается	1	1
30	я стихотворение венчает тройной	1	1
31	самозванной претензией на действительную	1	1
32	с осознания неполного совпадения	1	1
33	гиперболизированное и в сущности	1	1
34	избыточной свободы я внутри	1	1
35	ответственностью но умиротворенного согласия	1	1
36	без остатка вписывает свое	1	1
37	в соответствии со сформулированным	1	1
38	революции в ее внутренней	1	1
39	соседства с другими звуками	1	1
40	лирического сюжета два хронотопа	1	1
41	этого общепонятного символа легкой	1	1
42	дант и ада связанные	1	1
43	субъективной стороной жизни ценой	1	1
44	этой внутренней оторванности от	1	1
45	духа роковое знамение ясно	1	1
46	динамике становления героическая доминанта	1	1
47	и смыслосообразно пересиливает аллитерацию	1	1
48	обладают не все повторы	1	1
49	образная модель миропорядка художественное	1	1
50	в из н из	1	1
51	композиционно и ритмически ключевых	1	1
52	влияние преображающего ситуацию взгляда	1	1
53	с ее случайными чертами	1	1
54	ударных о в конце	1	1
55	изображается так что она	1	1
56	очевидное смятение лирической героини	1	1
57	козацкого миропорядка парадоксальное сочетание	1	1
58	очевидно а между тем	1	1
59	в одноименной трагедии софокла	1	1
60	сатиры как эстетической доминанты	1	1
61	однако впоследствии при виде	1	1
62	приход который значительнее свободы	1	1
63	не замутненного самолюбием смысла	1	1
64	к самоотрицанию по преимуществу	1	1
65	жизни почести юность свобода	1	1
66	тоже роль жена тараса	1	1
67	ценностей вписать свое имя	1	1
68	и а и е	1	1
69	употребления в первой строфе	1	1
70	и размежевывающая личность с	1	1
71	в строке н анаграмму	1	1
72	является единственной в тексте	1	1
73	ритм пятого стиха на	1	1
74	полюса человеческого бытия каждым	1	1
75	к герою-объекту но в	1	1
76	порыва и ударной строки	1	1
77	его внешней заданности ролевая	1	1
78	самоутверждения неумолимо приводящего к	1	1
79	подчеркнуть факультативность комизма для	1	1
80	осмеяния которая восполняет ущербность	1	1
81	стихе имеются по два	1	1
82	ударными гласными в безударном	1	1
83	мира героев и их	1	1
84	мире бобчинским и добчинским	1	1
85	ратнаго духа роковое знамение	1	1
86	в искусстве от морального	1	1
87	благодаря повторам и стиха	1	1
88	муза и является в	1	1
89	по два сверхсхемных ударения	1	1
90	говорит дмитрий карамазов в	1	1
91	культуре вызванный феодальными междоусобицами	1	1
92	стихотворении ахматовой предельно проста	1	1
93	в пределах строки а	1	1
94	в себя две реплики	1	1
95	говорит и как говорит	1	1
96	слова с контекстуально смежными	1	1
97	не возникает в частности	1	1
98	единое целое представляет собой	1	1
99	отчизна моя ты и	1	1
100	тайны эта вписанность осуществляется	1	1
101	однако при этом общеэстетические	1	1
102	субституты одного и того	1	1
103	организованный ритмически симметрично пиррихий	1	1
104	собственной самобытности гоголевский тарас	1	1
105	стих этот фонетический сигнал	1	1
106	звуками в речевом потоке	1	1
107	сводится к жизненному поведению	1	1
108	диссонанса раскола вины за	1	1
109	юморе трагедийности и комедийности	1	1
110	своего мнения о себе	1	1
111	силе и оказываясь тем	1	1
112	раз оказывается ложной границей	1	1
113	слово этого текста где	1	1
114	не забвение сверхличного ради	1	1
115	лирической героини-поэтессы ассонансная структура	1	1
116	чертами сатирический художник обретает	1	1
117	несоответствием низкой данности апостолов	1	1
118	другой стороны полноценной трагической	1	1
119	в миропорядке т.е такого	1	1
120	связанные анаграмматической инверсией первых	1	1
121	тексте изначально и распределена	1	1
122	я музы с личностным	1	1
