N	4gram	Vygotskiy__6	Psycholo
1	в то время как	5	5
2	с этой точки зрения	1	4
3	одной и той же	3	3
4	заключается в том что	5	3
5	с психологической точки зрения	1	3
6	несмотря на то что	2	2
7	в собственном смысле слова	1	2
8	в силу того что	5	2
9	совершенно так же как	1	1
10	только тогда когда оно	1	1
11	одного и того же	4	1
12	что мы имеем дело	1	1
13	от того что он	2	1
14	если принять во внимание	2	1
15	в том числе и	1	1
16	же как и в	1	1
17	один и тот же	1	1
18	мы видим в том	1	1
19	не что иное как	1	1
20	в том что мы	2	1
21	по самой своей природе	4	1
22	заключается только в том	1	1
23	но вместе с тем	1	1
24	состоит в том что	2	1
25	к решению этого вопроса	1	1
26	есть в сущности говоря	1	1
27	точно так же как	1	1
28	факт заключается в том	1	1
29	так же как и	1	1
30	одном и том же	2	1
31	и в конце концов	1	1
32	так как мы знаем	1	1
33	это все равно что	1	1
