N	3gram	Propp_Russ_1	Problema
1	по отношению к	1	19
2	и т п	1	13
3	с точки зрения	3	6
4	в отличие от	1	5
5	в большинстве случаев	2	5
6	только по отношению	1	4
7	в данном случае	1	4
8	в противном случае	1	3
9	на самом деле	1	3
10	можно было бы	1	3
11	как мы увидим	5	3
12	в том что	15	3
13	тем не менее	3	3
14	в области изучения	2	2
15	можно сказать что	1	2
16	не только в	1	2
17	как в других	1	2
18	в этом отношении	1	2
19	более узкое значение	1	1
20	что иное как	2	1
21	хотя и не	1	1
22	и теперь еще	1	1
23	иметь в виду	1	1
24	в виду что	1	1
25	в свою очередь	2	1
26	так например в	1	1
27	подобно тому как	1	1
28	в настоящее время	3	1
29	а следовательно и	1	1
30	и в других	4	1
31	в одном и	1	1
32	у нас при	1	1
33	как это ни	1	1
34	на самом же	1	1
35	с тем что	1	1
36	день и на	1	1
37	на то что	1	1
38	от него он	1	1
39	может быть и	2	1
40	а иногда и	3	1
41	не что иное	2	1
42	большое научное значение	1	1
43	независимо от него	1	1
44	на том основании	1	1
45	в равной степени	2	1
46	и в этом	1	1
47	иных точек зрения	1	1
48	это имеет место	2	1
49	и как бы	1	1
50	в связи с	4	1
51	у нас в	1	1
52	и в том	1	1
53	самом же деле	1	1
54	том основании что	1	1
55	в то время	1	1
56	и т д	9	1
57	к выводу что	2	1
58	можно показать что	1	1
59	вопрос о том	1	1
60	не более как	1	1
61	как мы уже	1	1
62	к тому что	4	1
63	в особенности же	1	1
64	быть не может	1	1
65	как и в	1	1
66	на этот вопрос	1	1
