N	3gram	Propp_Isto_5	SlovoVZh
1	по отношению к	2	11
2	не может быть	3	7
3	можно сказать что	1	5
4	в том что	2	4
5	тем не менее	4	3
6	этой точки зрения	1	3
7	до сих пор	2	3
8	на самом деле	1	2
9	с другой стороны	8	2
10	одной стороны и	1	2
11	с точки зрения	1	2
12	для нас же	1	2
13	в зависимости от	1	2
14	но тем не	1	2
15	конечно не может	1	2
16	в данном случае	2	2
17	с одной стороны	7	2
18	но все же	4	1
19	но в ней	1	1
20	и потому не	1	1
21	и др все	1	1
22	то время как	1	1
23	во всяком случае	1	1
24	так как в	2	1
25	уже и сейчас	1	1
26	в самом деле	1	1
27	другой все эти	1	1
28	по себе не	1	1
29	же как и	2	1
30	в нем и	3	1
31	и таким образом	2	1
32	в то время	1	1
33	но уже в	1	1
34	образом прежде всего	1	1
35	сам по себе	1	1
36	таким образом мы	2	1
37	два основных момента	1	1
38	в свою очередь	1	1
39	но и в	2	1
40	о том что	4	1
41	что не только	1	1
42	с самого начала	1	1
43	то же время	1	1
44	мы указывали что	1	1
45	подобно тому как	1	1
46	и здесь мы	1	1
47	можно найти в	1	1
48	в то же	1	1
49	с другой все	1	1
50	так же как	3	1
51	как и в	2	1
52	мы увидим что	1	1
53	и на этом	1	1
