N	3gram	Propp_Isto_7	Tragedij
1	так и в	2	3
2	точно так же	2	2
3	в данном случае	3	2
4	о том что	5	2
5	но все же	2	2
6	в том что	4	2
7	в этом случае	1	1
8	о личных качествах	1	1
9	что это значит?	1	1
10	у него нет	1	1
11	во всех видах	1	1
12	но и на	1	1
13	что он не	1	1
14	и т п	1	1
15	своего отца и	1	1
16	за что не	1	1
17	один из авторов	1	1
18	не исключено что	1	1
19	своего отца он	1	1
20	может быть понят	2	1
21	в этой связи	1	1
22	тем не менее	4	1
23	все же не	1	1
24	в связи с	1	1
25	то что он	1	1
26	она все же	1	1
27	не может быть	3	1
28	на вопрос о	1	1
29	у него есть	2	1
30	с того что	3	1
31	за того кто	1	1
32	мысль о том	1	1
33	в самом деле	1	1
34	он впадает в	1	1
35	с тем и	1	1
36	все в этом	1	1
37	в этом мы	1	1
38	после того как	2	1
39	ни за что	1	1
40	к тому что	1	1
41	согласие на брак	1	1
42	со своими товарищами	1	1
43	на ту сторону	1	1
44	как и в	2	1
45	затем он показывает	1	1
