N	3gram	Vinokur_St_2	VLabPisa
1	и т д	6	15
2	в этом отношении	9	13
3	и т п	3	9
4	в письме к	5	9
5	с другой стороны	3	8
6	по отношению к	1	7
7	по этому поводу	2	7
8	более или менее	2	6
9	в зависимости от	1	5
10	в процессе работы	1	5
11	то же время	1	5
12	в то же	1	5
13	в связи с	1	4
14	в том что	16	4
15	и др в	1	3
16	вместе с тем	5	3
17	о том что	11	3
18	в одном из	3	3
19	к тому что	5	3
20	в другом месте	2	2
21	в чем же	1	2
22	в том числе	1	2
23	до сих пор	5	2
24	таким образом в	1	2
25	одном из писем	2	2
26	в том чтобы	1	2
27	в конце концов	1	2
28	во всяком случае	3	2
29	не только не	2	2
30	из писем к	2	2
31	но и он	1	2
32	для того чтобы	5	2
33	и в другом	1	2
34	том смысле что	1	1
35	на этот вопрос	1	1
36	и в результате	1	1
37	в прямом смысле	1	1
38	говорит об этом	2	1
39	и он отстаивает	1	1
40	иметь в виду	3	1
41	по поводу легенды	1	1
42	хотя бы уже	1	1
43	в конце года	1	1
44	в самом деле	2	1
45	в этом смысле	1	1
46	одним из элементов	1	1
47	т е не	1	1
48	в том же	2	1
49	говоря уже о	1	1
50	именно в этом	1	1
51	сами по себе	2	1
52	что он не	4	1
53	ту же ночь	1	1
54	то что в	2	1
55	из них и	1	1
56	в известном письме	2	1
57	характеристики действующих лиц	1	1
58	что конечно не	1	1
59	на почве этих	1	1
60	и в ту	1	1
61	в своем рассказе	1	1
62	говорит о том	1	1
63	одно и то	1	1
64	так или иначе	1	1
65	таким образом уже	1	1
66	нельзя не признать	1	1
67	уже о том	1	1
68	в ту же	1	1
69	в данном случае	1	1
70	горя от ума	1	1
71	поводу легенды о	1	1
72	в печатном тексте	1	1
73	том же духе	1	1
74	и то же	1	1
75	так же как	3	1
76	очень близко к	1	1
77	имеет ничего общего	1	1
78	по сравнению с	1	1
79	одним из наиболее	1	1
80	от ума и	1	1
81	не в том	2	1
82	но вместе с	1	1
83	своем рассказе о	1	1
84	этого образа в	1	1
85	с другой в	1	1
86	и речи о	1	1
87	а между тем	1	1
88	не имеет ничего	1	1
89	следует подчеркнуть что	1	1
90	к этому и	1	1
91	нет ни одного	1	1
92	в то время	1	1
93	не говоря уже	1	1
94	и вместе с	1	1
95	в свою очередь	1	1
96	и очевидно что	1	1
97	жанровых особенностей и	1	1
98	известном письме к	2	1
99	его собственному признанию	1	1
100	ничего общего с	1	1
101	вопрос о том	3	1
102	в статье о	1	1
103	по его мнению	1	1
104	что в своем	3	1
105	после того как	4	1
106	все это имеет	1	1
107	а как бы	1	1
108	в том смысле	2	1
109	понимать в том	1	1
110	по его собственному	1	1
111	творческих сил в	1	1
112	дело не в	1	1
113	к тому же	2	1
114	т е в	1	1
