N	2gram	Bakhtin_fo_2	Literetu
1	и не	9	22
2	в мире	4	16
3	и в	46	16
4	при этом	6	15
5	в этом	22	14
6	не только	11	14
7	но и	9	14
8	в том	10	12
9	может быть	7	12
10	а не	4	12
11	то что	7	12
12	в частности	5	11
13	не в	9	10
14	то же	8	9
15	так и	7	9
16	в то	5	9
17	того что	3	9
18	в этой	2	8
19	том что	4	8
20	не может	2	8
21	к себе	4	8
22	как бы	10	8
23	в своей	1	7
24	же время	4	7
25	только в	11	7
26	себя в	1	7
27	точки зрения	10	7
28	еще не	6	6
29	с его	1	6
30	в себе	4	6
31	в другом	3	6
32	в стихотворении	1	6
33	о том	4	6
34	художественного мышления	1	6
35	и его	12	6
36	в его	8	6
37	и т.п	2	6
38	с другой	2	6
39	к тому	3	6
40	в отличие	1	5
41	отличие от	1	5
42	как в	4	5
43	то есть	10	5
44	лишь в	2	5
45	это не	2	5
46	как и	8	5
47	в основе	6	5
48	этом отношении	2	5
49	в ее	1	5
50	что он	3	5
51	в качестве	3	5
52	в поэзии	2	5
53	именно в	2	5
54	вместе с	9	5
55	особого рода	1	5
56	а в	3	5
57	но не	5	4
58	хотя и	3	4
59	должно быть	5	4
60	место в	4	4
61	однако в	1	4
62	никогда не	6	4
63	данном случае	1	4
64	а также	3	4
65	другого в	1	4
66	с одной	2	4
67	из них	8	4
68	в одном	7	4
69	как у	3	4
70	в природе	1	4
71	до конца	2	4
72	одной стороны	1	4
73	в данном	2	4
74	по существу	5	4
75	и для	9	4
76	жизни в	4	4
77	отношения к	4	3
78	например в	1	3
79	не становится	1	3
80	самом деле	1	3
81	свое место	1	3
82	с ее	1	3
83	разумеется не	1	3
84	отнюдь не	4	3
85	однако не	1	3
86	и как	3	3
87	и наконец	6	3
88	и к	2	3
89	но в	10	3
90	то в	2	3
91	бы и	1	3
92	на его	1	3
93	а затем	3	3
94	и тем	1	3
95	с точки	8	3
96	только для	2	3
97	себе самому	3	3
98	по своей	1	3
99	потому что	8	3
100	еще в	1	3
101	прежде всего	14	3
102	между тем	1	3
103	совершенно не	1	3
104	уже не	3	3
105	в самом	1	3
106	наконец в	2	3
107	более того	1	3
108	и жизни	1	3
109	о чем	3	3
110	мира в	3	3
111	как это	2	3
112	там где	2	3
113	мыслится как	2	3
114	это как	1	3
115	в романе	13	3
116	жизни и	8	3
