N	3gram	Potebnia_M_2	EvropaiE
1	в то же	2	15
2	то же время	2	14
3	с одной стороны	3	8
4	одной стороны и	1	6
5	в том что	7	6
6	с этой точки	1	5
7	для того чтобы	2	5
8	бы то ни	1	4
9	то ни было	1	4
10	и в этом	1	4
11	само по себе	2	4
12	в этом смысле	2	3
13	можно думать что	2	3
14	в применении к	1	3
15	во всяком случае	7	3
16	во всех случаях	1	3
17	между тем в	1	3
18	как бы ни	3	3
19	заключает в себе	4	3
20	имеет место в	1	2
21	нам кажется что	2	2
22	только в том	1	2
23	то что в	2	2
24	из того что	1	2
25	по сравнению с	1	2
26	так и в	2	2
27	с другой стороны	2	2
28	не может быть	2	2
29	по себе не	3	2
30	в свою очередь	6	2
31	в одном из	1	2
32	мы можем сказать	1	2
33	есть не только	1	2
34	на то что	3	2
35	друг от друга	1	2
36	в большинстве случаев	1	2
37	и не имеет	2	2
38	но не только	1	2
39	и связанное с	1	1
40	и того же	6	1
41	связанное с ним	1	1
42	большего или меньшего	1	1
43	его мысль о	1	1
44	дело в том	1	1
45	но так как	1	1
46	более или менее	8	1
47	большей или меньшей	1	1
48	и та и	1	1
49	можно сказать даже	1	1
50	во многих случаях	1	1
51	то есть к	1	1
52	что же касается	1	1
53	что само по	1	1
54	и во многих	1	1
55	и не в	1	1
56	во многих других	1	1
57	не заключает в	2	1
58	и то и	1	1
59	том случае если	1	1
60	то и другое	4	1
61	в отличие от	1	1
62	с тем что	1	1
63	при помощи этого	1	1
64	все же следует	1	1
65	но само по	1	1
66	не только те	1	1
67	и тот же	1	1
68	смысле этого слова	3	1
69	тем в одном	1	1
70	в некоторых случаях	2	1
71	не могут быть	3	1
72	во всех этих	1	1
73	в том случае	1	1
74	то время как	3	1
75	в большей или	1	1
76	в связи с	1	1
77	друг к другу	1	1
78	о которых мы	1	1
79	мы видели что	1	1
80	для человеческого развития	1	1
81	именно тогда когда	1	1
82	имеет для нас	1	1
83	один и тот	1	1
84	в переводе на	1	1
85	не имеет значения	1	1
86	теплоты то есть	1	1
87	что и сам	1	1
88	мы не можем	3	1
89	которые мы будем	1	1
90	том смысле что	1	1
91	в то время	4	1
92	сказать даже что	1	1
93	и притом с	1	1
94	то есть в	1	1
95	и тем самым	1	1
96	на себе влияние	1	1
97	одного и того	6	1
98	но не в	2	1
99	вероятно что в	1	1
100	та и другая	1	1
101	что оно не	1	1
102	в том смысле	4	1
103	в себе в	1	1
104	тех и других	1	1
105	только тогда когда	2	1
106	и т д	3	1
