N	2gram	Bakhtin_Pr_3	BTomashe
1	и не	29	2
2	все это	16	2
3	в ней	3	2
4	литературных произведений	1	2
5	можно было	1	2
6	не то	2	2
7	крайней мере	3	1
8	об исторических	1	1
9	же не	2	1
10	за пределы	2	1
11	говорить о	3	1
12	бы только	1	1
13	будто бы	2	1
14	об этом	1	1
15	и в	34	1
16	и о	1	1
17	со всем	2	1
18	выходит за	2	1
19	к ней	2	1
20	что все	4	1
21	с другой	4	1
22	в своей	3	1
23	на самом	11	1
24	на которой	1	1
25	как будто	7	1
26	не склонен	1	1
27	точно и	1	1
28	было бы	2	1
29	все же	7	1
30	всяком случае	5	1
31	никак не	1	1
32	между ними	1	1
33	было и	2	1
34	еще не	4	1
35	и на	6	1
36	в пределах	6	1
37	одной из	1	1
38	в значительной	1	1
39	прежде всего	15	1
40	в данном	1	1
41	и во	3	1
42	так и	6	1
43	о них	2	1
44	не было	2	1
45	далеко не	3	1
46	не о	4	1
47	как таковому	1	1
48	всего в	1	1
49	пожалуй и	1	1
50	до конца	3	1
51	стиля и	1	1
52	а не	9	1
53	что в	7	1
54	другой стороны	3	1
55	и ее	2	1
56	не все	1	1
57	по крайней	3	1
58	отнюдь не	2	1
59	таким образом	5	1
60	вопрос о	2	1
61	и более	1	1
62	и потому	2	1
63	не только	10	1
64	значительной степени	1	1
65	во всяком	5	1
