N	3gram	Berdyaev_M_1	Vladivir
1	вл соловьева в	1	15
2	о том что	1	7
3	в том что	1	7
4	что он не	2	3
5	в конце концов	2	3
6	не может быть	17	3
7	ответ на это	1	2
8	он не только	2	2
9	у него не	1	2
10	не только в	2	2
11	в то время	2	2
12	во всяком случае	1	2
13	и по своим	1	2
14	для того чтобы	2	2
15	что и в	1	2
16	и в конце	2	1
17	он был очень	1	1
18	что иное как	1	1
19	а не к	1	1
20	нет и не	1	1
21	и это было	1	1
22	он был человек	1	1
23	не без основания	1	1
24	на протяжении всей	1	1
25	и он был	1	1
26	потому что в	3	1
27	человек может быть	1	1
28	к жизни в	1	1
29	в самом деле	1	1
30	так и не	1	1
31	и не может	2	1
32	и действительно в	1	1
33	было для него	1	1
34	он не был	1	1
35	в которой все	1	1
36	не было ничего	1	1
37	если он сам	1	1
38	он был и	1	1
39	вместе с тем	5	1
40	он никогда не	2	1
41	был не только	1	1
42	то время как	2	1
43	что он был	1	1
44	большой мастер в	1	1
45	того ни с	1	1
46	жизнь и творения	1	1
47	а во имя	1	1
48	ни с того	1	1
49	и ничего не	1	1
50	с того ни	1	1
51	в этот момент	1	1
52	он был также	1	1
53	и в том	1	1
54	ни с сего	1	1
55	в разных местах	1	1
56	к богу но	1	1
57	не давала ему	1	1
58	и вместе с	4	1
59	даже и в	1	1
60	это и есть	4	1
61	но он не	2	1
62	выходят за пределы	1	1
63	с тем что	3	1
64	и никогда не	1	1
65	от нее и	1	1
66	о человеке и	6	1
67	уже не только	2	1
68	но это не	1	1
69	не что иное	1	1
