N	4gram	Bakhtin_Pr_1	formyVre
1	в то же время	9	6
2	и в то же	2	4
3	как мы уже говорили	1	3
4	дело в том что	1	2
5	в то время как	1	2
6	можно прямо сказать что	1	2
7	так же как и	1	2
8	те же что и	1	1
9	то перед нами был	1	1
10	то же время оно	1	1
11	видения и изображения в	1	1
12	мы имеем в виду	1	1
13	с другими чертами его	1	1
14	самого героя и его	1	1
15	перед нами был бы	1	1
16	себе и на своей	1	1
17	на себе и на	1	1
18	и т п все	2	1
19	к себе самому и	1	1
20	бы он ни был	2	1
21	с точки зрения которого	1	1
22	каков бы он ни	1	1
23	точка зрения на мир	2	1
24	но в то же	5	1
