N	3gram	Propp_Isto_6	KFilosof
1	по отношению к	2	21
2	не может быть	3	11
3	уже не может	1	2
4	на своем месте	1	2
5	здесь мы имеем	4	2
6	в том что	5	2
7	то или иное	1	2
8	тем не менее	1	2
9	и тем самым	1	1
10	тем она становится	1	1
11	может быть дано	1	1
12	что в эту	1	1
13	иной мир в	1	1
14	нет места для	1	1
15	того что в	1	1
16	смысле этого слова	1	1
17	и не потому	1	1
18	же не может	1	1
19	не потому что	1	1
20	но это не	1	1
21	для того чтобы	1	1
22	своем месте и	1	1
23	на то что	1	1
24	не было ни	1	1
25	что и в	2	1
26	если он не	1	1
27	этого мира не	1	1
28	здесь не в	1	1
29	к отказу от	1	1
30	независимо от того	1	1
31	и должна быть	1	1
32	небо и землю	1	1
33	и то что	1	1
34	влечет за собой	2	1
35	в том смысле	1	1
36	и тем не	1	1
37	во всяком случае	2	1
38	не значит что	1	1
39	из которых как	1	1
40	не менее в	1	1
41	как бы два	1	1
42	в этом мире	1	1
43	в иной мир	1	1
44	на задний план	1	1
45	со всех сторон	1	1
46	в зависимости от	1	1
47	быть дано только	1	1
48	как бы он	1	1
49	и небо и	1	1
50	на том что	1	1
51	вместе с тем	3	1
52	и эти деревья	2	1
53	это не значит	1	1
54	в противоречие с	1	1
55	это может быть	1	1
56	он вступает в	1	1
57	никто не живет	1	1
