N	3gram	Ircho_Kome_3	PoTuStor
1	с точки зрения	3	6
2	с самого начала	4	4
3	до сих пор	9	3
4	по крайней мере	1	3
5	по сравнению с	2	3
6	во всяком случае	3	3
7	можно сказать что	1	3
8	мы можем теперь	1	2
9	в самом деле	6	2
10	о том что	4	2
11	в конечном счете	2	2
12	и в этом	1	2
13	и с его	1	2
14	не нуждается в	1	2
15	если бы он	3	1
16	все что угодно	1	1
17	бы он был	1	1
18	ни разу не	1	1
19	мы имеем в	1	1
20	имеем в виду	1	1
21	подобно тому как	1	1
22	то же самое	3	1
23	сих пор еще	1	1
24	на первый план	1	1
25	бы то ни	2	1
26	в этом отношении	2	1
27	как это было	1	1
28	и не нуждается	1	1
29	может быть только	1	1
30	с этой точки	1	1
31	вместе с тем	3	1
32	только для того	2	1
33	было до сих	1	1
34	еще не знает	1	1
35	так как он	1	1
36	же что и	1	1
37	то ни было	2	1
38	с одной стороны	3	1
39	в связи с	3	1
40	в этот момент	1	1
41	но вместе с	1	1
42	для нашего времени	1	1
43	в свое время	1	1
44	в том что	9	1
45	этой точки зрения	1	1
46	вместе с ним	2	1
47	из того же	2	1
48	так и в	1	1
49	его отношение к	1	1
50	на большой дороге	1	1
51	я и в	1	1
52	в известной степени	2	1
53	и таким путем	1	1
54	тому как мы	1	1
55	таким образом и	1	1
56	друг с другом	1	1
57	и мы можем	1	1
58	для того чтобы	6	1
59	мы сталкиваемся с	1	1
60	как мы знаем	1	1
