N	2gram	Berdyaev_V_1	Formalny
1	и не	20	30
2	вовсе не	1	28
3	и в	16	27
4	может быть	1	25
5	так и	4	21
6	в этом	4	18
7	а не	7	17
8	то же	1	15
9	в нем	4	15
10	в процессе	1	15
11	как и	4	14
12	не в	3	12
13	и т	2	11
14	в самом	1	11
15	в жизни	3	11
16	и от	1	11
17	не могут	2	10
18	но и	5	10
19	не только	2	9
20	лишь в	3	9
21	так как	9	9
22	так же	1	9
23	как бы	5	8
24	ни в	3	8
25	как мы	1	8
26	только в	2	8
27	то что	9	8
28	и все	4	8
29	что в	3	8
30	с тем	2	7
31	потому что	4	7
32	между тем	2	7
33	в его	4	7
34	в том	3	7
35	для них	2	7
36	все это	5	7
37	в искусстве	1	7
38	еще не	8	6
39	но в	3	6
40	все эти	3	6
41	т д	2	6
42	в своей	3	6
43	и ее	1	6
44	и теперь	2	6
45	что он	4	6
46	с другой	1	6
47	вместе с	1	6
48	все же	1	6
49	и для	3	6
50	бы в	1	6
51	хотя бы	3	6
52	в своих	1	6
53	во всяком	2	6
54	зависимости от	1	5
55	но не	2	5
56	в истории	8	5
57	того чтобы	2	5
58	в ней	4	5
59	что они	7	5
60	никогда не	3	5
61	тем что	2	5
62	и потому	7	5
63	в результате	1	5
64	другой стороны	1	5
65	не есть	6	4
66	мы не	2	4
67	он был	1	4
68	бы то	1	4
69	менее всего	1	4
70	как в	1	4
71	в целом	1	4
72	бы ни	1	4
73	то ни	1	4
74	в ее	1	4
75	том что	2	4
76	она не	1	4
77	могут быть	2	4
78	к тому	3	4
79	роль в	1	4
80	же и	1	4
81	конечно не	2	4
82	уже в	1	4
83	для того	1	4
84	прежде всего	2	4
85	как это	1	4
86	да и	2	4
87	жизни и	3	4
88	они не	1	4
89	должна быть	3	3
90	мы и	2	3
91	в виду	1	3
92	целое и	1	3
93	и на	1	3
94	в которых	1	3
95	во всех	3	3
96	нет и	2	3
97	бы и	3	3
98	что это	1	3
99	и с	1	3
100	это не	2	3
101	и тем	1	3
102	ее в	2	3
103	раз и	1	3
104	в этих	3	3
105	тому что	3	3
106	для нас	2	3
107	они и	2	3
108	оно не	3	3
109	и что	3	3
110	их в	3	3
111	в них	3	3
112	уже не	2	3
113	его и	2	3
114	и навсегда	1	3
115	в конце	3	3
116	души и	1	3
117	у нас	1	3
118	того что	5	3
119	лишь как	1	3
120	жизни в	1	3
121	может и	1	3
122	и эта	1	3
123	человека и	6	2
124	в котором	4	2
125	что уже	1	2
126	который был	1	2
127	говорить о	4	2
128	же что	1	2
129	с его	3	2
130	конечно это	1	2
131	жизни с	1	2
132	в своем	1	2
133	от этого	3	2
134	в этой	1	2
135	перестает быть	1	2
136	на земле	7	2
137	на этом	1	2
138	человека в	1	2
139	это значит	1	2
140	даже что	1	2
141	для чего	1	2
142	и тогда	2	2
143	таким же	1	2
144	жизнь так	1	2
145	какие бы	1	2
146	и очень	1	2
147	одна из	2	2
148	и именно	1	2
149	и это	2	2
150	как не	3	2
151	если они	1	2
152	это только	1	2
153	является в	2	2
154	ничего не	1	2
155	ее и	2	2
156	и во	2	2
157	что и	3	2
158	от этих	2	2
159	человека как	2	2
160	и мир	1	2
161	мы увидим	1	2
162	превращаются в	2	2
163	они будут	4	2
164	лишь к	1	2
165	превращается в	3	2
166	с такой	1	2
167	этого слова	1	2
168	а к	2	2
169	новых формах	1	2
170	но это	3	2
171	ни для	1	2
172	предложение и	1	2
173	от него	2	2
174	у них	1	2
175	конце концов	1	2
176	является и	1	2
177	в последнем	2	2
178	к этому	1	2
179	дальнейшая история	1	1
180	от этой	1	1
181	нем нет	2	1
182	и то	2	1
183	от своей	2	1
184	и до	1	1
185	не имеют	1	1
186	со своей	1	1
187	есть не	1	1
188	в первый	3	1
189	не была	1	1
190	то это	3	1
191	не имел	2	1
192	оно ни	1	1
193	из сторон	1	1
194	себе и	1	1
195	не просто	1	1
196	и чем	1	1
197	его на	1	1
198	и нет	1	1
199	хотя и	5	1
200	существует лишь	1	1
201	этого сама	1	1
202	тоже не	1	1
203	им в	1	1
204	будет так	1	1
205	и если	1	1
206	чтобы овладеть	2	1
207	теперь это	1	1
208	не к	2	1
209	и по	1	1
210	бы от	1	1
211	на этих	2	1
212	но все	1	1
213	не будет	2	1
214	если нет	1	1
215	значение в	1	1
216	в мире	5	1
217	его не	2	1
218	ними как	1	1
219	а его	1	1
220	освободиться от	1	1
221	с этой	1	1
222	очень важное	1	1
223	должно быть	3	1
224	в их	1	1
225	для всякого	1	1
226	в другие	1	1
227	еще так	1	1
228	нет никакого	1	1
229	с ним	2	1
230	в познании	1	1
231	того как	1	1
232	на него	1	1
233	свою роль	1	1
234	к нейтральному	1	1
235	говорят что	1	1
236	в разных	1	1
237	пути и	1	1
238	как она	1	1
239	в сознании	1	1
240	звучит в	1	1
241	его нужно	1	1
242	глубокие и	1	1
243	и самое	1	1
244	людей в	3	1
245	в себя	2	1
246	важное место	1	1
247	можно было	2	1
248	не с	2	1
249	с внутренним	1	1
250	для него	2	1
251	и вообще	1	1
252	от исторической	1	1
253	не был	1	1
254	но мы	2	1
255	лишь тот	1	1
256	жизни т	1	1
257	и который	1	1
258	все в	1	1
259	других людей	1	1
260	от них	1	1
261	а потому	1	1
262	в форме	2	1
263	на страшном	1	1
264	что бы	1	1
265	сложное и	1	1
266	и самые	1	1
267	не так	2	1
268	но с	1	1
269	страшном суде	1	1
270	в двух	1	1
271	мы видим	1	1
272	тот же	3	1
273	и так	1	1
274	это очень	1	1
275	вот что	1	1
276	у ницше	1	1
277	то и	1	1
278	как объективную	1	1
279	или даже	1	1
280	за ним	3	1
281	чего бы	1	1
282	говорит о	1	1
283	но путь	1	1
284	в одном	1	1
285	и должна	1	1
286	и никогда	2	1
287	людей не	2	1
288	и вместе	1	1
289	формах в	1	1
290	без такого	1	1
291	всякого содержания	1	1
292	ней и	1	1
293	не дали	1	1
294	что человек	1	1
295	и быть	1	1
296	еще и	1	1
297	не было	3	1
298	ничем не	1	1
299	жизнь в	1	1
300	его по	1	1
301	мы все	1	1
302	о чем	1	1
303	для их	2	1
304	что мы	4	1
305	мира в	2	1
306	между собою	1	1
307	стороны в	1	1
308	нет ничего	3	1
309	им по	1	1
310	с каким-то	1	1
311	и столь	1	1
312	он говорит	1	1
313	а потом	1	1
314	в словах	1	1
315	образ и	1	1
316	который он	1	1
317	не создает	2	1
318	один из	2	1
319	и новой	1	1
320	слова с	1	1
321	его с	1	1
322	мира и	1	1
323	бы сделать	1	1
324	всего можно	1	1
325	вообще в	1	1
326	в новых	1	1
327	есть уже	2	1
328	а в	2	1
329	ли было	1	1
330	это в	1	1
