N	3gram	Berdyaev_O_1	Istorich
1	о том что	1	5
2	что у него	2	4
3	в том что	1	4
4	то что в	1	3
5	не может быть	2	3
6	потому что у	1	2
7	но и в	2	2
8	после того как	1	2
9	в том-то и	1	2
10	как и в	1	2
11	о том как	1	1
12	хотя и не	1	1
13	от него и	4	1
14	и дело что	1	1
15	а не в	2	1
16	в самом деле	1	1
17	он не только	1	1
18	в иных случаях	1	1
19	в другом месте	1	1
20	а иногда и	1	1
21	и не в	1	1
22	в самом начале	1	1
23	с того ни	1	1
24	и религиозное значение	1	1
25	ни с того	1	1
26	ни с сего	1	1
27	том-то и дело	1	1
28	никто не может	1	1
29	и когда он	1	1
30	тем что у	1	1
31	того ни с	1	1
