N	2gram	Nazirov_Vr_1	SlovoVZh
1	не может	2	16
2	может быть	4	14
3	точки зрения	2	14
4	как бы	4	13
5	и его	3	13
6	таким образом	2	12
7	и в	8	12
8	и не	5	10
9	прежде всего	1	8
10	для нас	4	7
11	в ней	4	6
12	в том	3	6
13	при этом	4	6
14	с помощью	1	6
15	в нем	6	6
16	в процессе	1	6
17	то же	5	5
18	в виду	4	5
19	отнюдь не	2	5
20	как в	1	5
21	но в	6	5
22	в жизни	1	5
23	как и	6	5
24	том что	3	5
25	никогда не	2	5
26	то что	7	5
27	к нему	1	4
28	к автору	2	4
29	в литературе	1	4
30	в этом	8	4
31	все же	6	4
32	в самом	1	4
33	уже не	2	4
34	не только	9	4
35	отношение к	2	4
36	от того	1	4
37	так и	1	4
38	с другой	1	4
39	его в	3	4
40	жизни и	1	4
41	в котором	6	3
42	ясно что	1	3
43	еще не	2	3
44	с героем	1	3
45	и вообще	1	3
46	о том	4	3
47	но и	7	3
48	между тем	5	3
49	того что	1	3
50	быть и	1	3
51	и наконец	1	3
52	и ее	2	3
53	в себе	2	3
54	да и	1	3
55	для него	2	3
56	и с	6	3
57	до сих	1	3
58	в них	2	3
59	автору и	1	3
60	и уже	3	3
61	в своей	2	3
62	так же	4	3
63	тем не	1	3
64	как к	1	3
65	из этого	1	3
66	не должна	1	3
67	сих пор	1	3
68	не менее	2	3
69	все это	4	3
70	но для	1	3
71	это как	1	3
72	ее и	1	3
73	с ним	4	3
74	отношении к	1	3
75	в каком	1	3
76	от этой	1	2
77	и то	2	2
78	едва ли	1	2
79	ко всем	1	2
80	совпадает с	1	2
81	с его	3	2
82	но мы	1	2
83	и что	8	2
84	в чем	3	2
85	в его	3	2
86	в форме	1	2
87	независимо от	1	2
88	в своем	3	2
89	что слово	1	2
90	выражение в	1	2
91	уже в	4	2
92	тому же	1	2
93	в душе	1	2
94	он не	3	2
95	к ним	2	2
96	из него	1	2
97	одно и	1	2
98	в особенности	1	2
99	конечно в	1	2
100	это не	4	2
101	как же	2	2
102	более того	1	2
103	до конца	1	2
104	другой стороны	1	2
105	в момент	2	2
106	нет ничего	1	2
107	вместе с	2	2
108	можно найти	1	2
109	но не	1	2
110	место в	2	2
111	несравненно более	1	2
112	еще раз	1	2
113	с точки	2	2
114	в условиях	1	2
115	такой же	1	2
116	в основном	1	2
117	в то	5	2
118	героев и	1	2
119	ничего не	1	2
120	и все	7	2
121	но зато	1	2
122	в этих	1	2
123	но это	2	2
124	могут быть	1	2
125	на это	2	2
126	что в	7	2
127	как на	1	2
128	не есть	1	2
129	к этому	3	2
130	а между	1	1
131	и это	2	1
132	же как	2	1
133	и о	3	1
134	совпадают с	1	1
135	с ее	1	1
136	свою очередь	1	1
137	на основе	2	1
138	это и	1	1
139	с первого	1	1
140	не хочет	1	1
141	то время	1	1
142	по преимуществу	1	1
143	высшей степени	1	1
144	из двух	1	1
145	было в	1	1
146	исповеди ставрогина	1	1
147	так называемую	1	1
148	жизнь и	1	1
149	что уже	1	1
150	его оформления	1	1
151	он как	1	1
152	и он	2	1
153	так не	1	1
154	но при	1	1
155	на них	1	1
156	там же	2	1
157	столь же	2	1
158	материала это	1	1
159	во всех	1	1
160	вопросу о	1	1
161	и во	3	1
162	все в	1	1
163	и всего	1	1
164	то в	1	1
165	русской литературе	3	1
166	каком направлении	1	1
167	крайней мере	1	1
168	и можно	1	1
169	того в	1	1
170	что они	1	1
171	именно в	1	1
172	и уж	1	1
173	хотя и	1	1
174	ли он	1	1
175	себе не	1	1
176	нашего времени	2	1
177	по мнению	2	1
178	что это	1	1
179	в целом	1	1
180	литературе и	1	1
181	это же	1	1
182	в эти	2	1
183	себя в	1	1
184	еще один	1	1
185	во многих	1	1
186	только слова	1	1
187	при помощи	2	1
188	его и	2	1
189	и их	1	1
190	всяком случае	1	1
191	пор мы	1	1
192	в одном	1	1
193	для правильного	1	1
194	ничего общего	1	1
195	друг друга	1	1
196	у него	5	1
197	в окно	1	1
198	том же	2	1
199	и т.п	2	1
200	и из	1	1
201	входя в	1	1
202	со своею	1	1
203	было бы	1	1
204	к которому	1	1
205	этом смысле	1	1
206	что для	1	1
207	говорит о	1	1
208	не было	5	1
209	рядом с	2	1
210	а с	2	1
211	все равно	1	1
212	далеко не	3	1
213	из подполья	3	1
214	и самый	1	1
215	в ее	1	1
216	не всегда	1	1
217	которой он	1	1
218	несмотря на	4	1
219	о чем	2	1
220	же не	2	1
221	в истории	4	1
222	ему но	1	1
223	себя на	1	1
224	в частности	1	1
225	социальную основу	1	1
226	ее основного	1	1
227	то он	1	1
228	два человека	1	1
229	было такой	1	1
230	только об	1	1
231	что я	2	1
232	наряду с	3	1
233	по крайней	1	1
234	его героям	1	1
235	может идти	1	1
236	в высшей	1	1
237	в обоих	1	1
238	же самому	1	1
239	как о	1	1
240	в русской	3	1
241	к вопросу	1	1
242	уж конечно	1	1
243	уже на	1	1
244	такое понимание	1	1
245	автора к	1	1
246	человек и	1	1
247	в качестве	1	1
248	же время	5	1
249	еще более	1	1
250	тем более	2	1
251	по своей	1	1
252	же он	1	1
253	связи с	3	1
254	в свою	2	1
255	ним на	1	1
256	этом отношении	1	1
257	слово за	1	1
258	гораздо больше	1	1
259	нам не	1	1
260	приближается к	1	1
261	в стиле	1	1
262	только как	1	1
263	они как	1	1
264	тем это	1	1
265	обычно не	1	1
266	равно как	1	1
267	конечно гораздо	1	1
268	вошли в	1	1
269	выросла из	1	1
270	героя в	1	1
271	в таком	1	1
272	во всяком	1	1
273	они не	1	1
