N	2gram	Losev_Prob_2	PoTuStor
1	может быть	18	17
2	и в	35	16
3	в этом	17	9
4	таким образом	4	9
5	и только	4	9
6	мы можем	6	9
7	прежде всего	11	9
8	и с	10	8
9	точки зрения	2	8
10	в психике	1	8
11	и его	1	8
12	не может	13	8
13	совершенно не	2	8
14	с его	1	7
15	не только	24	7
16	сказать что	24	7
17	самом деле	4	6
18	конечно не	2	6
19	при этом	3	6
20	и это	5	6
21	и к	3	6
22	еще не	10	5
23	отношение к	1	5
24	все эти	7	5
25	сознание и	2	5
26	что такое	18	5
27	ни в	6	5
28	в него	2	5
29	как бы	4	5
30	на самом	4	4
31	и ее	2	4
32	и на	5	4
33	отнюдь не	5	4
34	и наконец	3	4
35	но в	6	4
36	в этой	9	4
37	в нем	1	4
38	его в	3	4
39	мысли и	2	4
40	все это	4	4
41	самого начала	2	4
42	как мы	5	4
43	с ее	1	4
44	с самого	3	4
45	так и	7	4
46	но мы	3	4
47	можно сказать	6	4
48	в его	7	4
49	только в	14	4
50	для всех	2	4
51	и их	3	4
52	так как	7	4
53	и даже	11	4
54	но и	16	4
55	и не	37	4
56	и все	5	4
57	хотя бы	12	4
58	все что	3	4
59	отношения к	1	3
60	едва ли	9	3
61	и значение	4	3
62	во всех	2	3
63	в общем	4	3
64	и есть	4	3
65	и как	4	3
66	учение о	2	3
67	с их	1	3
68	и теперь	1	3
69	их в	4	3
70	на этом	1	3
71	на этой	2	3
72	этом смысле	5	3
73	реальности и	1	3
74	том что	19	3
75	во время	1	3
76	сих пор	4	3
77	в одном	1	3
78	по крайней	6	3
79	и притом	3	3
80	в основе	3	3
81	до сих	4	3
82	чем не	1	3
83	мира и	1	3
84	на язык	1	3
85	с другими	5	3
86	крайней мере	6	3
87	и она	1	3
88	в том	12	3
89	только на	9	3
90	всяком случае	10	3
91	даже не	3	3
92	в области	6	3
93	и др	2	3
94	но оно	1	3
95	вместе с	2	3
96	и потому	1	3
97	как это	1	3
98	что в	11	3
99	в этих	4	3
100	а в	4	3
101	то что	38	3
102	только как	3	3
103	во всяком	13	3
104	ту же	1	2
105	же как	1	2
106	нам кажется	2	2
107	этой теории	4	2
108	в самом	5	2
109	и этот	3	2
110	мы уже	3	2
111	мы не	7	2
112	и о	4	2
113	говорить о	10	2
114	и говорить	1	2
115	на них	1	2
116	между собой	5	2
117	из этих	3	2
118	совсем не	7	2
119	но как	6	2
120	нет и	3	2
121	меньше всего	1	2
122	с этим	5	2
123	что это	1	2
124	не стали	1	2
125	но ведь	3	2
126	вообще не	4	2
127	он не	2	2
128	и по	3	2
129	то же	5	2
130	по своему	5	2
131	и мы	2	2
132	было бы	8	2
133	кажется что	1	2
134	в них	2	2
135	как и	5	2
136	между собою	4	2
137	потому и	1	2
138	на первый	4	2
139	все и	1	2
