N	3gram	Bakhtin_Fr_2	Komedia
1	до сих пор	4	9
2	в том что	1	9
3	для того чтобы	1	6
4	в то же	6	4
5	о том что	3	4
6	то же время	6	4
7	по отношению к	1	3
8	с точки зрения	5	3
9	во всяком случае	2	3
10	с одной стороны	3	3
11	в этом случае	1	2
12	по сравнению с	2	2
13	в этом отношении	3	2
14	в конце концов	1	2
15	с другой стороны	3	2
16	но все же	2	2
17	в г в	1	1
18	и без всякого	1	1
19	имеем в виду	2	1
20	уже чем она	1	1
21	подобно тому как	2	1
22	одной стороны и	1	1
23	сих пор еще	2	1
24	мы еще вернемся	2	1
25	и в то	2	1
26	в первую очередь	1	1
27	во время его	2	1
28	и не может	1	1
29	на то что	1	1
30	и его современники	2	1
31	в настоящее время	1	1
32	в том чтобы	1	1
33	далеко не всегда	1	1
34	относится к числу	1	1
35	таким образом и	1	1
36	и в отношении	1	1
37	линии в развитии	1	1
38	меньше чем в	1	1
39	и в силу	1	1
40	не могла не	1	1
41	так и в	1	1
42	можно сказать что	2	1
43	и без того	1	1
44	мы имеем в	1	1
45	после того как	1	1
46	в самом его	1	1
47	друг с другом	1	1
48	и последующих веков	2	1
49	вовсе не является	1	1
50	не нуждается в	1	1
51	в том же	1	1
52	в свое время	3	1
