N	2gram	Bakhtin_Fr_5	BTomashe
1	у нас	1	3
2	и не	15	2
3	больше чем	2	2
4	все это	7	2
5	в ней	8	2
6	можно было	4	2
7	за пределы	1	1
8	тем более	1	1
9	также что	1	1
10	свободная от	1	1
11	говорить о	2	1
12	об этом	4	1
13	и в	45	1
14	и о	4	1
15	со всем	1	1
16	к ней	2	1
17	что все	2	1
18	в своей	3	1
19	своей книге	1	1
20	необходимо отметить	1	1
21	на самом	5	1
22	как будто	1	1
23	из ее	1	1
24	точно и	1	1
25	было бы	2	1
26	все же	2	1
27	кроме того	4	1
28	никак не	1	1
29	между ними	1	1
30	было и	1	1
31	еще не	1	1
32	и на	5	1
33	в пределах	2	1
34	одной из	5	1
35	в значительной	2	1
36	прежде всего	10	1
37	зато очень	1	1
38	в данном	2	1
39	и во	4	1
40	так и	6	1
41	не было	3	1
42	то как	1	1
43	в книге	1	1
44	его не	4	1
45	не мешало	1	1
46	далеко не	1	1
47	не о	1	1
48	до конца	1	1
49	а не	4	1
50	что в	12	1
51	в области	1	1
52	и ее	1	1
53	не все	1	1
54	чем на	2	1
55	таким образом	8	1
56	книге только	1	1
57	и более	1	1
58	и потому	1	1
59	не только	14	1
60	значительной степени	1	1
61	и свободный	2	1
62	во всяком	1	1
63	в эпоху	7	1
