N	2gram	Voloshinov_1	KulturaY
1	и в	12	23
2	не только	4	20
3	в том	6	19
4	в этом	4	18
5	и не	10	16
6	было бы	1	15
7	так как	9	15
8	может быть	14	15
9	точки зрения	14	14
10	все эти	3	12
11	если бы	9	12
12	у нас	1	12
13	в самом	4	12
14	но в	5	11
15	том что	5	11
16	того чтобы	1	11
17	в области	1	11
18	по себе	3	10
19	а не	5	10
20	что в	2	10
21	самом деле	3	9
22	хотя бы	5	9
23	то что	5	9
24	можно было	1	9
25	вовсе не	1	9
26	не может	16	9
27	с точки	2	8
28	не в	4	8
29	и что	2	8
30	в качестве	1	8
31	уже не	4	8
32	прежде всего	8	8
33	с другой	4	8
34	и пр	3	8
35	что это	1	7
36	все же	4	7
37	в нашем	11	7
38	и с	3	7
39	не менее	3	7
40	но и	3	7
41	с помощью	6	7
42	другой стороны	2	7
43	то же	5	6
44	и на	4	6
45	но не	2	6
46	слово это	2	6
47	да и	3	6
48	это не	2	6
49	тем не	3	6
50	по крайней	1	6
51	речи в	2	6
52	ту же	1	6
53	между тем	3	6
54	крайней мере	1	6
55	что не	4	6
56	что мы	5	6
57	и то	2	5
58	мы имеем	2	5
59	зависимости от	4	5
60	еще не	3	5
61	должна быть	5	5
62	и вот	1	5
63	что все	1	5
64	и тем	1	5
65	несмотря на	1	5
66	и здесь	2	5
67	не могут	1	5
68	ясно что	3	5
69	в его	2	5
70	тот же	1	5
71	только в	6	5
72	всяком случае	1	5
73	там где	2	5
74	вместе с	2	5
75	как это	2	5
76	слова и	6	5
77	все это	3	5
78	этом смысле	1	5
79	таким образом	12	5
80	во всяком	1	5
81	в зависимости	2	4
82	что я	1	4
83	в данном	2	4
84	отнюдь не	5	4
85	перед нами	1	4
86	хотя и	1	4
87	если мы	1	4
88	в нем	6	4
89	так и	4	4
90	но все	2	4
91	должно быть	1	4
92	в то	2	4
93	ничего не	2	4
94	к тому	1	4
95	и о	1	4
96	в пределах	3	4
97	от того	4	4
98	могут быть	2	4
99	можно сказать	5	4
100	для нас	7	4
101	ни в	3	4
102	в них	3	4
103	в особенности	2	4
104	в каком	3	4
105	не было	1	4
106	как бы	13	4
107	в результате	1	4
108	сказать что	7	4
109	была бы	2	4
110	к этому	2	4
111	так же	3	4
112	это и	1	3
113	что слово	2	3
114	что можно	1	3
115	как не	2	3
116	как в	5	3
117	выражение в	2	3
118	он не	2	3
119	ни были	1	3
120	и по	3	3
121	на этом	1	3
122	что она	1	3
123	языкового творчества	1	3
124	смысл и	2	3
125	в процессе	6	3
126	слова не	1	3
127	слова как	1	3
128	же время	1	3
129	и его	13	3
130	связи с	1	3
131	языка в	1	3
132	что оно	1	3
133	как мы	1	3
134	в виду	5	3
135	в ней	6	3
136	здесь не	3	3
137	грамматических форм	1	3
138	те же	2	3
139	на это	2	3
140	для этого	1	3
141	сводится к	1	3
142	аналогии с	1	3
143	вопросу о	1	3
144	что и	2	3
145	в форме	2	3
146	в лучшем	1	3
147	того что	3	3
148	есть в	1	3
149	уже в	2	3
150	до конца	2	3
151	у него	1	3
152	именно в	1	3
153	речи а	1	3
154	слов в	1	3
155	лучшем случае	1	3
156	но для	3	3
157	к вопросу	1	3
158	живет и	1	3
159	этом отношении	1	3
160	но это	2	3
161	не знает	1	3
162	и это	1	3
163	же как	1	2
164	чтобы не	1	2
165	и потому	2	2
166	на самом	4	2
167	тем же	1	2
168	не хочет	1	2
169	по преимуществу	1	2
170	так называемые	1	2
171	не то	1	2
172	теряет свой	1	2
173	к слову	2	2
174	конечном счете	1	2
175	что они	1	2
176	в своем	2	2
177	его к	2	2
178	быть только	2	2
179	при этом	6	2
180	не как	1	2
181	в корне	2	2
182	здесь мы	1	2
183	в другом	1	2
184	на все	2	2
185	она стала	1	2
186	данном случае	2	2
187	но уже	1	2
188	рядом с	1	2
189	или о	1	2
190	все равно	1	2
191	которые определяют	1	2
192	как и	5	2
193	не всегда	1	2
194	мы видели	1	2
195	и сейчас	1	2
196	в своей	3	2
197	нельзя было	1	2
198	и более	3	2
199	не должно	1	2
200	только для	1	2
201	в атмосфере	2	2
202	в отношении	2	2
203	она не	2	2
204	но что	2	2
205	должны быть	1	2
206	оно не	2	2
207	свою очередь	1	2
208	характер и	1	2
209	первого же	1	2
210	что для	1	2
211	это только	1	2
212	мы в	2	2
213	и вообще	3	2
214	мы могли	1	2
215	в конечном	1	2
216	к нему	4	2
217	нуждается в	3	2
218	слов и	1	2
219	в современной	1	2
220	которое было	1	2
221	с одной	2	2
222	конечно не	3	2
223	даже и	1	2
224	никогда не	5	2
