N	3gram	Bakhtin_fo_2	OGranits
1	с точки зрения	8	5
2	не может быть	1	4
3	есть прежде всего	1	3
4	одно и то	1	3
5	и наконец в	1	2
6	в данном случае	1	2
7	с одной стороны	1	2
8	и то же	1	2
9	с другой стороны	1	2
10	с самого начала	1	2
11	в том что	3	2
12	в другом месте	2	1
13	и связанных с	1	1
14	как то что	1	1
15	мы видим прежде	1	1
16	что в этом	2	1
17	что в основе	1	1
18	этой точки зрения	1	1
19	а вовсе не	1	1
20	в виду что	1	1
21	равно как и	2	1
22	на самом деле	1	1
23	и в каждой	1	1
24	то же самое	2	1
25	как это обычно	1	1
26	иной характер носит	1	1
27	можно говорить о	1	1
28	в отличие от	1	1
29	между тем как	1	1
30	не было бы	2	1
31	в этом отношении	2	1
32	то что в	1	1
33	может быть и	2	1
34	в значительной мере	1	1
35	с этой точки	1	1
36	так как все	1	1
37	видим прежде всего	1	1
38	важное значение имеет	1	1
39	и помимо этого	1	1
40	для того чтобы	7	1
41	в особенности в	1	1
42	а также и	1	1
43	не касаемся здесь	1	1
44	быть и речи	1	1
45	вплоть до его	1	1
46	и вместе с	1	1
47	мы не касаемся	1	1
48	и как бы	1	1
49	и в их	1	1
50	в связи с	7	1
51	прежде всего в	2	1
52	потому что они	2	1
53	в связи со	1	1
54	то же время	4	1
55	в борьбе с	2	1
56	она ни была	2	1
57	но в то	1	1
58	выходит за пределы	1	1
59	в то же	4	1
60	к тому что	1	1
61	в последнем счете	2	1
62	человека и его	1	1
63	как и в	1	1
64	только с помощью	1	1
