N	3gram	Kanaev_Sov_1	slovoVRo
1	не может быть	4	15
2	в отличие от	2	12
3	в этом случае	1	6
4	с одной стороны	1	5
5	той или иной	1	5
6	по отношению к	1	4
7	в зависимости от	4	4
8	то же время	1	4
9	но все же	1	4
10	в то же	1	4
11	в том что	1	4
12	с точки зрения	5	3
13	одной стороны и	1	3
14	в свою очередь	2	2
15	до сих пор	1	2
16	необходимо отметить что	1	2
17	может быть и	2	2
18	тот факт что	1	2
19	не могут быть	1	2
20	во всяком случае	2	2
21	и в новое	1	2
22	в новое время	1	2
23	в связи с	1	2
24	точки зрения и	1	1
25	и может быть	1	1
26	мы говорим о	1	1
27	в новых условиях	2	1
28	для наших целей	1	1
29	по самому своему	1	1
30	не может не	3	1
31	и в то	1	1
32	сами по себе	1	1
33	и ни в	1	1
34	может иметь место	1	1
35	и не может	1	1
36	был прежде всего	1	1
37	может быть только	1	1
38	и могут быть	1	1
39	как и вся	1	1
40	ведь если нет	1	1
41	в процессе развития	1	1
42	а не только	1	1
43	еще раз подчеркнуть	1	1
44	всяком случае не	1	1
45	самому своему существу	1	1
46	всегда и всюду	1	1
47	все более и	1	1
48	падает вместе с	1	1
49	в этом направлении	1	1
50	те или иные	1	1
51	при этом с	1	1
52	мы видели что	3	1
53	именно в том	1	1
54	тем не менее	2	1
55	вместе с ним	1	1
56	мы не можем	6	1
57	только одна из	1	1
58	и при каких	1	1
59	с самого начала	3	1
60	более и более	1	1
61	раз подчеркнуть что	1	1
62	это как бы	1	1
63	мы не знаем	1	1
64	и в новых	1	1
65	она не может	1	1
66	влечет за собой	1	1
