N	3gram	Tiupa_Lite_3	Freidism
1	с точки зрения	3	11
2	по отношению к	4	8
3	не может быть	3	7
4	в самом деле	2	6
5	в то же	7	4
6	на самом деле	1	4
7	то же время	7	4
8	в данном случае	4	4
9	бы то ни	2	3
10	для того чтобы	1	3
11	в конечном счете	1	3
12	в свою очередь	1	3
13	с одной стороны	4	2
14	это и есть	1	2
15	то ни было	2	2
16	в отличие от	5	2
17	в этом отношении	5	2
18	чем он сам	1	2
19	то же самое	2	2
20	в своей основе	1	2
21	тем не менее	1	2
22	о том что	4	1
23	я не в	1	1
24	с таким расчетом	1	1
25	расчетом чтобы вызвать	1	1
26	но при этом	1	1
27	принес с собой	1	1
28	и вот в	1	1
29	влияние на все	1	1
30	в котором мы	1	1
31	сказать и о	1	1
32	из того что	2	1
33	не только не	1	1
34	на этой почве	1	1
35	мы все время	1	1
36	в целом ряде	1	1
37	хотя бы и	1	1
38	но не только	1	1
39	уже не может	1	1
40	обратим внимание на	2	1
41	ничего общего с	1	1
42	в том что	4	1
43	это уже не	1	1
44	решающее значение для	1	1
45	но и не	2	1
46	потому не может	1	1
47	к себе самому	2	1
48	вот в этой	1	1
49	и тем не	1	1
50	в индивидуальном сознании	1	1
51	все же остается	1	1
52	той или иной	2	1
53	как будто бы	1	1
54	но в отличие	2	1
55	целом ряде других	1	1
56	при этом как	1	1
57	в глубине души	1	1
58	по аналогии с	1	1
59	в себе и	1	1
60	ничем не лучше	1	1
61	быть не может	1	1
62	для того что	1	1
63	как и всякое	1	1
64	это как бы	1	1
65	на первый взгляд	1	1
66	и потому не	1	1
67	таким расчетом чтобы	1	1
