N	3gram	Vygotskiy__5	Sovremen
1	мы не можем	1	6
2	с точки зрения	2	5
3	каждом отдельном случае	1	5
4	в каждом отдельном	1	5
5	в зависимости от	6	4
6	не может быть	2	4
7	мы видели что	1	3
8	с самого начала	3	3
9	друг с другом	3	2
10	в отличие от	2	2
11	в свою очередь	1	2
12	может быть и	2	2
13	то же самое	3	2
14	в результате мы	1	1
15	хотим сказать что	1	1
16	и для ее	2	1
17	что иное как	2	1
18	как например при	1	1
19	и в этом	1	1
20	и есть то	1	1
21	одной стороны и	1	1
22	по крайней мере	1	1
23	не могут быть	1	1
24	но в самом	1	1
25	и значит он	1	1
26	но только не	1	1
27	оно может быть	1	1
28	дело в том	1	1
29	по отношению к	1	1
30	равно как и	1	1
31	на самом деле	2	1
32	мы можем поставить	1	1
33	он может быть	1	1
34	в этом смысле	1	1
35	и той же	2	1
36	когда мы говорим	1	1
37	так же как	2	1
38	что при таком	1	1
39	мы очень мало	1	1
40	влечет за собой	1	1
41	в этом случае	2	1
42	один и тот	1	1
43	шаг за шагом	1	1
44	и все же	1	1
45	следующим образом если	1	1
46	же самое в	1	1
47	до сих пор	5	1
48	вовсе не хотим	1	1
49	сами по себе	2	1
50	с другом мы	1	1
51	сих пор в	1	1
52	и именно в	1	1
53	таким образом все	2	1
54	не хотим сказать	1	1
55	в конечном счете	1	1
56	заключает в себе	4	1
57	можно было бы	3	1
58	в самом деле	5	1
59	по его мнению	2	1
60	той или иной	2	1
61	мы знаем что	2	1
62	для его осуществления	1	1
63	в том случае	1	1
64	мы видим что	3	1
65	одной и той	2	1
66	те или иные	1	1
67	не что иное	2	1
68	и мы получим	1	1
69	и другую сторону	1	1
70	сказать ничего не	1	1
71	в том что	14	1
72	в данном случае	2	1
73	на этот вопрос	3	1
74	все эти три	1	1
75	с одной стороны	12	1
76	именно в том	2	1
77	для наших целей	1	1
78	тот факт что	4	1
79	и тот же	1	1
