N	3gram	Vygotskiy__2	Russkaja
1	друг с другом	1	14
2	то же время	2	10
3	в то же	2	10
4	с точки зрения	10	9
5	в том что	17	7
6	на самом деле	5	6
7	во всяком случае	2	6
8	для того чтобы	13	6
9	а между тем	1	5
10	до сих пор	5	5
11	более или менее	1	4
12	на то что	6	4
13	бы то ни	2	4
14	в том случае	4	4
15	не может быть	8	4
16	то ни стало	1	3
17	во что бы	1	3
18	в этом случае	1	3
19	том случае если	4	3
20	вместе с тем	1	3
21	с тем чтобы	1	3
22	можно было бы	4	3
23	и не может	2	3
24	и то что	2	3
25	что бы то	1	3
26	в данном случае	4	3
27	и если в	1	3
28	в конце концов	3	3
29	точно так же	3	2
30	точки зрения этой	1	2
31	в том и	2	2
32	только в том	4	2
33	самих себя и	1	2
34	они принадлежат к	1	2
35	что он не	2	2
36	для всех народов	1	2
37	в противоречие с	1	2
38	тот факт что	1	2
39	и в том	2	2
40	по самому своему	1	2
41	того или иного	2	2
42	о том что	4	2
43	и тем самым	1	2
44	и не будет	1	2
45	друг от друга	1	2
46	с другом и	1	2
47	в другом случае	1	2
48	к тому что	2	2
49	и того же	1	1
50	в том виде	3	1
51	о том к	1	1
52	том виде как	2	1
53	на целый ряд	1	1
54	состоит в том	2	1
55	который исходит из	1	1
56	то есть не	1	1
57	в свою очередь	2	1
58	на том же	2	1
59	знаем что и	1	1
60	в самом деле	11	1
61	то же самое	6	1
62	он не может	2	1
63	и в других	1	1
64	лишь тогда когда	1	1
65	только то что	1	1
66	в этом отношении	5	1
67	то естественно что	1	1
68	что не только	1	1
69	совершенно ясно что	6	1
70	основе его лежит	1	1
71	за то что	1	1
72	заключает в себе	2	1
73	на этот вопрос	2	1
74	что все это	2	1
75	в противном случае	1	1
76	в борьбе за	1	1
77	по крайней мере	1	1
78	жизни и в	1	1
79	отказаться от того	1	1
80	речь идет не	1	1
81	и в частности	1	1
82	и что в	2	1
83	отказаться от него	1	1
84	в основе его	1	1
85	в том чтобы	3	1
86	то ни было	1	1
87	легко убедимся что	1	1
88	ни к какому	1	1
89	но при этом	1	1
90	идет не об	1	1
91	самому своему существу	1	1
92	указывает на то	2	1
93	в связи с	1	1
94	и говорить что	1	1
95	можно согласиться с	1	1
96	так же как	4	1
97	и таким образом	2	1
98	психологии при этом	1	1
99	само собой разумеется	1	1
100	того и другого	2	1
101	собой разумеется что	1	1
102	то что для	1	1
103	от того что	1	1
104	заключается в том	10	1
105	было бы доказать	1	1
106	в этом и	1	1
107	с самого начала	1	1
108	ли может быть	1	1
109	несмотря на все	3	1
110	если мы в	1	1
111	одного и того	1	1
112	совершенно очевидно что	1	1
113	между тем при	1	1
114	тем не менее	4	1
115	в согласии с	2	1
116	нечего и говорить	1	1
