N	2gram	Tiupa_Anal_3	Hudozhes
1	том что	12	16
2	и в	18	14
3	так и	14	13
4	не только	22	12
5	при этом	11	12
6	о том	6	12
7	в том	9	12
8	а не	9	12
9	в себе	2	11
10	в этом	14	11
11	прежде всего	5	11
12	анекдота и	2	11
13	в своей	1	10
14	для него	6	10
15	то же	3	9
16	как и	14	9
17	что он	4	9
18	в качестве	12	9
19	у него	1	9
20	по отношению	7	8
21	в этой	6	8
22	как в	3	8
23	то что	2	8
24	же время	3	8
25	ничего не	3	8
26	в его	7	8
27	между тем	5	8
28	и притчи	1	8
29	отношению к	7	8
30	в то	3	8
31	еще не	6	7
32	тогда как	20	7
33	это не	2	7
34	своего рода	8	7
35	не в	6	7
36	казалось бы	1	7
37	личности в	3	7
38	к тому	6	7
39	уже не	5	7
40	не случайно	8	7
41	именно в	3	7
42	не может	2	7
43	как бы	10	7
44	а в	10	7
45	как правило	5	6
46	в первой	8	6
47	человека в	1	6
48	в глазах	2	6
49	было бы	3	6
50	никогда не	5	6
51	жизни в	1	6
52	что в	9	6
53	самом деле	2	5
54	с его	8	5
55	человеческих отношений	1	5
56	перед нами	4	5
57	но в	2	5
58	об этом	2	5
59	точки зрения	3	5
60	не менее	4	5
61	и его	13	5
62	потому что	1	5
63	к себе	1	5
64	и он	2	5
65	во второй	7	5
66	только в	2	5
67	может быть	9	5
68	но и	13	5
69	в частности	12	5
70	и а	4	5
71	к жизни	3	5
72	героя и	4	5
73	жизни и	1	5
74	художественного целого	6	4
75	к другому	1	4
76	мы уже	1	4
77	и о	1	4
78	в ней	2	4
79	столь же	4	4
80	в своем	4	4
81	и к	4	4
82	то в	2	4
83	в самом	5	4
84	всего лишь	8	4
85	та же	1	4
86	на то	1	4
87	что она	2	4
88	он не	6	4
89	картины мира	4	4
90	несмотря на	2	4
91	тем не	2	4
92	с ним	1	4
93	человеческого я	2	4
94	в русской	7	4
95	по своей	2	4
96	связи с	1	4
97	как будто	1	4
98	в анекдоте	2	4
99	картина мира	4	4
100	можно сказать	4	4
101	второй главы	1	4
102	того что	1	4
103	один из	2	4
104	себя в	4	4
105	в конце	5	4
106	как раз	7	4
107	не было	3	4
108	и все	2	4
109	притчевого мышления	1	4
110	анекдот и	2	4
111	и от	2	4
112	речь идет	1	3
113	по преимуществу	2	3
114	с точки	2	3
