N	2gram	Berdyaev_V_1	KulturaY
1	и т	2	33
2	в том	3	30
3	и в	16	24
4	потому что	4	23
5	том что	2	21
6	что в	3	17
7	того чтобы	2	17
8	для того	1	16
9	в этом	4	14
10	т д	2	14
11	может быть	1	13
12	все же	1	12
13	и не	20	12
14	в его	4	12
15	не в	3	11
16	только в	2	11
17	хотя бы	3	10
18	в самом	1	10
19	не только	2	10
20	у нас	1	10
21	вовсе не	1	10
22	так как	9	9
23	того что	5	9
24	прежде всего	2	9
25	то что	9	9
26	уже не	2	8
27	то же	1	8
28	тем что	2	8
29	а не	7	8
30	это не	2	7
31	в них	3	7
32	так и	4	7
33	бы в	1	7
34	с другой	1	7
35	как бы	5	7
36	вместе с	1	7
37	зависимости от	1	6
38	в ней	4	6
39	в которой	1	6
40	все эти	3	6
41	в которых	1	6
42	не случайно	1	6
43	можно было	2	6
44	что он	4	6
45	но и	5	6
46	все это	5	6
47	другой стороны	1	6
48	еще не	8	5
49	но не	2	5
50	не просто	1	5
51	что это	1	5
52	слово это	1	5
53	и с	1	5
54	с тем	2	5
55	по крайней	1	5
56	к тому	3	5
57	в виду	1	5
58	с ним	2	5
59	и что	3	5
60	между тем	2	5
61	а потому	1	5
62	крайней мере	1	5
63	еще и	1	5
64	что не	4	5
65	в результате	1	5
66	а в	2	5
67	во всяком	2	5
68	и на	1	4
69	с его	3	4
70	что они	7	4
71	как в	1	4
72	в целом	1	4
73	роль в	1	4
74	в нем	4	4
75	и тогда	2	4
76	того как	1	4
77	в русском	1	4
78	что и	3	4
79	с ними	1	4
80	не есть	6	4
81	и потому	7	4
82	один из	2	4
83	указать на	1	4
84	в этих	3	4
85	так же	1	4
86	и то	2	3
87	в котором	4	3
88	на себя	5	3
89	то это	3	3
90	в истории	8	3
91	в своем	1	3
92	хотя и	5	3
93	его к	2	3
94	в этой	1	3
95	и если	1	3
96	не имеют	1	3
97	должна быть	3	3
98	на том	2	3
99	должно быть	3	3
100	в их	1	3
101	тому что	3	3
102	это слово	1	3
103	в духе	2	3
104	что оно	1	3
105	оно не	3	3
106	не с	2	3
107	это только	1	3
108	мы увидим	1	3
109	уже в	1	3
110	в одном	1	3
111	уже и	1	3
112	не было	3	3
113	а с	2	3
114	если не	3	3
115	как это	1	3
116	этого слова	1	3
117	потребность в	1	3
118	они не	1	3
119	речь идет	1	2
120	и есть	4	2
121	если б	1	2
122	бы и	3	2
123	я не	1	2
124	свой предмет	1	2
125	думаю что	1	2
126	если в	1	2
127	тогда как	1	2
128	себе и	1	2
129	могли бы	1	2
130	но в	3	2
131	от этого	3	2
132	и говорит	1	2
133	но все	1	2
134	в состоянии	1	2
135	лишь в	3	2
136	и мы	3	2
137	и тем	1	2
138	ни в	3	2
139	для них	2	2
140	все равно	2	2
141	как и	4	2
142	между собою	1	2
143	и было	1	2
144	в своей	3	2
145	что я	3	2
146	вопрос о	1	2
147	что было	2	2
148	можно ли	1	2
149	не имеет	3	2
150	ничего не	1	2
151	что их	2	2
152	и именно	1	2
153	и сделали	1	2
154	был в	1	2
155	никогда не	3	2
156	до того	2	2
157	не могут	2	2
158	к жизни	1	2
159	что все	4	2
160	когда в	2	2
161	смысле и	1	2
162	в разных	1	2
163	любви к	1	2
164	но с	1	2
165	д и	1	2
166	любовь к	3	2
167	тот же	3	2
168	же и	1	2
169	конечно не	2	2
170	то и	1	2
171	и против	3	2
172	превращается в	3	2
173	о чем	1	2
174	не всегда	1	2
175	с этой	1	2
176	и для	3	2
177	уже на	2	2
178	в силах	4	2
179	для нас	2	2
180	и все	4	2
181	лишь как	1	2
182	именем и	1	2
183	но вот	1	2
184	в последнем	2	2
185	ее в	2	2
186	не имел	2	1
187	для себя	1	1
188	на этих	2	1
189	его не	2	1
190	есть не	1	1
191	который был	1	1
192	говорить о	4	1
193	тем если	1	1
194	вместо того	2	1
195	мы и	2	1
196	не имею	1	1
197	не был	1	1
198	к ее	1	1
199	теперь в	1	1
200	истории в	1	1
201	что люди	1	1
202	у таких	1	1
203	к ним	1	1
204	его во	3	1
205	присутствует в	1	1
206	менее всего	1	1
207	искусстве но	1	1
208	отношение к	1	1
209	которые не	2	1
210	задача которая	1	1
211	государства и	2	1
212	что нет	1	1
213	по пути	5	1
214	нельзя более	1	1
215	и последний	2	1
216	он дал	1	1
217	со своей	1	1
218	в чем	3	1
219	в известном	1	1
