N	3gram	Losev_Dial_4	Sotsiolo
1	в том что	9	2
2	в конце концов	1	2
3	не в том	4	2
4	но только в	1	1
5	далеко еще не	1	1
6	все же это	1	1
7	и мы не	1	1
8	это и есть	4	1
9	том как же	1	1
10	и в этом	3	1
11	не может не	1	1
12	по крайней мере	7	1
13	должно было бы	1	1
14	о том как	2	1
15	что данный субъект	1	1
16	и как только	1	1
17	сама по себе	5	1
18	тем более не	3	1
19	это и будет	1	1
20	не было бы	1	1
21	друг от друга	1	1
22	в то же	6	1
23	и стало быть	4	1
24	в связи с	1	1
25	на первый план	1	1
26	ни на что	2	1
27	более не наука	1	1
28	то же время	6	1
29	ровно ничего не	6	1
30	именно на этот	1	1
31	и в то	2	1
32	в лучшем случае	1	1
33	и мы еще	1	1
34	мы переходим к	1	1
