N	2gram	Medvedev_I_1	Istorich
1	и в	1	25
2	и не	2	11
3	в этом	2	10
4	тем что	1	10
5	с другой	1	9
6	все эти	1	8
7	что в	2	8
8	другой стороны	1	8
9	себя в	1	6
10	от этого	1	4
11	он не	2	4
12	все это	1	4
13	и с	3	3
14	а в	1	3
15	но когда	1	3
16	того чтобы	1	3
17	никогда не	1	3
18	в целом	1	3
19	что при	1	3
20	для того	1	3
21	и др	1	3
22	после смерти	1	3
23	тех же	1	2
24	жизни и	1	2
25	того же	1	2
26	отношению к	1	2
27	того что	1	2
28	работы не	1	2
29	по отношению	1	2
30	и сам	1	2
31	ничего не	2	2
32	очевидно что	1	2
33	это было	1	2
34	по существу	1	2
35	должен быть	2	2
36	если бы	1	2
37	а если	1	2
38	бы в	1	1
39	о ней	1	1
40	только для	1	1
41	утверждает что	1	1
42	и тот	1	1
43	он с	1	1
44	литература о	1	1
45	не так	1	1
46	отметим только	1	1
47	на котором	1	1
48	художественного творчества	1	1
49	то и	1	1
50	не дает	1	1
51	свою жену	1	1
52	его цель	1	1
53	для него	1	1
54	только что	1	1
55	что для	1	1
56	этим и	1	1
57	во многом	1	1
58	и о	1	1
59	следующим образом	1	1
60	и еще	1	1
61	в руки	1	1
62	а с	1	1
63	и и	1	1
64	в основе	1	1
65	как только	1	1
66	а также	1	1
67	я не	1	1
68	автор не	1	1
69	комплекс в	1	1
70	как о	1	1
