N	2gram	Propp_Isto_2	Problemy
1	и в	15	46
2	и не	11	27
3	может быть	17	23
4	не может	5	19
5	как бы	6	19
6	в нем	7	17
7	в этом	11	16
8	не только	18	14
9	слова в	2	13
10	перед нами	2	12
11	как мы	1	12
12	но и	14	12
13	как и	2	12
14	и на	4	11
15	в одном	5	11
16	а не	5	11
17	в пределах	1	10
18	не в	7	10
19	и к	1	9
20	в самом	1	9
21	в его	6	9
22	в том	6	9
23	вовсе не	1	9
24	прежде всего	5	9
25	до сих	6	8
26	сих пор	7	8
27	или в	2	8
28	в сущности	2	7
29	еще не	9	7
30	в себе	4	7
31	и с	4	7
32	слово и	1	7
33	по себе	1	7
34	то же	10	6
35	никогда не	15	6
36	и он	1	6
37	но в	6	6
38	к одному	1	6
39	ни в	2	6
40	но это	4	6
41	и его	3	6
42	о нем	4	6
43	в него	2	6
44	что он	24	6
45	только в	6	6
46	друг друга	1	6
47	и между	1	6
48	к себе	2	6
49	все это	3	6
50	мы увидим	8	6
51	в котором	5	5
52	с его	1	5
53	во всех	2	5
54	по отношению	3	5
55	нам кажется	1	5
56	так сказать	2	5
57	при этом	4	5
58	особенно в	1	5
59	это не	2	5
60	в жизни	2	5
61	в то	1	5
62	если же	1	5
63	о том	3	5
64	к нему	5	5
65	если мы	1	5
66	так как	14	5
67	у него	4	5
68	с другом	1	5
69	друг с	1	5
70	отношению к	3	5
71	например в	2	4
72	самом деле	2	4
73	в их	3	4
74	мы не	3	4
75	на себя	1	4
76	но не	2	4
77	как в	5	4
78	все же	9	4
79	кроме того	2	4
80	все эти	4	4
81	он не	8	4
82	таким образом	7	4
83	и наконец	5	4
84	мы слышим	1	4
85	он и	3	4
86	том что	7	4
87	в этих	11	4
88	своего рода	1	4
89	в процессе	1	4
90	этих двух	1	4
91	во всем	1	4
92	потому что	9	4
93	здесь не	2	4
94	в себя	3	4
95	приводит к	2	4
96	так и	5	4
97	в чужом	1	4
98	по мере	3	4
99	в виду	2	4
100	и здесь	9	4
101	и других	1	4
102	вся жизнь	1	4
103	же и	3	4
104	уже не	1	4
105	уже в	2	4
106	мы можем	8	4
107	до конца	1	4
108	превращается в	2	4
109	очень часто	4	4
110	да и	2	4
111	то что	12	4
112	не знает	2	4
113	что в	12	4
114	себя как	1	3
115	сам по	1	3
116	и понимает	1	3
117	и это	3	3
118	почти всегда	1	3
119	мы уже	6	3
120	той же	2	3
121	мы имеем	15	3
122	и о	1	3
123	так чтобы	1	3
124	то это	6	3
125	для наших	2	3
126	отличие от	1	3
127	в центре	1	3
128	в той	1	3
129	из этих	3	3
130	в этой	4	3
131	имеем в	5	3
132	как он	3	3
133	на то	3	3
134	их в	2	3
135	они должны	4	3
136	было бы	5	3
137	далеко не	1	3
138	такой же	2	3
139	но если	3	3
140	и их	2	3
141	в своей	1	3
142	в отличие	1	3
143	но он	4	3
144	войти в	1	3
145	она не	5	3
146	правда в	1	3
147	на него	5	3
148	у меня	1	3
149	не могут	1	3
150	с ее	2	3
151	и этим	1	3
152	с собой	1	3
153	здесь нет	2	3
154	и что	6	3
155	и во	1	3
156	и только	2	3
157	только на	1	3
158	а то	2	3
159	что и	6	3
160	тем что	4	3
161	эти явления	1	3
162	с другой	2	3
163	себя и	2	3
164	жизнь в	1	3
165	так же	13	3
166	к своему	1	3
167	что же	1	3
168	по существу	2	3
169	другого человека	1	3
170	и для	2	3
171	еще более	1	3
172	другой стороны	2	3
173	героя в	1	3
174	и другие	4	3
175	же как	5	2
176	а как	1	2
177	вопрос о	4	2
178	из своих	1	2
179	героя но	1	2
180	себе что	1	2
181	мы здесь	6	2
182	он сам	1	2
183	там и	1	2
184	уже нет	1	2
185	в одной	4	2
186	с этим	5	2
187	вот как	1	2
188	как нам	1	2
189	когда он	3	2
190	и как	1	2
191	не было	2	2
192	его к	1	2
193	увидим что	3	2
194	от этого	1	2
195	не хочет	1	2
196	так в	3	2
197	но на	1	2
198	оно должно	1	2
199	и по	2	2
200	но дело	1	2
201	но все	5	2
202	об этом	11	2
203	хотя бы	2	2
204	данному вопросу	1	2
205	что такое	1	2
206	почти не	1	2
207	себе а	1	2
208	в которых	2	2
209	могло бы	1	2
210	не менее	1	2
211	которые в	1	2
212	того как	4	2
213	одна из	2	2
214	но она	1	2
215	ничего не	7	2
216	к ней	2	2
217	этих случаях	10	2
218	у нас	1	2
219	могут быть	2	2
220	к тому	5	2
221	указывает на	1	2
222	не случайное	1	2
223	без всякого	1	2
224	и совершенно	1	2
225	в другом	9	2
226	можно было	5	2
227	живет в	2	2
228	с ним	1	2
229	автор не	1	2
230	почему же	1	2
231	все в	1	2
232	тем как	1	2
233	понимает ее	1	2
234	здесь в	2	2
235	и следовательно	1	2
236	но с	2	2
237	и одновременно	1	2
238	этот вопрос	1	2
239	по данному	1	2
240	и так	2	2
241	здесь с	1	2
242	наших целей	2	2
243	так что	6	2
244	и они	4	2
245	героя с	1	2
246	даже к	1	2
247	а в	12	2
248	в других	3	2
249	к самому	1	2
250	именно как	1	2
251	друга но	1	2
252	и пр	7	2
253	там где	1	2
254	что мы	3	2
255	в одно	1	2
256	материал и	1	2
257	вместе с	7	2
258	к жизни	1	2
259	человек с	1	2
260	этого слова	1	2
261	остается в	1	2
262	например у	1	2
263	себе еще	1	2
264	оно и	2	2
265	в результате	1	2
266	о котором	1	2
267	для нас	4	2
268	я у	1	2
269	на части	1	2
270	в системе	2	2
271	сказать что	2	2
272	есть и	2	2
273	но автор	1	2
274	в античности	3	2
275	они не	4	2
276	относится и	1	1
277	самое место	1	1
278	которой она	1	1
279	и то	2	1
280	на самом	2	1
281	он может	1	1
282	к своей	1	1
283	так у	2	1
284	и есть	5	1
285	перед лицом	1	1
286	он находится	1	1
287	с выражением	1	1
288	из другого	1	1
289	можно в	1	1
290	оно было	1	1
291	в доме	3	1
292	делают его	2	1
293	и могут	1	1
294	в несколько	1	1
295	здесь нас	1	1
296	топор и	3	1
297	при анализе	1	1
298	входит в	1	1
299	их к	1	1
300	этом не	1	1
301	его о	1	1
302	как то	1	1
303	принадлежит к	2	1
304	не вполне	1	1
305	вместо того	2	1
306	от друга	1	1
307	это время	1	1
308	в ней	4	1
309	в брак	1	1
310	со словами	1	1
311	время в	1	1
312	то мы	2	1
313	ясным из	1	1
314	могло быть	1	1
315	но как	1	1
316	а только	1	1
317	друг от	1	1
318	характер и	1	1
319	мы проследим	1	1
320	себя за	1	1
321	своей стране	1	1
322	как к	1	1
323	внутренняя жизнь	1	1
324	однако не	1	1
325	просто как	1	1
326	подробнее мы	1	1
327	было только	1	1
328	духа и	1	1
329	себе не	1	1
330	приема в	1	1
331	он на	1	1
332	со своей	1	1
333	что это	6	1
334	в целом	1	1
335	так или	1	1
336	следы и	1	1
337	еще один	1	1
338	тому же	2	1
339	из его	1	1
340	с новым	1	1
341	и если	2	1
342	на его	2	1
343	что она	5	1
344	к миру	1	1
345	человек не	1	1
346	высшей степени	1	1
347	и социальной	2	1
348	свою собственную	1	1
349	станет ясным	1	1
350	он должен	2	1
351	в силу	2	1
352	что у	2	1
353	но некоторые	1	1
354	здесь мы	3	1
355	и ждут	1	1
356	хочет чтобы	1	1
357	этом он	1	1
358	связанных с	1	1
359	а по	1	1
360	на этой	2	1
361	его в	10	1
362	который и	1	1
363	и иных	1	1
364	свою противоположность	1	1
365	изучения каждого	1	1
366	не боится	2	1
367	не соответствует	2	1
368	вводит в	1	1
369	он является	2	1
370	в них	1	1
371	ней так	1	1
372	она и	2	1
373	в высшей	1	1
374	других типов	1	1
375	же эти	2	1
376	место и	1	1
377	не всегда	1	1
378	несмотря на	1	1
379	здесь можно	5	1
380	мы знаем	11	1
381	чем в	1	1
382	обратимся к	2	1
383	все как	1	1
384	во время	2	1
385	бы на	1	1
386	я его	3	1
387	не должен	4	1
388	необходимо указать	1	1
389	мы в	2	1
390	не столько	2	1
391	что дверь	1	1
392	мы теперь	1	1
393	принимают в	1	1
394	но эта	1	1
395	не будем	4	1
396	над всеми	1	1
397	что было	1	1
398	тем самым	2	1
399	и делают	1	1
400	и под	1	1
401	даже в	1	1
402	и очень	1	1
403	вплоть до	1	1
404	но они	4	1
405	или что	1	1
406	виду что	1	1
407	самого начала	2	1
408	есть а	1	1
409	здесь нам	1	1
410	дело не	4	1
411	освободиться от	1	1
412	что их	1	1
413	здесь на	2	1
414	а ты	1	1
415	к этим	1	1
416	и два	1	1
417	в самых	1	1
418	и снова	1	1
419	чтобы стать	1	1
420	ты мой	1	1
421	иметь в	2	1
422	а во	1	1
423	в три	1	1
424	быть разрешен	2	1
425	и отражает	1	1
426	ему и	1	1
427	почти никогда	2	1
428	связи с	8	1
429	второй момент	1	1
430	к какому-нибудь	1	1
431	мы бы	1	1
432	в более	1	1
433	только с	2	1
434	как будто	3	1
435	что на	1	1
436	сделать в	1	1
437	есть у	1	1
438	такие же	1	1
439	среди них	1	1
440	когда мы	2	1
441	я ничего	1	1
442	нисколько не	2	1
443	лежит в	1	1
444	человека в	2	1
445	мере того	2	1
446	его с	1	1
447	бы он	1	1
448	они и	1	1
449	все еще	2	1
450	уже на	3	1
451	наш герой	1	1
452	что при	5	1
453	приведем еще	1	1
