N	3gram	Berdyaev_M_2	slovoVRo
1	не может быть	8	15
2	человек и его	1	12
3	в значительной степени	1	6
4	той или иной	1	5
5	по отношению к	2	4
6	в отношении к	2	4
7	в том что	2	4
8	оно не может	1	3
9	с точки зрения	1	3
10	сама по себе	1	3
11	в этом отношении	1	3
12	в чем не	2	2
13	до сих пор	3	2
14	у него нет	3	2
15	может быть и	2	2
16	оно входит в	1	2
17	сих пор не	1	2
18	ни в чем	2	2
19	для того чтобы	4	2
20	во всех его	1	2
21	а следовательно и	1	1
22	менее всего может	1	1
23	том что в	1	1
24	также и в	2	1
25	том что он	1	1
26	и в той	1	1
27	но и в	1	1
28	между тем как	1	1
29	на то что	1	1
30	границ и форм	1	1
31	был прежде всего	1	1
32	он никогда не	1	1
33	в такой степени	2	1
34	а не только	1	1
35	а также в	1	1
36	что он не	1	1
37	не до конца	2	1
38	но в нем	1	1
39	бы и не	1	1
40	в этом направлении	1	1
41	есть не только	1	1
42	не для того	1	1
43	а не в	2	1
44	в нем есть	6	1
45	хотя и в	1	1
46	проникает в нее	1	1
47	та же идея	1	1
48	по ту сторону	1	1
49	о том что	2	1
50	друг к другу	5	1
51	себя и для	1	1
52	в нем нет	2	1
53	как и в	2	1
54	и никогда и	1	1
55	на протяжении всего	1	1
56	точки зрения так	1	1
57	может быть его	1	1
58	человеку как к	1	1
59	также в значительной	1	1
60	для этого необходимо	3	1
61	нельзя себе представить	1	1
62	в романах достоевского	1	1
63	человека в этом	1	1
64	всего может быть	1	1
65	и в новых	1	1
66	и в нем	1	1
67	всего этого не	1	1
68	она не может	1	1
69	мы увидим что	2	1
