N	2gram	Potebnia_M_3	BTomashe
1	и не	15	2
2	больше чем	1	2
3	все это	4	2
4	в ней	8	2
5	не то	3	2
6	крайней мере	5	1
7	более что	1	1
8	художественного произведения	5	1
9	за пределы	2	1
10	тем более	4	1
11	говорить о	3	1
12	бы только	1	1
13	об этом	2	1
14	и в	30	1
15	не вполне	1	1
16	и о	2	1
17	в речи	2	1
18	со всем	1	1
19	к ней	5	1
20	следовало бы	1	1
21	на выражение	1	1
22	что все	3	1
23	говорить не	1	1
24	с другой	7	1
25	в своей	2	1
26	значение слова	5	1
27	на самом	1	1
28	на которой	3	1
29	не следует	5	1
30	было бы	9	1
31	от значения	1	1
32	все же	2	1
33	никак не	3	1
34	между ними	1	1
35	еще не	5	1
36	художественном произведении	3	1
37	и на	3	1
38	представляется нам	1	1
39	только одной	1	1
40	одной из	2	1
41	должна быть	1	1
42	нет но	1	1
43	забывать что	1	1
44	прежде всего	3	1
45	для которой	1	1
46	как работу	1	1
47	в данном	1	1
48	собственной теории	1	1
49	так и	11	1
50	не было	4	1
51	его не	1	1
52	далеко не	4	1
53	можно в	1	1
54	а не	15	1
55	что в	17	1
56	в области	2	1
57	другой стороны	4	1
58	и ее	1	1
59	не все	4	1
60	по крайней	5	1
61	таким образом	14	1
62	вопрос о	1	1
63	и более	1	1
64	и потому	4	1
65	не только	21	1
66	во всяком	1	1
