N	2gram	Bakhtin_KF_1	VrazhdaK
1	не только	5	9
2	в этом	14	8
3	и в	24	8
4	но и	9	7
5	и все	7	7
6	то что	7	7
7	что в	4	7
8	все же	5	6
9	но в	5	6
10	в нем	28	6
11	как и	5	6
12	в котором	24	6
13	и с	1	6
14	о нем	4	6
15	и даже	1	6
16	то же	5	5
17	об этом	1	5
18	в то	3	5
19	же время	2	5
20	между тем	4	5
21	не было	8	5
22	и не	26	5
23	в ней	3	4
24	что он	2	4
25	в истории	1	4
26	при этом	4	4
27	это не	10	4
28	несмотря на	1	4
29	все это	10	4
30	в виду	3	4
31	с ним	5	4
32	о том	3	4
33	для нас	4	4
34	может быть	45	4
35	как бы	9	4
36	в своих	3	4
37	я не	6	3
38	в чем	4	3
39	с его	1	3
40	в своем	16	3
41	и как	2	3
42	в этот	1	3
43	на то	1	3
44	его в	5	3
45	он не	6	3
46	и уже	1	3
47	том что	4	3
48	но он	1	3
49	что есть	2	3
50	и его	17	3
51	и о	1	3
52	и во	1	3
53	в его	40	3
54	в том	6	3
55	тем что	3	3
56	эти слова	1	3
57	к этому	2	3
58	отношения к	1	2
59	и то	2	2
60	и он	1	2
61	столь же	1	2
62	но как	5	2
63	отнюдь не	6	2
64	в известном	1	2
65	его на	2	2
66	за границей	1	2
67	в этой	2	2
68	в себе	21	2
69	время и	5	2
70	их в	1	2
71	в мире	6	2
72	этот человек	1	2
73	рядом с	3	2
74	а с	2	2
75	меня но	4	2
76	не мог	1	2
77	в эту	1	2
78	точки зрения	12	2
79	в своей	10	2
80	и ее	2	2
81	с точки	9	2
82	место в	5	2
83	не менее	3	2
84	том же	1	2
85	одна из	1	2
86	никогда не	5	2
87	в момент	3	2
88	к себе	2	2
89	его с	2	2
90	и это	12	2
91	же не	1	2
92	на основе	7	2
93	еще не	4	2
94	меня как	3	2
95	этот момент	6	2
96	уже не	7	2
97	его и	2	2
98	могли быть	1	2
99	для него	8	2
100	отношение к	5	2
101	к ним	4	2
102	как раз	1	2
103	и т.п	1	2
104	с которым	1	2
105	не может	27	2
106	вместе с	1	2
107	в него	2	2
108	ко мне	6	2
109	в это	2	2
110	но это	6	2
111	что я	5	2
112	же в	1	2
113	а в	4	2
114	в свою	3	2
115	это в	1	2
116	себя как	2	1
117	можно говорить	1	1
118	также и	1	1
119	того же	1	1
120	три строки	1	1
121	это и	2	1
122	и есть	9	1
123	едва ли	2	1
124	в их	8	1
125	из всех	1	1
126	той же	1	1
127	что уже	1	1
128	именно к	1	1
129	он как	1	1
130	равно как	1	1
131	совпадает с	1	1
132	говорить о	2	1
133	в разные	1	1
134	в составе	2	1
135	ему в	2	1
136	меня в	3	1
137	содержания в	1	1
138	по своему	3	1
139	а следовательно	3	1
140	совсем не	2	1
141	но не	12	1
142	же на	1	1
143	и т.д	2	1
144	в оценке	1	1
145	я только	1	1
146	и я	5	1
147	же с	1	1
148	независимо от	3	1
149	как в	2	1
150	с этим	1	1
151	как к	2	1
152	что ее	1	1
153	и наконец	1	1
154	не являются	1	1
155	поэтому он	1	1
156	в самом	1	1
157	что это	3	1
158	в целом	10	1
159	момент его	8	1
160	не был	1	1
161	знать и	1	1
162	но ведь	5	1
163	в первой	1	1
164	всех этих	3	1
165	общее дело	1	1
166	прочим и	1	1
167	этот процесс	1	1
168	из него	3	1
169	и этот	3	1
170	людей и	2	1
171	не будет	2	1
172	конечно в	2	1
173	их и	1	1
174	а их	1	1
175	это было	2	1
176	было бы	8	1
177	и индивидуальное	1	1
178	в жизни	2	1
179	на характер	1	1
180	соответствии с	2	1
181	этого не	1	1
182	а за	1	1
183	всю жизнь	1	1
184	которой он	2	1
185	он и	2	1
186	однажды в	1	1
187	такой же	1	1
188	одного и	1	1
189	но я	2	1
190	со мной	4	1
191	в этих	1	1
192	и их	6	1
193	всяком случае	1	1
194	он принимает	1	1
195	вышел из	1	1
196	не будем	1	1
197	тем не	2	1
198	есть еще	1	1
199	что этот	3	1
200	сам этот	2	1
201	раз и	2	1
202	тем самым	4	1
203	что эта	2	1
204	человека но	1	1
205	не имеет	5	1
206	первая часть	1	1
207	в процессе	2	1
208	как о	1	1
209	из их	1	1
210	нем в	1	1
211	только не	1	1
212	следовательно и	1	1
213	все свои	1	1
214	ничего не	3	1
215	вне его	1	1
216	более что	1	1
217	по своей	1	1
218	такая же	1	1
219	ему и	1	1
220	это слово	1	1
221	потому что	2	1
222	до того	1	1
223	в каком	4	1
224	ли это	2	1
225	только от	1	1
226	этот факт	2	1
227	в духе	1	1
228	могут быть	3	1
229	во все	1	1
230	вошли в	1	1
231	отличается от	1	1
232	не есть	20	1
233	ничего общего	2	1
234	правда не	1	1
235	с ее	2	1
236	свою очередь	1	1
237	но при	1	1
238	это будет	1	1
239	в ее	16	1
240	только при	1	1
241	не могло	1	1
242	но мы	1	1
243	стремится быть	1	1
244	так и	2	1
245	не с	1	1
246	ясно что	3	1
247	живет в	1	1
248	во второй	1	1
249	жизнь и	2	1
250	и эстетический	2	1
251	жизнь только	1	1
252	во всяком	1	1
253	второй половине	1	1
254	его жизни	3	1
255	не стоит	1	1
256	единства и	2	1
257	к нему	12	1
258	во всех	11	1
259	и большой	1	1
260	от них	1	1
261	говорить об	1	1
262	во всей	4	1
263	и можно	1	1
264	все в	1	1
265	не знаю	1	1
266	человека как	1	1
267	если это	1	1
268	в литературе	1	1
269	я ее	1	1
270	этом смысле	3	1
271	один из	2	1
272	но с	1	1
273	ее уже	1	1
274	что только	2	1
275	за исключением	1	1
276	во всем	7	1
277	за которую	1	1
278	в качестве	2	1
279	себя в	8	1
280	внимание в	1	1
281	а это	2	1
282	предположение что	1	1
283	в душе	1	1
284	никто не	1	1
285	в одном	4	1
286	существенно что	2	1
287	ее не	1	1
288	друг друга	1	1
289	и никогда	1	1
290	не просто	1	1
291	от того	3	1
292	и из	1	1
293	именно в	5	1
294	все равно	1	1
295	прежде всего	2	1
296	в соответствии	2	1
297	только по	2	1
298	до конца	3	1
299	в ту	2	1
300	нет ничего	1	1
301	него в	1	1
302	из которых	2	1
303	что первая	1	1
304	что за	2	1
305	по которой	1	1
306	того что	3	1
307	я с	1	1
308	с прибавлением	1	1
309	известном смысле	1	1
310	между прочим	1	1
311	меня я	1	1
312	но для	2	1
313	ближе к	3	1
314	которых он	1	1
315	и от	1	1
316	котором он	3	1
317	это можно	2	1
318	я всегда	1	1
319	людьми и	1	1
320	человек и	1	1
321	хотя и	1	1
322	ее и	6	1
323	еще более	2	1
324	только что	1	1
325	уже давно	1	1
326	отношении к	2	1
327	быть и	3	1
328	только как	4	1
329	бы его	1	1
330	жизни и	8	1
331	который не	1	1
332	все что	1	1
333	они не	1	1
