N	2gram	Berdyaev_N_1	Vladivir
1	и в	16	30
2	в этом	7	20
3	то что	4	20
4	у него	2	19
5	и не	11	18
6	в том	8	18
7	и с	2	14
8	что он	1	13
9	в конце	1	13
10	не только	5	12
11	том что	2	12
12	что в	9	12
13	в его	1	11
14	а в	2	11
15	сказать что	3	11
16	а также	1	10
17	не было	4	10
18	и даже	2	10
19	было бы	1	9
20	не в	6	9
21	в то	2	9
22	не может	16	9
23	потому что	4	9
24	в своем	1	8
25	но в	2	8
26	но и	3	8
27	вместе с	2	8
28	ни в	6	7
29	никогда не	6	7
30	не менее	4	7
31	в эти	1	7
32	может быть	7	7
33	а не	17	7
34	как это	2	7
35	и все	4	7
36	хотя и	2	6
37	и к	5	6
38	в себе	2	6
39	и его	1	6
40	у нас	1	6
41	то время	1	6
42	только в	1	6
43	всяком случае	1	6
44	прежде всего	4	6
45	жизни и	8	6
46	во всяком	1	6
47	того же	1	5
48	с этим	2	5
49	все эти	2	5
50	как и	7	5
51	в своей	3	5
52	в котором	1	5
53	по себе	1	5
54	так как	1	5
55	для себя	1	5
56	так и	2	5
57	с ним	1	5
58	и что	2	5
59	все это	5	5
60	я не	2	4
61	то это	1	4
62	в ней	5	4
63	и на	2	4
64	что его	1	4
65	с его	6	4
66	совсем не	12	4
67	в которой	1	4
68	в этой	1	4
69	в нем	5	4
70	он не	8	4
71	это было	3	4
72	и мы	4	4
73	в этих	1	4
74	мы должны	1	4
75	вот что	1	4
76	не есть	3	4
77	можно сказать	1	4
78	о том	4	4
79	конечно не	3	4
80	так же	2	4
81	в это	1	4
82	но это	6	4
83	это время	1	4
84	был и	1	3
85	быть в	2	3
86	во всех	3	3
87	но не	2	3
88	отличие от	1	3
89	как в	3	3
90	из этих	1	3
91	с богом	1	3
92	в них	4	3
93	должно быть	4	3
94	не столько	1	3
95	в отличие	1	3
96	но он	1	3
97	в россии	3	3
98	не могли	2	3
99	к ней	1	3
100	в области	1	3
101	он и	1	3
102	когда мы	2	3
103	и вполне	1	3
104	и это	2	3
105	философии и	1	3
106	уже не	2	3
107	уже в	1	3
108	а это	1	3
109	последние годы	1	3
110	нет ничего	1	3
111	по существу	2	3
112	и для	4	3
113	хотя бы	2	3
114	в свою	1	3
115	и особенно	1	3
116	бог и	1	2
117	также что	1	2
118	не имел	1	2
119	и есть	10	2
120	и до	1	2
121	мы уже	1	2
122	время как	2	2
123	и бытия	1	2
124	как я	1	2
125	в будущем	2	2
126	не был	1	2
127	по своему	4	2
128	россии и	1	2
129	себе и	1	2
130	в самом	1	2
131	не могла	2	2
132	человек не	1	2
133	а к	1	2
134	в статье	1	2
135	мысли и	2	2
136	вера в	1	2
137	том чтобы	2	2
138	но все	1	2
139	это значит	1	2
140	это не	4	2
141	этого не	1	2
142	с тем	3	2
143	мы не	2	2
144	еще в	1	2
145	ли он	1	2
146	жизни с	1	2
147	к той	1	2
148	их в	1	2
149	и очень	1	2
150	она не	3	2
151	не имеет	4	2
152	того чтобы	2	2
153	того и	1	2
154	мыслей и	1	2
155	в русском	2	2
156	как будто	2	2
157	ему все	1	2
158	к тому	3	2
159	будто бы	1	2
160	в виду	1	2
161	людей в	1	2
162	не могу	1	2
163	в последние	1	2
164	возможно что	1	2
165	в чем	1	2
166	в сущности	1	2
167	и во	1	2
168	к нему	1	2
169	также еще	1	2
170	и она	1	2
171	в каких	1	2
172	и жизни	1	2
173	себя в	2	2
174	него и	1	2
175	в новом	2	2
176	друг друга	1	2
177	бытия и	1	2
178	ее на	1	2
179	для того	1	2
180	и из	1	2
181	бытия в	2	2
182	что не	1	2
183	был в	1	2
184	стремится к	3	2
185	не на	1	2
186	уже давно	1	2
187	и потому	4	2
188	наряду с	3	2
189	в той	1	2
190	такого рода	2	2
191	можно было	2	2
192	в более	1	2
193	и от	2	2
194	к этой	1	2
195	жизни в	3	2
196	есть и	1	2
197	же и	1	2
198	можно назвать	2	2
199	смысле слова	3	1
200	от этой	1	1
201	центром он	1	1
202	в этот	1	1
203	и критических	1	1
204	бытия а	1	1
205	он требует	1	1
206	по преимуществу	1	1
207	жизни к	4	1
208	высшей степени	6	1
209	времени он	1	1
210	теократии не	1	1
211	говорить о	1	1
212	но она	2	1
213	оно есть	1	1
214	жизни как	2	1
215	разобраться в	1	1
216	сам собой	1	1
217	думаю что	1	1
218	верить в	3	1
219	освобождения от	1	1
220	в какие	1	1
221	истории в	5	1
222	движение вперед	1	1
223	то он	1	1
224	к богу	2	1
225	менее всего	1	1
226	образ мыслей	2	1
227	жизни все	2	1
228	нет и	2	1
229	нет надобности	1	1
230	оснований думать	1	1
231	что нет	1	1
232	принято было	1	1
233	духа и	3	1
234	как результат	1	1
235	о самом	1	1
236	время нужно	1	1
237	к чему	1	1
238	он в	1	1
239	тоже не	1	1
240	думать что	2	1
241	что ничего	1	1
242	времени не	1	1
243	все ее	1	1
244	что она	2	1
245	одному из	1	1
246	и еще	1	1
247	xix века	5	1
248	к одному	1	1
249	не к	2	1
250	возвращение к	3	1
251	жизнью и	1	1
252	и языческих	1	1
253	всех своих	1	1
254	в глубину	1	1
255	это конечно	1	1
256	от нее	1	1
257	что все	2	1
258	чего он	1	1
259	них не	1	1
260	а по	1	1
261	лишь в	6	1
262	всех народов	1	1
263	он есть	1	1
264	в жизни	5	1
265	для них	1	1
266	в высшей	6	1
267	всю жизнь	1	1
268	ночь и	1	1
269	бога и	3	1
270	такой же	2	1
271	и того	1	1
272	он конечно	1	1
273	но я	2	1
274	во время	1	1
275	но если	1	1
276	будет в	1	1
277	в такой	1	1
278	духу и	1	1
279	место в	2	1
280	своего рода	1	1
281	мир и	2	1
282	но во	1	1
283	по всем	1	1
284	есть еще	1	1
285	что этот	1	1
286	это воспринималось	1	1
287	никакого ответа	1	1
288	этот конец	1	1
289	к такой	1	1
290	человечества и	1	1
291	духовная сила	1	1
292	что такое	3	1
293	этого конечно	1	1
